latitude_for_ae,longitude_for_ae,coordinate_ae_zone_raw,coordinate_ae_zone,ae_zone_final,ae_zone_assignment_method,ae_zone_in_target_scope,ae_zone_assignment_note
28.8088505,81.3939897,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8088475,81.3939939,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8088521,81.3939841,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8088469,81.3939938,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8088501,81.3939867,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8087818,81.3939711,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.808847,81.3939854,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8088498,81.393989,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8088282,81.3940206,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.80886,81.393976,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.826074,81.4112482,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8260309,81.4111856,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8260665,81.4112789,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8261686,81.4112852,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8261607,81.4113534,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8260151,81.4111587,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8261408,81.4113582,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8211626,81.4134021,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8211541,81.4133801,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8211458,81.4133831,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.82111,81.413371,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.821164,81.4134161,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8211421,81.4133375,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8211589,81.4134189,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8211589,81.413425,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8212308,81.4134017,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.8211604,81.4134294,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.65119517,81.60158525,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.65118965,81.60158798,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.65118905,81.60159184,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.65119118,81.60159924,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.65119685,81.60158947,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.65122691,81.60160623,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.65119491,81.60158672,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.65119395,81.60158854,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.6511999,81.60159244,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.65120043,81.60159096,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.6411379,81.6042313,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.6411182,81.6042125,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.6411095,81.6042155,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
28.6411099,81.6042283,Hills,outside_target_ae_zone,,polygon_outside_target_scope,False,"Point intersects ecological-zone polygon, but polygon attribute is outside target classes."
