site,n_rows
Itahara,194
Ramghat,121
Damak,112
Purandhara,110
Laxmipur,107
Gauradaha,106
Shantinagar,101
Dhikpur,97
Kalyan,97
Lekhpharsa,92
Pawannagar,87
Babiyachaur,79
Dhuruwa,78
missing,77
Hapur,76
Gadhi,72
Shreegau,70
Guthu,62
Kunathari,52
Bhakundebesi,52
Babiya Birta,48
"Khumaltar, Lalitpur",48
Maintada-3,46
Maintada-4,46
Maintada-2,45
Ghanteshwor,45
Ghumkhare,42
Rabiopi,42
Panchakule,39
Panchakaule,36
Anekot,36
"NMRP Rampur, Chitwan",36
Maintada-1,34
Laguwa; Chhandibhanjang; Harthog,28
Neta,27
Chattiwan,27
Ghantesori,27
Chhatiwan,25
"National Maize Research Program (NMRP), Rampur research field",24
Devinagar,24
"Rampur, Chitwan",24
NMRP Rampur,23
Tikapur Municipality,22
Janaki Rural Municipality,22
Bodhipur,21
"National Maize Research Program, Rampur",18
"Sunawal, Nawalparasi",16
neta,15
babiyachaur,15
"Mangalpur VDC-3, Anandapur, Chitwan",15
"Gaindakot, Nawalpur",15
Madanpokhara,14
Chidipani,14
Lamkichuha Municipality,10
Dipayal,10
Padampokhari,10
Bidur Municipality,10
Khasyauli,9
Morang,9
"NMRP Farm, Rampur",8
farmer field approximately 1.5 km west of Kushma,8
Pakhribas Agricultural Centre South Farm,8
Vyash outreach site,8
Tansen outreach site,8
"Horticulture Research Station, Dailekh",8
"Gothgaun, Sundarharaicha",8
"Khairahani, Chitwan",8
"National Maize Research Program (NMRP), Rampur",8
Pakhribas,7
Dordor Gaun,7
"Lamahi Municipality, Dang",7
"Puranchaur, Pokhara Metropolitan City",7
"AFU research farm, Rampur, Chitwan",7
Bhadrapur-7 farmer field,7
Dasharathpur; Ramghat; Mehelkuna; Gumi,6
"Tikapur Municipality; wards 1 Bangaun, 3 Katanpur, 4 Asneri, 6 Narayanpur",6
"Lamjung Campus, Sundarbazar municipality",6
Lekhparsa,5
"Khasyoli VDC, Palpa district",5
"Garamani, Jhapa",3
Itahara and Rajghat,2
Damak; Gauradaha,2
Maintada-5,2
Maintada-6,2
Maintada-7,2
Maintada-8,2
Maintada-9,2
Jhapa,2
"Damak/Gauradaha, Jhapa",2
Maintada-10,1
