source_file,n_rows
maize_trials-2018.csv,611
maize_trials_2017.xlsx,512
Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,460
missing,417
maize_demo-2018.csv,330
maize_demo_2019.xlsx,320
maize_demo-2017.csv,264
7.+Lal+P.+Amgain+(1).pdf,54
07_7469_H2.pdf,15
"jibanshrestha1,+Article-31 (1).pdf",10
4659-1-16587-1-10-20120919.pdf,8
209-763-1-PB.pdf,8
"63-78+Agronomy+Journal+of+Nepal+Vol-5,+2021-68-83.pdf",7
carob_agronomy-cc.csv,3
PIIS240584402102199X.pdf,2
40-IJEAB-DEC-2018-21-Productivityand.pdf,2
