source_id,n_rows
8.pandit_2025_nrate-ntime-udp_m_n,2037
1.timsina_2021_ne_mwr_n,460
3.amgain_2023_ne_m_n,54
20.devkota2016_nrate-variety_m_n,28
2.adhikari_2016_ntime-season_m_n,24
25.baral_2014_azotobacter_m_n,24
40.adhikari_2022_fert-manure_m_n,24
14.gautam_2022_nslowrelease_m_n,21
32.rawal_2024_nrate_m_n,21
39.rawal_2022_fert_m-w_n,18
17.adhikary_2007_fert-lime_m_n,16
43.marahatta_2020_n-var_m_n,16
44.pandit_2025_4r_m_n,16
23.shrestha_2018_n-density_m_n,15
36.shrestha_azotobacter-fert-var_m_n,15
12.pilbeam_2002_n15labelled_m_n,14
26.devkota_2015_npkrates-variety-weed-density_m_n,14
49.marahatta_2020_fert-mulch_m_n,12
19.adhikary_2020_fert-rate_m_n,10
35.rawal_2021_npkrates_n_n,9
5.dawadi_2012_m_n,8
10.sapkota_2025_inm_m_n,8
11.sherchan_1999_fert-manure_mwr_n,8
13.dahal_2014_fert-till-weed_m_n,8
15.baral_2016_fert-rate_m_n,8
18.rawal_2023_legume_m_n,8
27.sapkota_2017_nprate_m_n,8
31.dotel_2025_nrate-nslowrelease_m_n,8
47.bhatt_2020_fert-manure_m_n,8
48.yadav_2024_fert-manure_m_n,8
53.timilsina_2025_lcc-tillage_m_n,8
7.marahatta_2021_nrate-density_m_n,7
22.adhikari_2021_n-rate-var_m_n,7
37.sigdel_psb-npk_m_n,7
42.nepali_2020_biofer_m_n,7
50.neupane_2024_biofert_m_n,7
55.ghimire_2025_nrate_m_n,7
9.pokharel_2016_npkrate_m_n,6
51.nayak_2024_ssnm_m_n,6
54.pandey_2025_tillage-fert-fym_m_n,6
41.ghimire_2015_ssnm_m_n,5
33.dahal_2018_ne_m-w_n,4
0_carob_base_m_n,3
46.gautam_2018_ne_m_n,3
4.bogati_2021_NE_m_n,2
6.khanal_2018_ne_m_n,2
38.khanal_2017_ne_m_n,2
21.shrestha_2013_water-soilfert_mw_n,1
24.pandit_2016_biochar_m_n,1
30.karki_2014_notill_m_n,1
34.dahal_2014_ca-weeds_m_n,1
45.pal_2017_fert-manure_m_n,1
52.dhital_2023_fert-density_m_n,1
