treatment_group,n_rows
not_classified,1128
missing,346
recommendation,321
farmer_practice,253
omission,223
n_rate,206
4r_demonstration,130
control,115
demonstration_package,105
n_timing,67
nitrogen_rate_by_pk_level_and_variety,28
nitrogen_timing,12
fertilizer_dose_x_plant_density,10
season,9
nutrient_omission,9
nitrogen_rate,7
plant_density,6
fertilizer_rate,4
integrated_nutrient_management,4
nutrient_omission_reference,3
nutrient_rate,3
organic_source,3
Control,3
FYM,3
Azoto,3
Azoto + FYM,3
Azoto + NPK,3
variety,2
potassium_rate,2
phosphorus_rate,2
nutrient_rate_lime,1
chemical_fertilizer,1
manure_low,1
manure_high,1
manure_low_plus_topdress_N,1
manure_high_plus_topdress_N,1
fertilizer_alone,1
manure_plus_NP,1
manure_plus_NK,1
manure_lime_plus_topdress_N,1
