study_key,study_id,source_file,field,column_used,n_rows,n_non_missing,n_missing,pct_missing
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,grain_yield,grain_yield_Mg_ha,14,0,14,100.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,n_rate,N_rate_kg_ha,14,14,0,0.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,p_rate,P2O5_rate_kg_ha,14,0,14,100.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,k_rate,K2O_rate_kg_ha,14,0,14,100.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,treatment_group,treatment_group,14,0,14,100.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,season,season,14,14,0,0.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,district,district,14,14,0,0.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,site,site,14,14,0,0.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,agroecology,agroecology,14,0,14,100.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,latitude,latitude,14,14,0,0.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,longitude,longitude,14,14,0,0.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,soil_ph,,14,0,14,100.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,soil_organic,,14,0,14,100.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,soil_n,,14,0,14,100.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,soil_p,,14,0,14,100.0
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,soil_k,,14,0,14,100.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,grain_yield,grain_yield_Mg_ha,24,0,24,100.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,n_rate,N_rate_kg_ha,24,0,24,100.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,p_rate,P2O5_rate_kg_ha,24,0,24,100.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,k_rate,K2O_rate_kg_ha,24,0,24,100.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,treatment_group,treatment_group,24,0,24,100.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,season,season,24,24,0,0.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,district,district,24,24,0,0.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,site,site,24,24,0,0.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,agroecology,agroecology,24,0,24,100.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,latitude,latitude,24,24,0,0.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,longitude,longitude,24,24,0,0.0
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,soil_ph,,24,0,24,100.0
