study_key,study_id,source_file,n_rows,year_min,year_max,season_values,district_values,agroecology_values,site_values,treatment_group_values,has_yield,has_coordinates,has_n_rate,has_treatment_group,has_season,has_district,missing_core_fields,check_status
12.pilbeam_2002_n15labelled_m_n,12.pilbeam_2002_n15labelled_m_n,,14,1998.0,1998.0,maize season,Dhankuta; Lamjung,,Dordor Gaun; Pakhribas,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
25.baral_2014_azotobacter_m_n,25.baral_2014_azotobacter_m_n,,24,2008.0,2009.0,winter/spring,Chitwan,,"Rampur, Chitwan",,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
5.dawadi_2012_m_n | 4659-1-16587-1-10-20120919.pdf,5.dawadi_2012_m_n,4659-1-16587-1-10-20120919.pdf,8,2008.0,2008.0,winter,Chitwan,,"NMRP Farm, Rampur",nitrogen_rate; plant_density; variety,True,True,False,True,True,True,n_rate,review_core_fields
43.marahatta_2020_n-var_m_n,43.marahatta_2020_n-var_m_n,,16,2011.0,2012.0,spring maize,Nawalparasi,,"Sunawal, Nawalparasi",,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,8,2012.0,2012.0,winter,Chitwan,,NMRP Rampur,nitrogen_rate; phosphorus_rate; potassium_rate,True,True,False,True,True,True,n_rate,review_core_fields
2.adhikari_2016_ntime-season_m_n,2.adhikari_2016_ntime-season_m_n,,24,2012.0,2013.0,spring; summer; winter,Chitwan,Terai / Chitwan environment,"National Maize Research Program (NMRP), Rampur research field",control; nitrogen_timing; season,True,True,False,True,True,True,n_rate,review_core_fields
20.devkota2016_nrate-variety_m_n,20.devkota2016_nrate-variety_m_n,,28,2012.0,2013.0,rainfed maize season,Palpa,,Laguwa; Chhandibhanjang; Harthog,nitrogen_rate_by_pk_level_and_variety,True,True,False,True,True,True,n_rate,review_core_fields
26.devkota_2015_npkrates-variety-weed-density_m_n,26.devkota_2015_npkrates-variety-weed-density_m_n,,14,2012.0,2013.0,monsoon/kharif,Palpa,,,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
13.dahal_2014_fert-till-weed_m_n,13.dahal_2014_fert-till-weed_m_n,,8,2013.0,2013.0,spring,Chitwan,,NMRP Rampur,,True,True,False,False,True,True,n_rate; treatment_group,review_core_fields
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,460,2014.0,2015.0,,Jhapa; Morang,,Babiya Birta; Damak; Gauradaha; Itahara,farmer_practice; recommendation,True,True,False,True,False,True,n_rate; season,review_core_fields
4.bogati_2021_NE_m_n | PIIS240584402102199X.pdf,4.bogati_2021_NE_m_n,PIIS240584402102199X.pdf,2,2015.0,2015.0,winter,Morang,,Itahara and Rajghat,farmer_practice; recommendation,True,True,False,True,True,True,n_rate,review_core_fields
6.khanal_2018_ne_m_n | 40-IJEAB-DEC-2018-21-Productivityand.pdf,6.khanal_2018_ne_m_n,40-IJEAB-DEC-2018-21-Productivityand.pdf,2,2015.0,2015.0,winter,Jhapa,,Damak; Gauradaha,farmer_practice; recommendation,True,True,False,True,True,True,n_rate,review_core_fields
"19.adhikary_2020_fert-rate_m_n | jibanshrestha1,+Article-31 (1).pdf",19.adhikary_2020_fert-rate_m_n,"jibanshrestha1,+Article-31 (1).pdf",10,2016.0,2016.0,winter,Chitwan,,"National Maize Research Program, Rampur",fertilizer_dose_x_plant_density,True,True,False,True,True,True,n_rate,review_core_fields
33.dahal_2018_ne_m-w_n,33.dahal_2018_ne_m-w_n,,4,2016.0,2016.0,winter/spring maize,Jhapa; Morang,,Jhapa; Morang,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
46.gautam_2018_ne_m_n,46.gautam_2018_ne_m_n,,3,2016.0,2016.0,maize,Jhapa,,"Garamani, Jhapa",,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
8.pandit_2025_nrate-ntime-udp_m_n | maize_demo-2017.csv,8.pandit_2025_nrate-ntime-udp_m_n,maize_demo-2017.csv,264,2017.0,2017.0,,Dang; Surkhet,,Dhikpur; Dhuruwa; Gadhi; Ghumkhare; Guthu; Hapur; Kalyan; Laxmipur; Lekhpharsa; Maintada-3; Maintada-4; Panchakule; ... (+7 more),demonstration_package; not_classified,True,True,False,True,False,True,n_rate; season,review_core_fields
8.pandit_2025_nrate-ntime-udp_m_n | maize_trials_2017.xlsx,8.pandit_2025_nrate-ntime-udp_m_n,maize_trials_2017.xlsx,512,2017.0,2017.0,Summer,Dang; Surkhet,,Babiyachaur; Dhikpur; Dhuruwa; Gadhi; Ghumkhare; Guthu; Hapur; Kalyan; Laxmipur; Lekhpharsa; Maintada-3; Maintada-4; ... (+7 more),control; n_rate; not_classified; omission,True,True,False,True,True,True,n_rate,review_core_fields
8.pandit_2025_nrate-ntime-udp_m_n | maize_demo-2018.csv,8.pandit_2025_nrate-ntime-udp_m_n,maize_demo-2018.csv,330,2018.0,2018.0,,Dang; Doti; Kavre; Palpa; Surkhet,,Anekot; Babiyachaur; Bhakundebesi; Chhatiwan; Chidipani; Devinagar; Dhikpur; Dhuruwa; Gadhi; Ghanteshwor; Guthu; Hapur; ... (+14 more),4r_demonstration; farmer_practice; not_classified,True,True,False,True,False,True,n_rate; season,review_core_fields
