study_key,study_id_column,source_file_column,n_rows,n_columns,study_id,source_file,title,citation_or_author,year_min,year_max,years,season_column,n_non_missing_season,n_unique_season,season_values,district_column,n_non_missing_district,n_unique_district,district_values,site_column,n_non_missing_site,n_unique_site,site_values,province_column,n_non_missing_province,n_unique_province,province_values,municipality_column,n_non_missing_municipality,n_unique_municipality,municipality_values,agroecology_column,n_non_missing_agroecology,n_unique_agroecology,agroecology_values,treatment_group_column,n_non_missing_treatment_group,n_unique_treatment_group,treatment_group_values,variety_column,n_non_missing_variety,n_unique_variety,variety_values,grain_yield_column,n_non_missing_grain_yield,n_unique_grain_yield,grain_yield_median,grain_yield_min,grain_yield_max,grain_yield_values,n_rate_column,n_non_missing_n_rate,n_unique_n_rate,n_rate_median,n_rate_min,n_rate_max,n_rate_values,p_rate_column,n_non_missing_p_rate,n_unique_p_rate,p_rate_median,p_rate_min,p_rate_max,p_rate_values,k_rate_column,n_non_missing_k_rate,n_unique_k_rate,k_rate_median,k_rate_min,k_rate_max,k_rate_values,latitude_column,n_non_missing_latitude,n_unique_latitude,latitude_median,latitude_min,latitude_max,latitude_values,longitude_column,n_non_missing_longitude,n_unique_longitude,longitude_median,longitude_min,longitude_max,longitude_values,soil_ph_column,n_non_missing_soil_ph,n_unique_soil_ph,soil_ph_values,soil_organic_column,n_non_missing_soil_organic,n_unique_soil_organic,soil_organic_values,soil_n_column,n_non_missing_soil_n,n_unique_soil_n,soil_n_values,soil_p_column,n_non_missing_soil_p,n_unique_soil_p,soil_p_values,soil_k_column,n_non_missing_soil_k,n_unique_soil_k,soil_k_values,has_yield,has_coordinates,has_n_rate,has_treatment_group,has_season,has_district,missing_core_fields,check_status
12.pilbeam_2002_n15labelled_m_n,source_id,source_file,14,599,12.pilbeam_2002_n15labelled_m_n,,,,1998.0,1998.0,1998.0,season,14,1,maize season,district,14,2,Dhankuta; Lamjung,site,14,2,Dordor Gaun; Pakhribas,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,14,1,Manakamana-1,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,14,4,22.5,0.0,90.0,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,14,2,27.725,27.283333,28.166667,,longitude,14,2,85.808333,84.333333,87.283333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
25.baral_2014_azotobacter_m_n,source_id,source_file,24,599,25.baral_2014_azotobacter_m_n,,,,2008.0,2009.0,2007-2009 mean; 2008; 2009,season,24,1,winter/spring,district,24,1,Chitwan,site,24,1,"Rampur, Chitwan",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,24,1,Rampur Composite,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,24,1,27.65,27.65,27.65,,longitude,24,1,84.35,84.35,84.35,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
5.dawadi_2012_m_n | 4659-1-16587-1-10-20120919.pdf,source_id,source_file,8,599,5.dawadi_2012_m_n,4659-1-16587-1-10-20120919.pdf,Growth and Yield of Hybrid Maize (Zea mays L.) in Relation to Planting Density and Nitrogen Levels during Winter Season in Nepal,D.R. Dawadi; S.K. Sah,2008.0,2008.0,2008,season,8,1,winter,district,8,1,Chitwan,site,8,1,"NMRP Farm, Rampur",province,8,1,Bagmati,municipality,0,0,,agroecology,0,0,,treatment_group,8,3,nitrogen_rate; plant_density; variety,variety_name_std,0,0,,grain_yield_Mg_ha,8,8,10.469999999999999,9.52,11.19,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,8,1,27.616667,27.616667,27.616667,,longitude,8,1,84.416667,84.416667,84.416667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
43.marahatta_2020_n-var_m_n,source_id,source_file,16,599,43.marahatta_2020_n-var_m_n,,,,2011.0,2012.0,2011; 2012,season,16,1,spring maize,district,16,1,Nawalparasi,site,16,1,"Sunawal, Nawalparasi",province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,16,3,Bioseed Rajkumar; Rampur Composite; pooled: Rampur Composite; Bioseed Rajkumar,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,8,7,100.0,0.0,240.0,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,16,1,27.6,27.6,27.6,,longitude,16,1,83.633333,83.633333,83.633333,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,True,False,True,True,grain_yield; treatment_group,review_core_fields
15.baral_2016_fert-rate_m_n | 209-763-1-PB.pdf,source_id,source_file,8,599,15.baral_2016_fert-rate_m_n,209-763-1-PB.pdf,,,2012.0,2012.0,2012.0,season,8,1,winter,district,8,1,Chitwan,site,8,1,NMRP Rampur,province,8,1,Bagmati,municipality,0,0,,agroecology,0,0,,treatment_group,8,3,nitrogen_rate; phosphorus_rate; potassium_rate,variety_name_std,0,0,,grain_yield_Mg_ha,8,6,8.875,7.59,9.35,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,8,1,27.666667,27.666667,27.666667,,longitude,8,1,84.316667,84.316667,84.316667,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
2.adhikari_2016_ntime-season_m_n,source_id,source_file,24,599,2.adhikari_2016_ntime-season_m_n,,,,2012.0,2013.0,2012; 2013,season,9,3,spring; summer; winter,district,24,1,Chitwan,site,24,1,"National Maize Research Program (NMRP), Rampur research field",province,24,1,Bagmati,municipality,24,1,Bharatpur,agroecology,24,1,Terai / Chitwan environment,treatment_group,24,3,control; nitrogen_timing; season,variety_name_std,0,0,,grain_yield_Mg_ha,24,24,3.7245,2.245,4.535,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,24,1,27.65,27.65,27.65,,longitude,24,1,84.35,84.35,84.35,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
20.devkota2016_nrate-variety_m_n,source_id,source_file,28,599,20.devkota2016_nrate-variety_m_n,,,,2012.0,2013.0,2012; 2013,season,28,1,rainfed maize season,district,28,1,Palpa,site,28,1,Laguwa; Chhandibhanjang; Harthog,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,28,1,nitrogen_rate_by_pk_level_and_variety,variety_name_std,0,0,,grain_yield_Mg_ha,28,28,5.03,2.654,8.166,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,28,1,27.87,27.87,27.87,,longitude,28,1,83.54,83.54,83.54,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,True,True,n_rate,review_core_fields
26.devkota_2015_npkrates-variety-weed-density_m_n,source_id,source_file,14,599,26.devkota_2015_npkrates-variety-weed-density_m_n,,,,2012.0,2013.0,2012; 2013,season,14,1,monsoon/kharif,district,14,1,Palpa,site,0,0,,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,14,1,general,grain_yield_Mg_ha,0,0,,,,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,14,1,27.833333,27.833333,27.833333,,longitude,14,1,83.5,83.5,83.5,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,False,True,False,False,True,True,grain_yield; n_rate; treatment_group,review_core_fields
13.dahal_2014_fert-till-weed_m_n,source_id,source_file,8,599,13.dahal_2014_fert-till-weed_m_n,,,,2013.0,2013.0,2013.0,season,8,1,spring,district,8,1,Chitwan,site,8,1,NMRP Rampur,province,0,0,,municipality,0,0,,agroecology,0,0,,treatment_group,0,0,,variety_name_std,0,0,,grain_yield_Mg_ha,8,8,6.02,3.62,8.42,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,8,1,27.65,27.65,27.65,,longitude,8,1,84.35,84.35,84.35,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,False,True,True,n_rate; treatment_group,review_core_fields
1.timsina_2021_ne_mwr_n | Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,source_id,source_file,460,599,1.timsina_2021_ne_mwr_n,Maize Wheat Rice 2014-16_JT_workingfile_KDWorking_JT.xlsx,,,2014.0,2015.0,2014; 2015,season,0,0,,district,460,2,Jhapa; Morang,site,460,4,Babiya Birta; Damak; Gauradaha; Itahara,province,0,0,,municipality,460,4,Babiya Birta; Damak; Gauradaha; Itahara,agroecology,0,0,,treatment_group,460,2,farmer_practice; recommendation,variety_name_std,0,0,,grain_yield_Mg_ha,460,431,7.884,2.342,14.300000000000002,,N_rate_kg_ha,0,0,,,,,P2O5_rate_kg_ha,0,0,,,,,K2O_rate_kg_ha,0,0,,,,,latitude,460,2,26.53,26.53,26.61,,longitude,460,2,87.53,87.53,87.7,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,True,True,False,True,False,True,n_rate; season,review_core_fields
