year,study,dataset_type,district,site,latitude,longitude,variety,variety_group,treatment_code,treatment,treatment_role,N_rate_kg_ha,P_rate_kg_ha,K_rate_kg_ha,adjusted_yield_kg_ha,yield_t_ha
2017,2017 core trial,trial,Dang,Dhikpur,28.02713167,82.37542667,Hybrid-Rajkumar,Hybrid,2,N0-P60-K40,n_omission,0,60.0,40.0,4998.0,4.998
2017,2017 core trial,trial,Dang,Dhikpur,28.02550667,82.37736667,Hybrid-Rajkumar,Hybrid,2,N0-P60-K40,n_omission,0,60.0,40.0,4134.0,4.134
2017,2017 core trial,trial,Dang,Dhikpur,28.09225167,82.42717667,Hybrid-Rajkumar,Hybrid,2,N0-P60-K40,n_omission,0,60.0,40.0,4051.0,4.051
2017,2017 core trial,trial,Dang,Dhikpur,28.02717,82.37521667,Hybrid-Rajkumar,Hybrid,5,N60-P60-K40,other,60,60.0,40.0,7508.0,7.508
2017,2017 core trial,trial,Dang,Dhikpur,28.02576167,82.37743833,Hybrid-Rajkumar,Hybrid,5,N60-P60-K40,other,60,60.0,40.0,8703.0,8.703
2017,2017 core trial,trial,Dang,Dhikpur,28.09230667,82.42715667,Hybrid-Rajkumar,Hybrid,5,N60-P60-K40,other,60,60.0,40.0,3109.0,3.109
2017,2017 core trial,trial,Dang,Dhikpur,28.02723667,82.37530333,Hybrid-Rajkumar,Hybrid,6,N120-P60-K40,government_recommendation,120,60.0,40.0,7881.0,7.881
2017,2017 core trial,trial,Dang,Dhikpur,28.02583,82.37744832999999,Hybrid-Rajkumar,Hybrid,6,N120-P60-K40,government_recommendation,120,60.0,40.0,9200.0,9.2
2017,2017 core trial,trial,Dang,Dhikpur,28.09230833,82.42696333,Hybrid-Rajkumar,Hybrid,6,N120-P60-K40,government_recommendation,120,60.0,40.0,7881.0,7.881
2017,2017 core trial,trial,Dang,Dhikpur,28.02706,82.37537667,Hybrid-Rajkumar,Hybrid,7,N180-P60-K40,other,180,60.0,40.0,8123.0,8.123
2017,2017 core trial,trial,Dang,Dhikpur,28.02572833,82.37743667,Hybrid-Rajkumar,Hybrid,7,N180-P60-K40,other,180,60.0,40.0,9123.0,9.123
2017,2017 core trial,trial,Dang,Dhikpur,28.09231,82.427185,Hybrid-Rajkumar,Hybrid,7,N180-P60-K40,other,180,60.0,40.0,6607.0,6.607
2017,2017 core trial,trial,Dang,Dhikpur,28.02726,82.37525,Hybrid-Rajkumar,Hybrid,8,N210-P60-K40,other,210,60.0,40.0,6872.0,6.872
