year,study,district,site,N_rate_low_kg_ha,N_rate_high_kg_ha,N_increment_kg_ha,yield_low_t_ha,yield_high_t_ha,marginal_yield_response_t_ha,marginal_efficiency_kg_grain_per_kg_N
2017,2017 core trial,Dang,Dhikpur,0,60,60,4.394333333333333,6.44,2.0456666666666674,34.094444444444456
2017,2017 core trial,Dang,Dhikpur,60,120,60,6.44,8.320666666666666,1.8806666666666656,31.344444444444427
2017,2017 core trial,Dang,Dhikpur,120,180,60,8.320666666666666,7.951,-0.36966666666666637,-6.161111111111106
2017,2017 core trial,Dang,Dhikpur,180,210,30,7.951,7.083666666666666,-0.8673333333333337,-28.911111111111122
2017,2017 core trial,Dang,Dhuruwa,0,60,60,5.299,6.823666666666667,1.5246666666666666,25.411111111111108
2017,2017 core trial,Dang,Dhuruwa,60,120,60,6.823666666666667,6.657333333333334,-0.16633333333333322,-2.7722222222222204
2017,2017 core trial,Dang,Dhuruwa,120,180,60,6.657333333333334,6.746666666666667,0.08933333333333326,1.4888888888888876
2017,2017 core trial,Dang,Dhuruwa,180,210,30,6.746666666666667,7.045333333333333,0.29866666666666575,9.955555555555524
2017,2017 core trial,Dang,Hapur,0,60,60,4.099,4.991,0.8919999999999995,14.866666666666656
2017,2017 core trial,Dang,Hapur,60,120,60,4.991,7.8815,2.8905000000000003,48.175000000000004
2017,2017 core trial,Dang,Hapur,120,180,60,7.8815,4.8805,-3.0010000000000003,-50.01666666666667
2017,2017 core trial,Dang,Hapur,180,210,30,4.8805,5.643,0.7625000000000002,25.416666666666675
2017,2017 core trial,Dang,Laxmipur,0,60,60,5.8389999999999995,6.5073333333333325,0.668333333333333,11.138888888888884
2017,2017 core trial,Dang,Laxmipur,60,120,60,6.5073333333333325,7.269333333333333,0.7620000000000005,12.700000000000008
2017,2017 core trial,Dang,Laxmipur,120,180,60,7.269333333333333,6.4303333333333335,-0.8389999999999995,-13.983333333333325
2017,2017 core trial,Dang,Laxmipur,180,210,30,6.4303333333333335,8.038333333333334,1.6080000000000005,53.600000000000016
2017,2017 core trial,Dang,Panchakule,0,60,60,8.108,8.2355,0.1274999999999995,2.1249999999999916
2017,2017 core trial,Dang,Panchakule,60,120,60,8.2355,8.504,0.2684999999999995,4.4749999999999925
2017,2017 core trial,Dang,Panchakule,120,180,60,8.504,7.531,-0.9729999999999999,-16.216666666666665
2017,2017 core trial,Dang,Panchakule,180,210,30,7.531,5.7065,-1.8244999999999996,-60.81666666666665
2017,2017 core trial,Dang,Pawannagar,0,60,60,5.611999999999999,6.437666666666666,0.8256666666666668,13.761111111111113
2017,2017 core trial,Dang,Pawannagar,60,120,60,6.437666666666666,6.501333333333332,0.06366666666666632,1.0611111111111053
2017,2017 core trial,Dang,Pawannagar,120,180,60,6.501333333333332,8.023333333333333,1.5220000000000011,25.366666666666685
2017,2017 core trial,Dang,Pawannagar,180,210,30,8.023333333333333,7.171333333333333,-0.8520000000000003,-28.400000000000013
2017,2017 core trial,Dang,Purandhara,0,60,60,6.9205000000000005,7.284,0.36349999999999927,6.058333333333321
2017,2017 core trial,Dang,Purandhara,60,120,60,7.284,7.3870000000000005,0.10300000000000065,1.7166666666666777
2017,2017 core trial,Dang,Purandhara,120,180,60,7.3870000000000005,7.628666666666667,0.24166666666666625,4.027777777777771
2017,2017 core trial,Dang,Purandhara,180,210,30,7.628666666666667,7.465,-0.16366666666666685,-5.455555555555562
2017,2017 core trial,Dang,Shantinagar,0,60,60,5.816000000000001,8.7025,2.8865,48.108333333333334
2017,2017 core trial,Dang,Shantinagar,60,120,60,8.7025,9.0765,0.3739999999999988,6.233333333333312
2017,2017 core trial,Dang,Shantinagar,120,180,60,9.0765,8.8795,-0.19699999999999918,-3.2833333333333194
2017,2017 core trial,Dang,Shantinagar,180,210,30,8.8795,8.5365,-0.34299999999999997,-11.433333333333334
2017,2017 core trial,Dang,Shreegau,0,60,60,5.164666666666666,6.274333333333334,1.1096666666666675,18.494444444444458
2017,2017 core trial,Dang,Shreegau,60,120,60,6.274333333333334,6.155333333333334,-0.11899999999999977,-1.9833333333333296
2017,2017 core trial,Dang,Shreegau,120,180,60,6.155333333333334,6.727999999999999,0.5726666666666649,9.544444444444416
2017,2017 core trial,Dang,Shreegau,180,210,30,6.727999999999999,6.435666666666667,-0.2923333333333318,-9.744444444444392
2017,2017 core trial,Surkhet,Babiyachaur,0,60,60,8.68665,10.565433333333333,1.8787833333333328,31.313055555555547
2017,2017 core trial,Surkhet,Babiyachaur,60,120,60,10.565433333333333,11.13665,0.5712166666666665,9.520277777777775
2017,2017 core trial,Surkhet,Babiyachaur,120,180,60,11.13665,11.641066666666667,0.5044166666666676,8.406944444444461
2017,2017 core trial,Surkhet,Babiyachaur,180,210,30,11.641066666666667,10.7922,-0.8488666666666678,-28.295555555555595
2017,2017 core trial,Surkhet,Gadhi,0,60,60,7.11665,10.4167,3.3000500000000006,55.00083333333335
2017,2017 core trial,Surkhet,Gadhi,60,120,60,10.4167,11.00835,0.5916499999999996,9.860833333333325
2017,2017 core trial,Surkhet,Gadhi,120,180,60,11.00835,11.375,0.3666499999999999,6.110833333333332
2017,2017 core trial,Surkhet,Gadhi,180,210,30,11.375,11.83335,0.45834999999999937,15.278333333333311
2017,2017 core trial,Surkhet,Ghumkhare,0,60,60,5.92,10.377766666666666,4.457766666666666,74.2961111111111
2017,2017 core trial,Surkhet,Ghumkhare,60,120,60,10.377766666666666,10.114433333333332,-0.26333333333333364,-4.388888888888895
2017,2017 core trial,Surkhet,Ghumkhare,120,180,60,10.114433333333332,10.018533333333332,-0.09590000000000032,-1.5983333333333387
2017,2017 core trial,Surkhet,Ghumkhare,180,210,30,10.018533333333332,10.162199999999999,0.1436666666666664,4.78888888888888
2017,2017 core trial,Surkhet,Guthu,0,60,60,6.8667,9.200633333333334,2.3339333333333343,38.898888888888905
2017,2017 core trial,Surkhet,Guthu,60,120,60,9.200633333333334,11.455566666666668,2.2549333333333337,37.58222222222223
2017,2017 core trial,Surkhet,Guthu,120,180,60,11.455566666666668,10.0,-1.4555666666666678,-24.259444444444462
2017,2017 core trial,Surkhet,Guthu,180,210,30,10.0,10.444466666666667,0.444466666666667,14.815555555555568
2017,2017 core trial,Surkhet,Kalyan,0,60,60,7.6499,9.432233333333334,1.7823333333333347,29.705555555555577
2017,2017 core trial,Surkhet,Kalyan,60,120,60,9.432233333333334,9.803333333333333,0.37109999999999843,6.184999999999974
2017,2017 core trial,Surkhet,Kalyan,120,180,60,9.803333333333333,10.281133333333335,0.477800000000002,7.963333333333367
2017,2017 core trial,Surkhet,Kalyan,180,210,30,10.281133333333335,9.863333333333335,-0.4177999999999997,-13.926666666666657
2017,2017 core trial,Surkhet,Lekhpharsa,0,60,60,7.815533333333334,9.4411,1.6255666666666668,27.09277777777778
2017,2017 core trial,Surkhet,Lekhpharsa,60,120,60,9.4411,9.904433333333332,0.46333333333333115,7.722222222222186
2017,2017 core trial,Surkhet,Lekhpharsa,120,180,60,9.904433333333332,11.156666666666666,1.2522333333333346,20.87055555555558
2017,2017 core trial,Surkhet,Lekhpharsa,180,210,30,11.156666666666666,10.474433333333332,-0.6822333333333344,-22.741111111111145
2017,2017 core trial,Surkhet,Maintada-3,0,60,60,6.782233333333334,7.437766666666666,0.6555333333333317,10.925555555555528
2017,2017 core trial,Surkhet,Maintada-3,60,120,60,7.437766666666666,7.838866666666665,0.40109999999999957,6.6849999999999925
2017,2017 core trial,Surkhet,Maintada-3,120,180,60,7.838866666666665,8.094433333333333,0.2555666666666676,4.25944444444446
2017,2017 core trial,Surkhet,Maintada-3,180,210,30,8.094433333333333,7.997766666666667,-0.09666666666666579,-3.222222222222193
2017,2017 core trial,Surkhet,Maintada-4,0,60,60,6.811133333333334,7.933349999999999,1.1222166666666649,18.70361111111108
2017,2017 core trial,Surkhet,Maintada-4,60,120,60,7.933349999999999,8.033333333333333,0.0999833333333342,1.6663888888889034
2017,2017 core trial,Surkhet,Maintada-4,120,180,60,8.033333333333333,9.155566666666667,1.1222333333333339,18.703888888888898
2017,2017 core trial,Surkhet,Maintada-4,180,210,30,9.155566666666667,10.044433333333332,0.8888666666666651,29.62888888888884
2017,2017 core trial,Surkhet,Neta,0,60,60,9.89,11.05335,1.1633499999999994,19.389166666666657
2017,2017 core trial,Surkhet,Neta,60,120,60,11.05335,12.798900000000001,1.7455500000000015,29.092500000000026
2017,2017 core trial,Surkhet,Neta,120,180,60,12.798900000000001,13.158900000000001,0.35999999999999943,5.99999999999999
2017,2017 core trial,Surkhet,Neta,180,210,30,13.158900000000001,10.812199999999999,-2.346700000000002,-78.2233333333334
2017,2017 core trial,Surkhet,Ramghat,0,60,60,7.975,9.965,1.9900000000000002,33.16666666666667
2017,2017 core trial,Surkhet,Ramghat,60,120,60,9.965,9.7965,-0.16849999999999987,-2.8083333333333313
2017,2017 core trial,Surkhet,Ramghat,120,180,60,9.7965,9.865,0.06850000000000023,1.1416666666666704
2017,2017 core trial,Surkhet,Ramghat,180,210,30,9.865,9.745000000000001,-0.11999999999999922,-3.999999999999974
2019,2019 T1-T10 core trial,Dang,Dhikpur,0,60,60,7.065,8.419,1.354,22.566666666666666
2019,2019 T1-T10 core trial,Dang,Dhikpur,60,120,60,8.419,8.5775,0.15850000000000009,2.641666666666668
2019,2019 T1-T10 core trial,Dang,Dhikpur,120,180,60,8.5775,7.519,-1.0585000000000004,-17.641666666666673
2019,2019 T1-T10 core trial,Dang,Dhikpur,180,210,30,7.519,7.2715,-0.2475000000000005,-8.250000000000018
2019,2019 T1-T10 core trial,Dang,Laxmipur,0,60,60,8.4195,9.2395,0.8200000000000003,13.66666666666667
2019,2019 T1-T10 core trial,Dang,Laxmipur,60,120,60,9.2395,11.756499999999999,2.5169999999999995,41.949999999999996
2019,2019 T1-T10 core trial,Dang,Laxmipur,120,180,60,11.756499999999999,11.0415,-0.7149999999999999,-11.916666666666664
2019,2019 T1-T10 core trial,Dang,Laxmipur,180,210,30,11.0415,10.807,-0.23449999999999882,-7.8166666666666265
2019,2019 T1-T10 core trial,Dang,Panchakule,0,60,60,8.639,9.51,0.8710000000000004,14.516666666666675
2019,2019 T1-T10 core trial,Dang,Panchakule,60,120,60,9.51,9.692499999999999,0.18249999999999922,3.041666666666653
2019,2019 T1-T10 core trial,Dang,Panchakule,120,180,60,9.692499999999999,8.84,-0.8524999999999991,-14.208333333333318
2019,2019 T1-T10 core trial,Dang,Panchakule,180,210,30,8.84,8.8305,-0.009499999999999176,-0.3166666666666392
2019,2019 T1-T10 core trial,Dang,Shantinagar,0,60,60,7.3795,8.697,1.317499999999999,21.958333333333318
2019,2019 T1-T10 core trial,Dang,Shantinagar,60,120,60,8.697,8.4175,-0.27949999999999875,-4.658333333333313
2019,2019 T1-T10 core trial,Dang,Shantinagar,120,180,60,8.4175,8.592,0.1745000000000001,2.9083333333333354
2019,2019 T1-T10 core trial,Dang,Shantinagar,180,210,30,8.592,8.677,0.08499999999999908,2.8333333333333024
2019,2019 T1-T10 core trial,Dang,Shreegau,0,60,60,6.268000000000001,8.367,2.099,34.983333333333334
2019,2019 T1-T10 core trial,Dang,Shreegau,60,120,60,8.367,8.4595,0.09249999999999936,1.541666666666656
2019,2019 T1-T10 core trial,Dang,Shreegau,120,180,60,8.4595,9.097000000000001,0.6375000000000011,10.625000000000018
2019,2019 T1-T10 core trial,Dang,Shreegau,180,210,30,9.097000000000001,8.552,-0.5450000000000017,-18.166666666666725
2019,2019 T1-T10 core trial,Doti,Chhatiwan,0,60,60,8.194165,8.910165,0.7159999999999993,11.933333333333321
2019,2019 T1-T10 core trial,Doti,Chhatiwan,60,120,60,8.910165,10.104665,1.1945000000000014,19.908333333333356
2019,2019 T1-T10 core trial,Doti,Chhatiwan,120,180,60,10.104665,9.573665,-0.5310000000000006,-8.85000000000001
2019,2019 T1-T10 core trial,Doti,Chhatiwan,180,210,30,9.573665,10.053615,0.47995000000000054,15.998333333333353
2019,2019 T1-T10 core trial,Doti,Dipayal,0,60,60,8.738366666666666,9.994016666666667,1.255650000000001,20.927500000000016
2019,2019 T1-T10 core trial,Doti,Dipayal,60,120,60,9.994016666666667,8.761383333333333,-1.2326333333333341,-20.5438888888889
2019,2019 T1-T10 core trial,Doti,Dipayal,120,180,60,8.761383333333333,9.16084,0.39945666666666746,6.657611111111124
2019,2019 T1-T10 core trial,Doti,Dipayal,180,210,30,9.16084,9.569173333333334,0.4083333333333332,13.611111111111107
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,0,60,60,8.432599999999999,9.8876,1.4550000000000018,24.250000000000032
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,60,120,60,9.8876,9.2828,-0.6048000000000009,-10.080000000000014
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,120,180,60,9.2828,9.581,0.2981999999999996,4.9699999999999935
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,180,210,30,9.581,10.2514,0.6704000000000008,22.346666666666692
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,0,60,60,4.507761500000001,8.289583,3.7818214999999995,63.030358333333325
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,60,120,60,8.289583,8.723449500000001,0.4338665000000006,7.231108333333343
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,120,180,60,8.723449500000001,9.5360765,0.8126269999999991,13.543783333333318
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,180,210,30,9.5360765,9.1423255,-0.39375099999999996,-13.125033333333333
2019,2019 T1-T10 core trial,Kavre,Rabiopi,0,60,60,3.7852705,7.86511625,4.07984575,67.99742916666666
