path,created_now,exists_after
D:\dss\SOIL ADVISORY\Data,False,True
D:\dss\SOIL ADVISORY\scripts,False,True
D:\dss\SOIL ADVISORY\outputs,False,True
D:\dss\SOIL ADVISORY\logs,False,True
D:\dss\SOIL ADVISORY\temp,False,True
D:\dss\SOIL ADVISORY\docs,False,True
D:\dss\SOIL ADVISORY\maps,False,True
D:\dss\SOIL ADVISORY\reports,False,True
D:\dss\SOIL ADVISORY\Data\m_n_publications,False,True
D:\dss\SOIL ADVISORY\Data\dsm,False,True
D:\dss\SOIL ADVISORY\Data\ecological zones,False,True
D:\dss\SOIL ADVISORY\Data\boundary,False,True
D:\dss\SOIL ADVISORY\Data\nsaf_trials,False,True
D:\dss\SOIL ADVISORY\Data\crop_cut,False,True
D:\dss\SOIL ADVISORY\Data\farmer_survey,False,True
D:\dss\SOIL ADVISORY\Data\maize_area,False,True
D:\dss\SOIL ADVISORY\Data\climate,False,True
D:\dss\SOIL ADVISORY\Data\isric_soilgrids,False,True
D:\dss\SOIL ADVISORY\Data\raw,False,True
D:\dss\SOIL ADVISORY\Data\interim,False,True
D:\dss\SOIL ADVISORY\Data\processed,False,True
D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data,False,True
D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data\00_data,False,True
D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data\01_descriptive_tables,False,True
D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data\02_plots,False,True
D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data\03_stage_report,False,True
D:\dss\SOIL ADVISORY\outputs\00_harmonized_trial_data\04_inputs_for_next_stage,False,True
D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration,False,True
D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration\00_data,False,True
D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration\01_descriptive_tables,False,True
D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration\02_plots,False,True
D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration\03_stage_report,False,True
D:\dss\SOIL ADVISORY\outputs\01_trial_response_calibration\04_inputs_for_next_stage,False,True
D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring,False,True
D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring\00_data,False,True
D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring\01_descriptive_tables,False,True
D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring\02_plots,False,True
D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring\03_stage_report,False,True
D:\dss\SOIL ADVISORY\outputs\02_farmer_yield_anchoring\04_inputs_for_next_stage,False,True
D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield,False,True
D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield\00_data,False,True
D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield\01_descriptive_tables,False,True
D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield\02_plots,False,True
D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield\03_stage_report,False,True
D:\dss\SOIL ADVISORY\outputs\03_yield_gap_target_yield\04_inputs_for_next_stage,False,True
D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer,False,True
D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer\00_data,False,True
D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer\01_descriptive_tables,False,True
D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer\02_plots,False,True
D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer\03_stage_report,False,True
D:\dss\SOIL ADVISORY\outputs\04_response_domain_transfer\04_inputs_for_next_stage,False,True
D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting,False,True
D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting\00_data,False,True
D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting\01_descriptive_tables,False,True
D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting\02_plots,False,True
D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting\03_stage_report,False,True
D:\dss\SOIL ADVISORY\outputs\05_nsaf_innovation_targeting\04_inputs_for_next_stage,False,True
D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation,False,True
D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation\00_data,False,True
D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation\01_descriptive_tables,False,True
D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation\02_plots,False,True
D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation\03_stage_report,False,True
D:\dss\SOIL ADVISORY\outputs\06_fertilizer_demand_estimation\04_inputs_for_next_stage,False,True
D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble,False,True
D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble\00_data,False,True
D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble\01_descriptive_tables,False,True
D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble\02_plots,False,True
D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble\03_stage_report,False,True
D:\dss\SOIL ADVISORY\outputs\07_spatial_advisory_ensemble\04_inputs_for_next_stage,False,True
D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country,False,True
D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country\00_data,False,True
D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country\01_descriptive_tables,False,True
D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country\02_plots,False,True
D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country\03_stage_report,False,True
D:\dss\SOIL ADVISORY\outputs\08_admin_aggregation_country\04_inputs_for_next_stage,False,True
D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package,False,True
D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package\00_data,False,True
D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package\01_descriptive_tables,False,True
D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package\02_plots,False,True
D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package\03_stage_report,False,True
D:\dss\SOIL ADVISORY\outputs\99_reports_recommendation_package\04_inputs_for_next_stage,False,True
D:\dss\SOIL ADVISORY\outputs\_run_metadata,False,True
D:\dss\SOIL ADVISORY\outputs\_shared_lookup_tables,False,True
