year,study,district,site,N0-P0-K0,N120-P60-K0,latitude,longitude,zero_yield_t_ha,omission_yield_t_ha,n_p_yield_response_t_ha,n_p_yield_response_pct_zero
2017,2017 core trial,Dang,Dhikpur,5.216,4.954999999999999,28.048354721666666,82.39325805333334,5.216,4.954999999999999,-0.261000000000001,-5.00383435582824
2017,2017 core trial,Dang,Dhuruwa,7.4126666666666665,6.357666666666667,28.02732361166667,82.32575388833334,7.4126666666666665,6.357666666666667,-1.0549999999999997,-14.232394999550316
2017,2017 core trial,Dang,Hapur,3.718,4.2325,28.092535,82.427434165,3.718,4.2325,0.5145,13.838084991931145
2017,2017 core trial,Dang,Laxmipur,5.128333333333333,5.822333333333333,27.979800001666668,82.491953335,5.128333333333333,5.822333333333333,0.694,13.532661683457913
2017,2017 core trial,Dang,Panchakule,6.879,7.743,28.133401669999998,82.1093804175,6.879,7.743,0.8640000000000008,12.559965111208037
2017,2017 core trial,Dang,Pawannagar,5.758,6.9430000000000005,28.16370028,82.25673499999999,5.758,6.9430000000000005,1.1850000000000005,20.580062521708935
2017,2017 core trial,Dang,Purandhara,7.0045,6.789666666666666,28.190031113333333,82.0975313875,7.0045,6.789666666666666,-0.21483333333333388,-3.067075927380025
2017,2017 core trial,Dang,Shantinagar,2.909,8.738,28.164444584166667,82.2287779175,2.909,8.738,5.829,200.37813681677554
2017,2017 core trial,Dang,Shreegau,4.123666666666667,6.331666666666667,28.10638277666667,82.17910361,4.123666666666667,6.331666666666667,2.208,53.544580066284055
2017,2017 core trial,Surkhet,Babiyachaur,7.4583,11.777733333333332,28.816834575,81.40493968333334,7.4583,11.777733333333332,4.319433333333332,57.914448779659324
2017,2017 core trial,Surkhet,Gadhi,4.58,11.44335,28.6461585375,81.6029110225,4.58,11.44335,6.8633500000000005,149.8548034934498
2017,2017 core trial,Surkhet,Ghumkhare,7.76,10.49,28.44001985,81.89764758333334,7.76,10.49,2.7300000000000004,35.18041237113403
2017,2017 core trial,Surkhet,Guthu,6.74995,11.177766666666665,28.845933558333332,81.30325750833333,6.74995,11.177766666666665,4.427816666666665,65.59776986002363
2017,2017 core trial,Surkhet,Kalyan,6.695533333333334,9.5,28.502922883333333,81.73766601666667,6.695533333333334,9.5,2.8044666666666664,41.88563519958579
2017,2017 core trial,Surkhet,Lekhpharsa,6.666666666666667,10.286666666666667,28.4738748,81.80857953333333,6.666666666666667,10.286666666666667,3.62,54.3
2017,2017 core trial,Surkhet,Maintada-3,4.3917,8.0189,28.443314288333333,81.80852899249999,4.3917,8.0189,3.6272,82.59216248833026
2017,2017 core trial,Surkhet,Maintada-4,6.1444333333333345,9.055566666666666,28.419812541666666,81.79545415333334,6.1444333333333345,9.055566666666666,2.911133333333331,47.378385856032246
2017,2017 core trial,Surkhet,Neta,6.24165,12.200000000000001,28.547590883333335,81.7927502,6.24165,12.200000000000001,5.958350000000001,95.46113607779996
2017,2017 core trial,Surkhet,Ramghat,3.565,11.423333333333332,28.488610375,81.743305025,3.565,11.423333333333332,7.8583333333333325,220.4301075268817
2019,2019 T1-T10 core trial,Dang,Dhikpur,5.545,7.3505,28.04028887185268,82.37345022149384,5.545,7.3505,1.8055000000000003,32.560865644724984
2019,2019 T1-T10 core trial,Dang,Laxmipur,5.8759999999999994,12.051,27.978464352199808,82.4662664718926,5.8759999999999994,12.051,6.175000000000001,105.08849557522127
2019,2019 T1-T10 core trial,Dang,Panchakule,6.28,9.5955,28.13404945889488,82.1196951228194,6.28,9.5955,3.3154999999999992,52.79458598726113
2019,2019 T1-T10 core trial,Dang,Shantinagar,5.739,8.295,28.165760084521025,82.2275569732301,5.739,8.295,2.556,44.537375849451124
2019,2019 T1-T10 core trial,Dang,Shreegau,4.588,9.7335,28.109662584029138,82.18610328622162,4.588,9.7335,5.145499999999999,112.1512641673932
2019,2019 T1-T10 core trial,Doti,Chhatiwan,6.86934,8.84082,29.080792578170072,80.5905511463061,6.86934,8.84082,1.9714800000000006,28.699700407899456
2019,2019 T1-T10 core trial,Doti,Dipayal,7.31943,9.536673333333333,29.25471430295147,80.93253517756239,7.31943,9.536673333333333,2.2172433333333332,30.29256831929991
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,7.226999999999999,11.33,29.124495186377317,80.58125621918589,7.226999999999999,11.33,4.103000000000001,56.77321156773213
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,2.926757,6.233759,27.55696925567463,85.667579700239,2.926757,6.233759,3.307002,112.99202496141635
2019,2019 T1-T10 core trial,Kavre,Rabiopi,3.3426345,6.5742245,27.65031429938972,85.57620530482382,3.3426345,6.5742245,3.2315899999999997,96.67793472484054
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,2.7423200000000003,6.31306,,,2.7423200000000003,6.31306,3.57074,130.2087283759736
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,6.008915,7.509767,27.884868721012026,85.1500335149467,6.008915,7.509767,1.500852,24.977088209768322
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,1.620814,8.165233,27.884372994303703,85.15042134560645,1.620814,8.165233,6.544419,403.77359771077994
2019,2019 T1-T10 core trial,Palpa,Chidi pani,8.049409091000001,9.2233371215,27.866833998123184,83.54836987797171,8.049409091000001,9.2233371215,1.173928030499999,14.584027438890656
2019,2019 T1-T10 core trial,Palpa,Devinagar,5.6600776515,7.923666666499999,27.808758274186403,83.6966024315916,5.6600776515,7.923666666499999,2.263589014999999,39.99219011421365
2019,2019 T1-T10 core trial,Palpa,Khasyauli,5.869181818,3.5767613320000002,27.88472836604342,83.47850558348,5.869181818,3.5767613320000002,-2.292420486,-39.05860402840906
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,6.973,9.579,28.217889172956347,82.3846605559811,6.973,9.579,2.6060000000000008,37.37272336153737
2019,2019 T1-T10 core trial,Surkhet,Kalyan,6.977,8.6745,28.501475140219554,81.7419614084065,6.977,8.6745,1.6974999999999998,24.329941235488025
2019,2019 T1-T10 core trial,Surkhet,Kunathari,6.712999999999999,7.792,28.714259433327243,81.50839823065326,6.712999999999999,7.792,1.0790000000000006,16.073290630120674
2019,2019 T1-T10 core trial,Surkhet,Lekhpharsa,5.964499999999999,8.6735,28.465082603506744,81.79052307503298,5.964499999999999,8.6735,2.7090000000000014,45.41872747086934
2019,2019 T1-T10 core trial,Surkhet,Maintada-2,4.5675,6.32,28.44779718085192,81.79641622351483,4.5675,6.32,1.7525000000000004,38.36891078270389
2019,2019 T1-T10 core trial,Surkhet,Ramghat,5.5158000000000005,10.9032,28.489962212741375,81.74422151315957,5.5158000000000005,10.9032,5.3873999999999995,97.67214184705753
