year,district,n_paired_sites,mean_n_p_yield_response_t_ha,median_n_p_yield_response_t_ha,sd_n_p_yield_response_t_ha,min_n_p_yield_response_t_ha,max_n_p_yield_response_t_ha
2017,Dang,9,1.0848518518518517,0.694,2.0119871938867298,-1.0549999999999997,5.829
2017,Surkhet,10,4.512008333333332,3.973316666666666,1.7980048784291267,2.7300000000000004,7.8583333333333325
2019,Dang,5,3.7994999999999997,3.3154999999999992,1.8173676361705136,1.8055000000000003,6.175000000000001
2019,Doti,3,2.763907777777778,2.2172433333333332,1.1661800412950032,1.9714800000000006,4.103000000000001
2019,Kavre,2,3.2692959999999998,3.2692959999999998,0.0533243365828401,3.2315899999999997,3.307002
2019,Makwanpur,1,3.57074,3.57074,,3.57074,3.57074
2019,Nuwakot,2,4.0226355,4.0226355,3.5663404270686927,1.500852,6.544419
2019,Palpa,3,0.381698853166666,1.173928030499999,2.3790809034928286,-2.292420486,2.263589014999999
2019,Salyan,1,2.6060000000000008,2.6060000000000008,,2.6060000000000008,2.6060000000000008
2019,Surkhet,5,2.5250800000000004,1.7525000000000004,1.7029106133323613,1.0790000000000006,5.3873999999999995
