year,study,district,site,variety_group,k_omission,soil_background,latitude,longitude,np_yield_response_t_ha
2017,2017 core trial,Dang,Dhikpur,Hybrid,4.954999999999999,5.216,28.048354721666666,82.39325805333334,-0.261000000000001
2017,2017 core trial,Dang,Dhuruwa,Hybrid,6.357666666666667,7.4126666666666665,28.02732361166667,82.32575388833334,-1.0549999999999997
2017,2017 core trial,Dang,Hapur,Hybrid,4.2325,3.718,28.092535,82.427434165,0.5145
2017,2017 core trial,Dang,Laxmipur,Hybrid,5.822333333333333,5.128333333333333,27.979800001666668,82.491953335,0.694
2017,2017 core trial,Dang,Panchakule,Hybrid,7.743,6.879,28.133401669999998,82.1093804175,0.8640000000000008
2017,2017 core trial,Dang,Pawannagar,Hybrid,6.9430000000000005,5.758,28.16370028,82.25673499999999,1.1850000000000005
2017,2017 core trial,Dang,Purandhara,Hybrid,6.789666666666666,7.0045,28.190031113333333,82.0975313875,-0.21483333333333388
2017,2017 core trial,Dang,Shantinagar,Hybrid,8.738,2.909,28.164444584166667,82.2287779175,5.829
2017,2017 core trial,Dang,Shreegau,Hybrid,6.331666666666667,4.123666666666667,28.10638277666667,82.17910361,2.208
2017,2017 core trial,Surkhet,Babiyachaur,Hybrid,11.777733333333332,7.4583,28.816834575,81.40493968333334,4.319433333333332
2017,2017 core trial,Surkhet,Gadhi,Hybrid,11.44335,4.58,28.6461585375,81.6029110225,6.8633500000000005
2017,2017 core trial,Surkhet,Ghumkhare,Hybrid,10.49,7.76,28.44001985,81.89764758333334,2.7300000000000004
2017,2017 core trial,Surkhet,Guthu,Hybrid,11.177766666666665,6.74995,28.845933558333332,81.30325750833333,4.427816666666665
2017,2017 core trial,Surkhet,Kalyan,Hybrid,9.5,6.695533333333334,28.502922883333333,81.73766601666667,2.8044666666666664
2017,2017 core trial,Surkhet,Lekhpharsa,Hybrid,10.286666666666667,6.666666666666667,28.4738748,81.80857953333333,3.62
2017,2017 core trial,Surkhet,Maintada-3,Hybrid,8.0189,4.3917,28.443314288333333,81.80852899249999,3.6272
2017,2017 core trial,Surkhet,Maintada-4,Hybrid,9.055566666666666,6.1444333333333345,28.419812541666666,81.79545415333334,2.911133333333331
2017,2017 core trial,Surkhet,Neta,Hybrid,12.200000000000001,6.24165,28.547590883333335,81.7927502,5.958350000000001
2017,2017 core trial,Surkhet,Ramghat,Hybrid,11.423333333333332,3.565,28.488610375,81.743305025,7.8583333333333325
2019,2019 T1-T10 core trial,Dang,Dhikpur,All maize,7.3505,5.545,28.04028887185268,82.37345022149384,1.8055000000000003
2019,2019 T1-T10 core trial,Dang,Laxmipur,All maize,12.051,5.8759999999999994,27.978464352199808,82.4662664718926,6.175000000000001
2019,2019 T1-T10 core trial,Dang,Panchakule,All maize,9.5955,6.28,28.13404945889488,82.1196951228194,3.3154999999999992
2019,2019 T1-T10 core trial,Dang,Shantinagar,All maize,8.295,5.739,28.165760084521025,82.2275569732301,2.556
2019,2019 T1-T10 core trial,Dang,Shreegau,All maize,9.7335,4.588,28.109662584029138,82.18610328622162,5.145499999999999
2019,2019 T1-T10 core trial,Doti,Chhatiwan,All maize,8.84082,6.86934,29.080792578170072,80.5905511463061,1.9714800000000006
2019,2019 T1-T10 core trial,Doti,Dipayal,All maize,9.536673333333333,7.31943,29.25471430295147,80.93253517756239,2.2172433333333332
2019,2019 T1-T10 core trial,Doti,Ghanteshwor,All maize,11.33,7.226999999999999,29.124495186377317,80.58125621918589,4.103000000000001
2019,2019 T1-T10 core trial,Kavre,Bhakundebesi,All maize,6.233759,2.926757,27.55696925567463,85.667579700239,3.307002
2019,2019 T1-T10 core trial,Kavre,Rabiopi,All maize,6.5742245,3.3426345,27.65031429938972,85.57620530482382,3.2315899999999997
2019,2019 T1-T10 core trial,Makwanpur,Radha Tiwari,All maize,6.31306,2.7423200000000003,,,3.57074
2019,2019 T1-T10 core trial,Nuwakot,Dip Acharya,All maize,7.509767,6.008915,27.884868721012026,85.1500335149467,1.500852
2019,2019 T1-T10 core trial,Nuwakot,Ramchandra Acharya,All maize,8.165233,1.620814,27.884372994303703,85.15042134560645,6.544419
2019,2019 T1-T10 core trial,Palpa,Chidi pani,All maize,9.2233371215,8.049409091000001,27.866833998123184,83.54836987797171,1.173928030499999
2019,2019 T1-T10 core trial,Palpa,Devinagar,All maize,7.923666666499999,5.6600776515,27.808758274186403,83.6966024315916,2.263589014999999
2019,2019 T1-T10 core trial,Palpa,Khasyauli,All maize,3.5767613320000002,5.869181818,27.88472836604342,83.47850558348,-2.292420486
2019,2019 T1-T10 core trial,Salyan,Jhuplal gharti,All maize,9.579,6.973,28.217889172956347,82.3846605559811,2.6060000000000008
2019,2019 T1-T10 core trial,Surkhet,Kalyan,All maize,8.6745,6.977,28.501475140219554,81.7419614084065,1.6974999999999998
2019,2019 T1-T10 core trial,Surkhet,Kunathari,All maize,7.792,6.712999999999999,28.714259433327243,81.50839823065326,1.0790000000000006
2019,2019 T1-T10 core trial,Surkhet,Lekhpharsa,All maize,8.6735,5.964499999999999,28.465082603506744,81.79052307503298,2.7090000000000014
2019,2019 T1-T10 core trial,Surkhet,Maintada-2,All maize,6.32,4.5675,28.44779718085192,81.79641622351483,1.7525000000000004
2019,2019 T1-T10 core trial,Surkhet,Ramghat,All maize,10.9032,5.5158000000000005,28.489962212741375,81.74422151315957,5.3873999999999995
