year,study,district,site,variety_group,treatment_role,mean_yield_t_ha,latitude,longitude,n
2017,2017 core trial,Dang,Dhikpur,Hybrid,k_omission,4.954999999999999,28.048351666666665,82.39326166333333,3
2017,2017 core trial,Dang,Dhikpur,Hybrid,soil_background,5.216,28.048357776666666,82.39325444333333,3
2017,2017 core trial,Dang,Dhuruwa,Hybrid,k_omission,6.357666666666667,28.02730055666667,82.32571722333334,3
2017,2017 core trial,Dang,Dhuruwa,Hybrid,soil_background,7.4126666666666665,28.02734666666667,82.32579055333333,3
2017,2017 core trial,Dang,Hapur,Hybrid,k_omission,4.2325,28.092501665,82.427404165,2
2017,2017 core trial,Dang,Hapur,Hybrid,soil_background,3.718,28.092568335000003,82.427464165,2
2017,2017 core trial,Dang,Laxmipur,Hybrid,k_omission,5.822333333333333,27.979815556666665,82.49192833333333,3
2017,2017 core trial,Dang,Laxmipur,Hybrid,soil_background,5.128333333333333,27.979784446666667,82.49197833666666,3
2017,2017 core trial,Dang,Panchakule,Hybrid,k_omission,7.743,28.13377667,82.113289165,2
2017,2017 core trial,Dang,Panchakule,Hybrid,soil_background,6.879,28.13302667,82.10547167,1
2017,2017 core trial,Dang,Pawannagar,Hybrid,k_omission,6.9430000000000005,28.163645003333333,82.25672055666666,3
2017,2017 core trial,Dang,Pawannagar,Hybrid,soil_background,5.758,28.16375555666667,82.25674944333333,3
2017,2017 core trial,Dang,Purandhara,Hybrid,k_omission,6.789666666666666,28.191680556666668,82.09879111,3
2017,2017 core trial,Dang,Purandhara,Hybrid,soil_background,7.0045,28.18838167,82.09627166499999,2
2017,2017 core trial,Dang,Shantinagar,Hybrid,k_omission,8.738,28.16539333333333,82.230055,3
2017,2017 core trial,Dang,Shantinagar,Hybrid,soil_background,2.909,28.163495835,82.227500835,2
2017,2017 core trial,Dang,Shreegau,Hybrid,k_omission,6.331666666666667,28.106413333333336,82.179135,3
2017,2017 core trial,Dang,Shreegau,Hybrid,soil_background,4.123666666666667,28.10635222,82.17907222000001,3
2017,2017 core trial,Surkhet,Babiyachaur,Hybrid,k_omission,11.777733333333332,28.8186626,81.40618346666666,3
2017,2017 core trial,Surkhet,Babiyachaur,Hybrid,soil_background,7.4583,28.81500655,81.4036959,2
2017,2017 core trial,Surkhet,Gadhi,Hybrid,k_omission,11.44335,28.64615054,81.60291377,2
2017,2017 core trial,Surkhet,Gadhi,Hybrid,soil_background,4.58,28.646166535,81.602908275,2
2017,2017 core trial,Surkhet,Ghumkhare,Hybrid,k_omission,10.49,28.4394542,81.89756616666666,3
2017,2017 core trial,Surkhet,Ghumkhare,Hybrid,soil_background,7.76,28.4405855,81.897729,1
2017,2017 core trial,Surkhet,Guthu,Hybrid,k_omission,11.177766666666665,28.843899866666664,81.30401166666667,3
2017,2017 core trial,Surkhet,Guthu,Hybrid,soil_background,6.74995,28.84796725,81.30250335,2
2017,2017 core trial,Surkhet,Kalyan,Hybrid,k_omission,9.5,28.502913233333334,81.73767813333333,3
2017,2017 core trial,Surkhet,Kalyan,Hybrid,soil_background,6.695533333333334,28.502932533333333,81.7376539,3
2017,2017 core trial,Surkhet,Lekhpharsa,Hybrid,k_omission,10.286666666666667,28.4738694,81.80859646666666,3
2017,2017 core trial,Surkhet,Lekhpharsa,Hybrid,soil_background,6.666666666666667,28.4738802,81.8085626,3
2017,2017 core trial,Surkhet,Maintada-3,Hybrid,k_omission,8.0189,28.444805446666667,81.80526825999999,3
2017,2017 core trial,Surkhet,Maintada-3,Hybrid,soil_background,4.3917,28.44182313,81.811789725,2
2017,2017 core trial,Surkhet,Maintada-4,Hybrid,k_omission,9.055566666666666,28.419788056666665,81.79544834666667,3
2017,2017 core trial,Surkhet,Maintada-4,Hybrid,soil_background,6.1444333333333345,28.41983702666667,81.79545996,3
2017,2017 core trial,Surkhet,Neta,Hybrid,k_omission,12.200000000000001,28.545114566666665,81.7916475,3
2017,2017 core trial,Surkhet,Neta,Hybrid,soil_background,6.24165,28.5500672,81.79385289999999,2
2017,2017 core trial,Surkhet,Ramghat,Hybrid,k_omission,11.423333333333332,28.489562199999998,81.7429324,3
2017,2017 core trial,Surkhet,Ramghat,Hybrid,soil_background,3.565,28.48765855,81.74367765,2
2018,"2018 N source, timing and FYM trial",Dang,Dhikpur,All maize,soil_background,6.764,28.03391279666667,82.37340188666666,3
2018,"2018 N source, timing and FYM trial",Dang,Dhuruwa,All maize,soil_background,7.84,28.0214401,82.324663355,2
2018,"2018 N source, timing and FYM trial",Dang,Hapur,All maize,soil_background,5.077,28.09042332333333,82.42107370666666,3
2018,"2018 N source, timing and FYM trial",Dang,Laxmipur,All maize,soil_background,4.576,27.977860356666667,82.46365075666667,3
2018,"2018 N source, timing and FYM trial",Dang,Panchakaule,All maize,soil_background,5.73725,28.1161630325,82.1663612875,4
2018,"2018 N source, timing and FYM trial",Dang,Pawannagar,All maize,soil_background,5.823666666666667,28.170461486666667,82.26025555333332,3
2018,"2018 N source, timing and FYM trial",Dang,Purandhara,All maize,soil_background,6.321000000000001,28.18757538,82.09799106999999,3
