year,district,treatment,n_observations,n_sites,mean_yield_t_ha,median_yield_t_ha,sd_yield_t_ha,min_yield_t_ha,max_yield_t_ha
2017,Dang,N0-P0-K0,22,9,5.320818181818182,5.3465,1.5278260819859493,2.648,7.575
2017,Dang,N120-P60-K0,25,9,6.4705200000000005,6.821,1.677519724672908,2.437,9.125
2017,Surkhet,N0-P0-K0,22,10,6.011504545454545,6.674950000000001,1.6174492100592255,2.1433,7.76
2017,Surkhet,N120-P60-K0,29,10,10.506089655172413,10.6667,2.0516014489286913,4.69,14.633299999999998
2018,Dang,N0-P0-K0,24,8,5.912875,6.021,1.2678706665799602,3.18,8.305
2018,Doti,N0-P0-K0,6,2,5.919999999999999,5.361,1.435791489040104,4.434,7.72
2018,Kavre,N0-P0-K0,9,3,5.861888888888888,6.46,1.2207121327778763,3.517,7.0
2018,Palpa,N0-P0-K0,11,4,4.457090909090909,4.455,0.5339045709760227,3.645,5.124
2018,Surkhet,N0-P0-K0,25,11,6.494199999999999,6.315,0.9431871058632355,4.251,8.197
2019,Dang,N0-P0-K0,9,5,5.530666666666666,5.502,0.6718145205337556,4.486,6.28
2019,Dang,N120-P60-K0,10,5,9.405100000000001,9.2105,1.7500270759810168,6.832,12.734
2019,Doti,N0-P0-K0,9,3,7.1680600000000005,6.923,0.6879671984913234,6.423,8.141
2019,Doti,N120-P60-K0,10,3,10.294166,9.712605,1.416828895316736,8.564,12.705
2019,Kavre,N0-P0-K0,6,2,3.2040086666666667,3.197672,0.29851246612338755,2.681421,3.560078
2019,Kavre,N120-P60-K0,6,2,6.460736,6.567403,0.48025460479208304,5.72093,6.949612
2019,Makwanpur,N0-P0-K0,1,1,2.7423200000000003,2.7423200000000003,,2.7423200000000003,2.7423200000000003
2019,Makwanpur,N120-P60-K0,1,1,6.31306,6.31306,,6.31306,6.31306
2019,Nuwakot,N0-P0-K0,2,2,3.8148645,3.8148645,3.1028559736314705,1.620814,6.008915
2019,Nuwakot,N120-P60-K0,2,2,7.8375,7.8375,0.46348445343722194,7.509767,8.165233
2019,Palpa,N0-P0-K0,6,3,6.526222853499999,6.176517045500001,1.2932976731021917,4.83630303,8.08
2019,Palpa,N120-P60-K0,6,3,6.9079217066666665,7.923666666499999,2.6510050583940736,3.5767613000000003,9.47394697
2019,Salyan,N0-P0-K0,1,1,6.973,6.973,,6.973,6.973
2019,Salyan,N120-P60-K0,2,2,10.601500000000001,10.601500000000001,1.446033367526489,9.579,11.624
2019,Surkhet,N0-P0-K0,13,5,5.847923076923077,6.244,1.4952793195887326,3.376,8.285
2019,Surkhet,N120-P60-K0,15,6,9.582684666666667,9.672,2.3327379279381026,6.247,13.88731
