year,study,district,site,treatment,n_observations,mean_yield_t_ha,latitude,longitude
2017,2017 core trial,Dang,Dhikpur,N0-P0-K0,3,5.216,28.048357776666666,82.39325444333333
2017,2017 core trial,Dang,Dhikpur,N120-P60-K0,3,4.954999999999999,28.048351666666665,82.39326166333333
2017,2017 core trial,Dang,Dhuruwa,N0-P0-K0,3,7.4126666666666665,28.02734666666667,82.32579055333333
2017,2017 core trial,Dang,Dhuruwa,N120-P60-K0,3,6.357666666666667,28.02730055666667,82.32571722333334
2017,2017 core trial,Dang,Hapur,N0-P0-K0,2,3.718,28.092568335000003,82.427464165
2017,2017 core trial,Dang,Hapur,N120-P60-K0,2,4.2325,28.092501665,82.427404165
2017,2017 core trial,Dang,Laxmipur,N0-P0-K0,3,5.128333333333333,27.979784446666667,82.49197833666666
2017,2017 core trial,Dang,Laxmipur,N120-P60-K0,3,5.822333333333333,27.979815556666665,82.49192833333333
2017,2017 core trial,Dang,Panchakule,N0-P0-K0,1,6.879,28.13302667,82.10547167
2017,2017 core trial,Dang,Panchakule,N120-P60-K0,2,7.743,28.13377667,82.113289165
2017,2017 core trial,Dang,Pawannagar,N0-P0-K0,3,5.758,28.16375555666667,82.25674944333333
2017,2017 core trial,Dang,Pawannagar,N120-P60-K0,3,6.9430000000000005,28.163645003333333,82.25672055666666
2017,2017 core trial,Dang,Purandhara,N0-P0-K0,2,7.0045,28.18838167,82.09627166499999
2017,2017 core trial,Dang,Purandhara,N120-P60-K0,3,6.789666666666666,28.191680556666668,82.09879111
2017,2017 core trial,Dang,Shantinagar,N0-P0-K0,2,2.909,28.163495835,82.227500835
2017,2017 core trial,Dang,Shantinagar,N120-P60-K0,3,8.738,28.16539333333333,82.230055
2017,2017 core trial,Dang,Shreegau,N0-P0-K0,3,4.123666666666667,28.10635222,82.17907222000001
2017,2017 core trial,Dang,Shreegau,N120-P60-K0,3,6.331666666666667,28.106413333333336,82.179135
2017,2017 core trial,Surkhet,Babiyachaur,N0-P0-K0,2,7.4583,28.81500655,81.4036959
