year,district,site,k_omission,soil_background,yield_response_t_ha
2017,Dang,Dhikpur,4.954999999999999,5.216,-0.261000000000001
2017,Dang,Dhuruwa,6.357666666666667,7.4126666666666665,-1.0549999999999997
2017,Dang,Hapur,4.2325,3.718,0.5145
2017,Dang,Laxmipur,5.822333333333333,5.128333333333333,0.694
2017,Dang,Panchakule,7.743,6.879,0.8640000000000008
2017,Dang,Pawannagar,6.9430000000000005,5.758,1.1850000000000005
2017,Dang,Purandhara,6.789666666666666,7.0045,-0.21483333333333388
2017,Dang,Shantinagar,8.738,2.909,5.829
2017,Dang,Shreegau,6.331666666666667,4.123666666666667,2.208
2017,Surkhet,Babiyachaur,11.777733333333332,7.4583,4.319433333333332
2017,Surkhet,Gadhi,11.44335,4.58,6.8633500000000005
2017,Surkhet,Ghumkhare,10.49,7.76,2.7300000000000004
2017,Surkhet,Guthu,11.177766666666665,6.74995,4.427816666666665
2017,Surkhet,Kalyan,9.5,6.695533333333334,2.8044666666666664
2017,Surkhet,Lekhpharsa,10.286666666666667,6.666666666666667,3.62
2017,Surkhet,Maintada-3,8.0189,4.3917,3.6272
2017,Surkhet,Maintada-4,9.055566666666666,6.1444333333333345,2.911133333333331
2017,Surkhet,Neta,12.200000000000001,6.24165,5.958350000000001
2017,Surkhet,Ramghat,11.423333333333332,3.565,7.8583333333333325
2018,Dang,Dhikpur,,6.889589147286821,
2018,Dang,Dhuruwa,,8.002325581395349,
2018,Dang,Hapur,,5.20610465116279,
2018,Dang,Laxmipur,,4.633511627906977,
2018,Dang,Panchakaule,,5.908761627906976,
2018,Dang,Pawannagar,,5.934627906976744,
2018,Dang,Purandhara,,6.483104651162791,
2018,Dang,Shantinagar,,5.986391472868218,
2018,Doti,Chattiwan,,5.692945736434108,
2018,Doti,Ghantesori,,6.148062015503876,
2018,Kavre,Anekot,,4.346476744186046,
2018,Kavre,Bhakundebesi,,6.609883720930232,
2018,Kavre,Rabiopi,,6.62984496124031,
2018,Surkhet,Babiyachaur,,7.254147286821706,
2018,Surkhet,Gadhi,,5.777647286821705,
2018,Surkhet,Guthu,,5.73593023255814,
2018,Surkhet,Kalyan,,7.159341085271318,
2018,Surkhet,Kunathari,,6.537705426356589,
2018,Surkhet,Lekhpharsa,,7.03681007751938,
2018,Surkhet,Maintada-1,,6.540453488372092,
2018,Surkhet,Maintada-2,,5.977441860465117,
2018,Surkhet,Maintada-8,,6.369302325581396,
2018,Surkhet,Maintada-9,,7.7138372093023255,
2018,Surkhet,Ramghat,,6.894341085271318,
2019,Dang,Dhikpur,7.548719999999999,5.67418023255814,1.8745397674418598
2019,Dang,Laxmipur,12.090534302325583,5.917041860465115,6.173492441860468
2019,Dang,Panchakule,9.453341860465116,8.124413953488371,1.3289279069767446
2019,Dang,Shantinagar,8.487811627906977,5.872153488372093,2.615658139534884
2019,Dang,Shreegau,9.95985523255814,4.694708720930233,5.265146511627908
2019,Doti,Chhatiwan,8.738372093023255,6.789382965116278,1.9489891279069766
2019,Doti,Dipayal,9.43895985271318,7.720761108527133,1.718198744186048
2019,Doti,Ghanteshwor,10.570567441860465,7.222269767441861,3.348297674418604
2019,Kavre,Bhakundebesi,6.233759552325582,2.9267566104651164,3.3070029418604654
2019,Kavre,Rabiopi,6.574215360465117,3.342635645348837,3.23157971511628
2019,Makwanpur,Radha Tiwari,6.313064872093024,2.742325581395349,3.5707392906976754
2019,Nuwakot,Dip Acharya,7.509767441860465,6.008917976744186,1.5008494651162785
2019,Nuwakot,Ramchandra Acharya,8.165232558139536,1.620817011627907,6.544415546511629
2019,Palpa,Chidi pani,9.43783331632558,8.257209302325581,1.1806240139999993
2019,Palpa,Devinagar,8.107937986,5.791707364343022,2.3162306216569775
2019,Palpa,Khasyauli,3.659941860465117,6.005674418604651,-2.3457325581395345
2019,Salyan,Jhuplal gharti,2.9405232558139534,7.134883720930233,-4.194360465116279
2019,Salyan,Sharadha sharma,11.488084883720928,11.860168604651165,-0.37208372093023634
2019,Surkhet,Babiyachaur,13.051022546511629,9.719476744186046,3.331545802325582
2019,Surkhet,Kalyan,8.875828488372093,7.139387790697674,1.7364406976744196
2019,Surkhet,Kunathari,4.451431395348837,6.868965697674419,-2.417534302325582
2019,Surkhet,Lekhpharsa,8.875633139534884,6.102918604651163,2.772714534883721
2019,Surkhet,Maintada-2,6.467143604651163,4.673941860465117,1.793201744186046
2019,Surkhet,Ramghat,11.156974883720931,5.644310232558139,5.512664651162792
