S.no,District,VDC,Demo,Organization,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,ZnSO4_kg_ha,FYM_t_ha,N_source,N_methods,N_time,Variety,barcode,latitude,longitude,altitude,precision,Straw_wt_kg_ha,cob_wt_kg_ha,grain_yield_kg_ha,1000_grain_wt_gm,moisture%,Yield_kg_ha,Yield_t_ha,NUE_N,AE_N,PFPN,lat_fixed,lon_fixed,lat_key,lon_key,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,narc_dist,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,farmer_id,OC,P_Olsen,Exch_K,yield_control_pooled,n_supply,p_supply,k_supply,n_rec_quefts,p_rec_quefts,k_rec_quefts,AE_pooled,NUE
93.0,Dang,Dhikpur,A1,,120.0,60.0,40.0,0.0,0.0,0,top dressing,V6 and V10,Hybrid,DA1-ETS119gR,28.026865809224546 82.37110865302384 542.0 5.0,28.026865809224542,82.37110865302384,542.0,5.0,17510.0,17283.0,10667.0,300.0,16.7,10.097,,,,28.026865809224542,82.37110865302384,28.026865809224542,82.37110865302384,6.69,1.9,0.1,124.86,463.94,42.62,24.43,35.52,Dang,direct_overlay,False,0.0,direct_overlay,FMR_012,11.020881670533642,48.02307692307692,3.787824119614401,5.632608695652174,69.13399071925754,26.950614737640546,57.522279033529095,261.7320185614849,149.41546125401575,344.7960847388596,37.203260869565206,84.14166666666667
107.0,Dang,Dhikpur,A2,,120.0,60.0,40.0,0.0,6.0,manure,top dressing,V6 and V10,Hybrid,DA2-IEC161rX,28.026923267170787 82.37107403576374 531.0 6.0,28.026923267170787,82.37107403576374,531.0,6.0,19700.0,15700.0,13000.0,280.0,17.4,12.202,,,,28.026923267170787,82.37107403576374,28.026923267170787,82.37107403576374,6.69,1.89,0.1,125.36,464.33,42.64,24.34,35.54,Dang,direct_overlay,False,0.0,direct_overlay,FMR_012,10.962877030162412,48.215384615384615,3.791008262836907,5.632608695652174,68.77012761020882,27.031299761288594,57.82390176794797,262.45974477958237,148.49161773324562,344.0661577215659,54.744927536231884,101.68333333333334
121.0,Dang,Dhikpur,A3,,120.0,60.0,40.0,20.0,0.0,0,top dressing,V6 and V10,Hybrid,DA3-VUB726gI,28.02693973761052 82.37100530415773 533.0 9.0,28.02693973761052,82.37100530415773,533.0,9.0,20667.0,11970.0,9000.0,266.0,17.4,8.448,,,,28.02693973761052,82.37100530415773,28.02693973761052,82.37100530415773,6.69,1.89,0.1,126.01,465.92,42.66,24.24,35.53,Dang,direct_overlay,False,0.0,direct_overlay,FMR_012,10.962877030162412,48.465384615384615,3.8039897698209715,5.632608695652174,68.77012761020882,27.156299761288594,58.02190750483991,262.45974477958237,147.0603677332456,343.58698383828744,23.46159420289855,70.4
135.0,Dang,Dhikpur,A4,,60.0,60.0,40.0,0.0,0.0,PCU,basal,planting,Hybrid,DA4-MFP180rM,28.026944096200168 82.37097638659179 530.0 8.0,28.026944096200168,82.37097638659179,530.0,8.0,21197.0,13117.0,11667.0,290.0,16.3,11.097,,,,28.026944096200168,82.37097638659179,28.026944096200168,82.37097638659179,6.69,1.89,0.1,126.28,466.61,42.67,24.21,35.52,Dang,direct_overlay,False,0.0,direct_overlay,FMR_012,10.962877030162412,48.56923076923077,3.809623253983867,5.632608695652174,68.77012761020882,27.20822283821167,58.10783452273641,262.45974477958237,146.46584850247635,343.3790404549778,91.07318840579708,184.95
149.0,Dang,Dhikpur,A5,,78.0,60.0,40.0,0.0,0.0,UDP,basal,planting,Hybrid,DA5-UGN541aJ,28.026997447013855 82.37090698443353 531.0 6.0,28.02699744701385,82.37090698443353,531.0,6.0,23097.0,10550.0,10000.0,275.0,17.0,9.432,,,,28.02699744701385,82.37090698443353,28.02699744701385,82.37090698443353,6.68,1.89,0.1,126.51,467.33,42.7,24.18,35.51,Dang,direct_overlay,False,0.0,direct_overlay,FMR_012,10.962877030162412,48.65769230769231,3.815501672240802,5.632608695652174,68.58375870069604,27.278737105122257,58.51903063328046,262.83248259860795,145.65846014635014,342.38394586746125,48.710144927536234,120.92307692307692
163.0,Dang,Dhikpur,B1,,120.0,60.0,40.0,0.0,0.0,0,top dressing,V6 and V10,OPV,DB1-LEE205wC,28.027029717341065 82.3708741273731 524.0 9.0,28.027029717341065,82.3708741273731,524.0,9.0,18437.0,14983.0,10000.0,310.0,16.6,9.591,,,,28.027029717341065,82.3708741273731,28.027029717341065,82.3708741273731,6.68,1.9,0.1,126.47,467.5,42.71,24.18,35.5,Dang,direct_overlay,False,0.0,direct_overlay,FMR_012,11.020881670533642,48.64230769230769,3.8168896321070234,5.632608695652174,68.94663573085846,27.28665268606104,58.28391211246623,262.10672853828305,145.5678267446011,342.9529326878317,32.986594202898544,79.925
177.0,Dang,Dhikpur,B2,,120.0,60.0,40.0,0.0,6.0,manure,top dressing,V6 and V10,OPV,DB2-NJV582uW,28.02703290246427 82.3708223272115 529.0 9.0,28.02703290246427,82.3708223272115,529.0,9.0,19367.0,10900.0,11667.0,300.0,16.6,11.057,,,,28.02703290246427,82.3708223272115,28.02703290246427,82.3708223272115,6.68,1.9,0.1,126.3,468.08,42.72,24.23,35.46,Dang,direct_overlay,False,0.0,direct_overlay,FMR_012,11.020881670533642,48.57692307692307,3.821625024591776,5.632608695652174,68.94663573085846,27.25396037836873,58.35622156492661,262.10672853828305,145.94215366767804,342.7779438128776,45.20326086956522,92.14166666666667
205.0,Dang,Dhikpur,B4,,60.0,60.0,40.0,0.0,0.0,PCU,basal,planting,OPV,DB4-ETV895lA,28.027059598825872 82.37078092060983 523.0 7.0,28.027059598825872,82.37078092060983,523.0,7.0,23067.0,10600.0,8333.0,295.0,17.0,7.86,,,,28.027059598825872,82.37078092060983,28.027059598825872,82.37078092060983,6.67,1.9,0.1,126.18,468.46,42.75,24.24,35.44,Dang,direct_overlay,False,0.0,direct_overlay,FMR_012,11.020881670533642,48.53076923076923,3.824727523116269,5.632608695652174,68.7592807424594,27.256920288238444,58.72449560653093,262.4814385150812,145.90826269966982,341.88672063219514,37.1231884057971,131.0
219.0,Dang,Dhikpur,B5,,78.0,60.0,40.0,0.0,0.0,UDP,basal,planting,OPV,DB5-XDZ224tO,28.027094090357423 82.37071017734706 527.0 8.0,28.027094090357423,82.37071017734706,527.0,8.0,20350.0,9933.0,6333.0,290.0,17.0,5.973,,,,28.027094090357423,82.37071017734706,28.027094090357423,82.37071017734706,6.67,1.91,0.1,125.91,469.25,42.8,24.27,35.39,Dang,direct_overlay,False,0.0,direct_overlay,FMR_012,11.078886310904872,48.426923076923075,3.831177454259295,5.632608695652174,69.12117169373549,27.220742135909333,58.567004428683646,261.757656612529,146.32250254383814,342.2678492825856,4.363991081382379,76.57692307692308
94.0,Dang,Dhikpur,A1,,120.0,60.0,40.0,0.0,0.0,0,top dressing,V6 and V10,Hybrid,DA1-WDN316cM,28.03020503371954 82.37675772048533 536.0 7.0,28.03020503371954,82.37675772048533,536.0,7.0,17510.0,10550.0,6000.0,270.0,17.4,5.632,,,,28.03020503371954,82.37675772048533,28.03020503371954,82.37675772048533,6.63,1.89,0.1,112.77,441.49,42.73,24.02,36.86,Dang,direct_overlay,False,0.0,direct_overlay,FMR_099,10.962877030162412,43.37307692307692,3.6045317725752506,5.632608695652174,67.65191415313224,24.7620913907728,56.80212088654754,264.69617169373555,174.47405357565142,346.538867454555,-0.005072463768122463,46.93333333333333
