district,lat,lon,ph,om_pct,native_N_supply_kg_ha,native_P_supply_kg_ha,native_K_supply_kg_ha,rec_N_kg_ha,rec_P2O5_kg_ha,rec_K2O_kg_ha,narc_urea_total_kg_ha,narc_dap_kg_ha,narc_mop_kg_ha
Jhapa,26.635,87.985,5.77,2.69,73.47569605568444,13.76284366633946,27.143447063225114,253.04860788863112,300.4154400204132,418.3128581069952,11.36,4.34,3.34
Jhapa,26.56,87.72,5.36,4.17,97.04199535962879,19.07621684811708,14.190608321598875,205.91600928074243,239.57731708905942,449.65872786173065,11.78,3.25,3.34
Jhapa,26.672,87.684,5.63,1.75,45.3842807424594,13.194211527306798,32.33975820506582,309.2314385150812,306.92627801233715,405.73778514374067,11.36,4.34,3.34
Jhapa,26.549,88.089,5.48,2.15,52.577726218097446,12.422798500803141,34.432756496910464,294.8445475638051,315.7589571658041,400.67272927747666,11.36,4.34,3.34
Jhapa,26.673,87.973,5.83,2.28,63.62575406032482,10.346499955381045,36.76948616747044,272.74849187935035,339.53257551088706,395.01784347472153,11.36,4.34,3.34
Morang,26.485,87.285,6.37,1.75,58.15400232018562,11.151903834999107,26.631133804329934,283.6919953596288,330.3107010892602,419.55265619352156,11.36,4.34,3.34
Morang,26.666,87.592,6.12,2.14,65.83851508120651,9.551728359807246,24.8784840549468,268.322969837587,348.632710280207,423.79406858702873,11.36,4.34,3.34
Morang,26.658,87.41,6.37,2.22,73.77250580046405,12.192689875959307,31.803211800720636,252.4549883990719,318.3937009202659,407.036227442256,11.36,4.34,3.34
Morang,26.655,87.545,6.045,2.52375,75.77837514501161,22.145838568275366,30.292621821885046,248.44324970997678,204.43014839324707,410.6918551910382,0.0,,
Morang,26.745,87.497,6.03375,2.5387500000000003,75.94713330191418,22.327100957769378,30.879477640454088,248.10573339617164,202.3546940335406,409.2716641101011,0.0,,
Sunsari,26.665,87.272,6.266249999999999,2.03,65.38183729698373,14.453520028158742,31.112983696368932,269.2363254060325,292.5071956775824,408.7065794547872,0.0,,
Sunsari,26.79,87.29,6.276249999999999,2.275,73.4970816415313,15.633252065979583,33.86558414655019,253.0058367169374,278.99926384453374,402.04528636534855,0.0,,
Sunsari,26.603,87.148,6.26,1.62,52.07679814385151,11.621930305193647,30.962578334766015,295.846403712297,324.92889800553274,409.0705604298662,11.36,4.34,3.34
Sunsari,26.573,87.274,6.47,1.72,58.853132250580046,15.775432045332858,19.72570119885637,282.2937354988399,277.3713030809388,436.2638030987676,11.78,3.25,3.34
Sunsari,26.653,87.171,6.28,1.87,60.48213457076567,12.678353917544172,31.921114197098625,279.03573085846864,312.8328476441192,406.7509036430213,11.36,4.34,3.34
Saptari,26.542,86.757,6.19,1.535,48.284831786542924,12.348511639969658,30.557340208753185,303.43033642691415,316.6095417223474,410.0512366948173,0.0,,
Saptari,26.638,86.912,6.08,1.46,44.34199535962877,14.950706050330181,31.263952995656695,311.3160092807425,286.81441572371943,408.3412337505108,9.6,3.25,3.34
Saptari,26.611,86.681,5.96,1.09,31.81484918793504,6.68802980546136,42.520421570937366,336.3703016241299,381.42205872746734,381.1005797983315,9.17,4.34,3.34
Saptari,26.615,86.765,5.92,1.54,44.34199535962877,13.358753167945743,36.81217182566938,311.3160092807425,305.0422762270212,394.91454418188005,9.17,4.34,3.34
Saptari,26.621,86.519,6.18,1.23,38.56948955916474,12.062415982509371,28.597538175556988,322.8610208816705,319.88533700026767,414.79395761515207,9.17,4.34,3.34
Dhankuta,26.983,87.333,6.196249999999999,2.8512500000000003,89.86440418358467,31.96212739733196,40.77580809541329,220.27119163283066,92.03364130054904,385.32254440909986,0.0,,
Dhankuta,27.049,87.294,6.16,3.42,106.56751740139211,24.550436908798858,48.46309819184541,186.86496519721578,176.8974973942531,366.7193023757341,9.510000000000002,3.47,0.83
Dhankuta,27.144,87.274,6.24,2.76,88.17911832946635,43.114951633053714,44.9317618939629,223.6417633410673,0.0,375.26513621660973,10.44,1.08,2.67
Dhankuta,27.025,87.241,6.23375,2.6825,85.5377519576566,28.576698253734396,38.97751216558272,228.9244960846868,130.79680499474117,389.67442055928984,0.0,,
Dhankuta,26.96,87.23,6.18,3.46,108.49628770301624,27.52210574692129,43.854433109810465,183.00742459396753,142.87188919775122,377.8722718742587,6.890000000000001,3.25,2.5
Ilam,26.911,87.924,6.23,3.14,100.01009280742461,41.6253296671426,41.72295362542532,199.97981438515077,0.0,383.03045222647074,10.44,1.08,2.67
Ilam,26.857,88.087,6.3,3.3,107.38399071925753,40.66344145993218,49.64793416376363,185.23201856148495,0.0,363.851999323692,10.44,1.08,0.83
Ilam,26.897,88.071,5.946250000000001,2.905,84.39707439095129,33.37612174150915,41.730394242024694,231.20585121809742,75.84340605972021,383.0124459343003,0.0,,
Ilam,26.946,88.115,5.94625,2.905,84.39707439095127,33.37612174150915,41.730394242024694,231.20585121809745,75.84340605972021,383.0124459343003,0.0,,
Ilam,26.903,87.732,5.96,2.97,86.68816705336428,38.51322023915759,48.37486874044351,226.62366589327144,17.02362826164559,366.93281764812673,10.44,1.08,2.67
Panchthar,27.152,87.761,5.92,3.24,93.29095127610209,53.64321595573799,39.78847941130133,213.41809744779582,0.0,387.7118798246508,10.44,1.08,2.67
Panchthar,27.051,87.625,6.3,2.64,85.90719257540603,42.1472916294842,31.168787940823318,228.18561484918794,0.0,408.5715331832076,10.44,1.08,3.34
Panchthar,26.93,87.67,6.08,3.47,105.38816705336428,54.779812957344284,41.52996363713186,189.22366589327143,0.0,383.4974879981409,10.44,1.08,2.67
Panchthar,27.266,87.73,6.14875,3.1175,96.79575297273782,42.43593454586794,43.475203919939226,206.40849405452437,0.0,378.7900065137471,0.0,,
Panchthar,26.883,87.609,6.07625,2.69625,81.78872625435034,33.32017243990472,37.65497110001628,236.42254749129933,76.484025563091,392.8749699379606,0.0,,
