province,district,n_points,avg_ph,rec_N,rec_P2O5,rec_K2O
Karnali,Dailekh,20,6.06,225.4,200.5,384.4
Karnali,Dolpa,4,6.78,70.8,67.8,419.5
Karnali,Humla,4,7.14,80.9,75.7,449.0
Karnali,Jajarkot,27,6.47,179.7,67.4,390.3
Karnali,Jumla,12,6.01,160.3,264.7,382.6
Karnali,Kalikot,9,6.42,179.9,298.6,388.4
Karnali,Mugu,9,7.0,80.5,93.8,449.5
Karnali,Rukum_w,10,6.6,177.1,136.6,397.0
Karnali,Salyan,17,6.48,189.9,21.0,395.8
Karnali,Surkhet,21,6.83,157.2,119.7,414.4
Province 5,Arghakhanchi,14,6.38,207.3,153.7,405.4
Province 5,Banke,21,7.32,258.5,165.3,437.5
Province 5,Bardiya,31,7.34,242.5,211.3,432.7
Province 5,Dang,31,6.93,231.0,75.4,364.9
Province 5,Gulmi,10,6.43,186.7,47.0,427.4
Province 5,Kapilbastu,34,7.3,239.5,316.4,443.3
Province 5,Nawalparasi_w,11,7.2,258.1,336.9,458.7
Province 5,Palpa,10,6.4,193.2,188.8,425.4
Province 5,Pyuthan,6,6.51,238.6,8.4,337.2
Province 5,Rolpa,17,6.62,223.2,30.6,340.3
Province 5,Rukum_e,7,6.37,171.6,45.3,390.5
Province 5,Rupandehi,24,6.84,264.5,289.0,455.0
