province,district,palika,lat,lon,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,maize_urea_total,maize_dap,maize_mop,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,OC,P_Olsen,Exch_K,n_supply,p_supply,k_supply,target_yield_t_ha,quefts_N_kg_ha,quefts_P2O5_kg_ha,quefts_K2O_kg_ha,IE_N_kg_grain_per_kg_uptake,RE_N_fraction,dsm_interpretation
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.76,83.2,6.36,2.54,0.11,66.14,207.2,64.73,13.77,26.24,9.74,2.89,3.34,NARC_API_modelled_DSM,False,0,none,14.733178654292345,25.43846153846154,1.6916781428290377,84.15591647331789,17.54169480635374,23.723618948714208,6.0,131.68816705336423,142.6475944672497,305.5888421441116,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.78,83.08,6.03,3.04,0.1,37.29,151.55,76.17,10.73,15.66,9.45,3.62,3.34,NARC_API_modelled_DSM,False,0,none,17.633410672853827,14.342307692307692,1.2373253983867794,90.82969837587008,13.34007031947171,17.102304587907206,6.0,118.34060324825984,190.7561948420489,321.61242289726454,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.82,83.12,5.5,3.56,0.11,29.46,193.02,82.58,8.48,10.48,9.45,3.62,3.34,NARC_API_modelled_DSM,False,0,none,20.649651972157773,11.330769230769231,1.575905961046626,87.76102088167053,11.989340531857934,22.967159689284113,6.0,124.47795823665894,206.22205091022667,307.4194735519324,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.84,82.78,6.55,2.44,0.1,61.04,295.58,68.34,15.72,15.06,9.74,2.89,2.67,NARC_API_modelled_DSM,False,0,none,14.153132250580047,23.476923076923075,2.4132539838677944,85.41415313225058,15.942826387649472,31.930404766084497,6.0,129.17169373549885,160.95463786141354,285.72842046607553,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Panini Gaunpalika,27.84,83.24,6.1,3.14,0.12,98.66,354.49,63.42,13.21,24.83,9.510000000000002,3.47,2.67,NARC_API_modelled_DSM,False,0,none,18.213457076566126,37.94615384615384,2.8942228998622856,95.98491879350348,25.315913349991074,37.7669252884767,6.0,108.03016241299304,53.6327921426022,271.60404080188636,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.86,83.08,5.63,3.79,0.1,37.01,234.69,82.26,8.25,9.9,9.45,3.62,3.34,NARC_API_modelled_DSM,False,0,none,21.983758700696058,14.234615384615383,1.916119417666732,98.28938515081208,14.284947338479384,25.242901497110783,6.0,103.42122969837584,179.93735297441106,301.9121783769919,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.86,83.1,5.68,3.61,0.09,40.61,274.42,78.93,9.07,11.95,9.45,3.62,3.34,NARC_API_modelled_DSM,False,0,none,20.93967517401392,15.619230769230768,2.240493802872319,95.4011600928074,14.763262716401925,30.309321363315423,6.0,109.1976798143852,174.46064189719795,289.6514423007767,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.86,83.18,6.09,3.4,0.1,67.09,311.6,71.58,10.62,18.37,9.510000000000002,3.47,2.67,NARC_API_modelled_DSM,False,0,none,19.721577726218097,25.803846153846155,2.544048790084595,103.59744779582365,19.776519944672497,31.044747635676337,6.0,92.80510440835269,117.0588466334999,287.87171072166325,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Sitganga Nagarpalika,27.86,83.2,6.15,3.38,0.12,126.18,429.14,56.63,13.17,30.44,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,19.60556844547564,48.53076923076923,3.503700570529215,104.98781902552206,31.050136645547028,41.91240253762269,6.0,90.02436194895589,0.0,261.5719858589531,40.0,0.5,modelled spatial covariate
Province 5,Arghakhanchi,Panini Gaunpalika,27.86,83.24,6.32,3.15,0.11,115.61,390.32,53.86,12.2,31.69,10.44,1.08,2.67,NARC_API_modelled_DSM,False,0,none,18.271461716937353,44.465384615384615,3.186755852842809,103.12412993039442,28.30027931465286,37.66541372682616,6.0,93.75174013921117,19.461801847224734,271.8496987810807,40.0,0.5,modelled spatial covariate
