province,district,palika,lat,lon,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,maize_urea_total,maize_dap,maize_mop,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,OC,P_Olsen,Exch_K,n_supply,p_supply,k_supply,rec_N_kg_ha,rec_P2O5_kg_ha,rec_K2O_kg_ha
Province 5,Kapilbastu,Krishnanagar Nagarpalika,27.5,82.8,7.8,2.39,0.12,26.01,183.86,17.54,13.82,70.91,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,13.8631090487239,10.003846153846155,1.5011194176667322,113.12296983758702,1.993628413349993,7.25839776119966,173.75406032482596,435.17295466714256,466.4346774178968
Province 5,Kapilbastu,Krishnanagar Nagarpalika,27.5,82.85,7.79,2.45,0.12,24.86,183.96,14.61,15.82,69.9,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,14.211136890951277,9.561538461538461,1.501935864646862,115.72128770301626,1.7862339929502054,7.210093245597081,168.55742459396748,437.5476207807201,466.55157434565507
Province 5,Kapilbastu,Maharajgunj Nagarpalika,27.5,82.95,7.62,2.23,0.12,28.55,199.19,18.15,17.1,66.01,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,12.935034802784223,10.98076923076923,1.6262807397206371,101.59176334106729,4.076973362484382,10.490956016008898,196.81647331786542,411.31865499955387,458.61188644125843
Province 5,Kapilbastu,Yashodhara Gaunpalika,27.5,83.0,7.36,1.78,0.1,38.47,170.76,21.22,14.71,65.86,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,10.324825986078887,14.796153846153846,1.3941648632697226,76.52761020881671,7.669826343030518,14.074562644728678,246.94477958236658,370.1804883723005,449.9395583997566
Province 5,Kapilbastu,Yashodhara Gaunpalika,27.5,83.05,7.09,1.73,0.09,30.75,152.11,20.83,13.6,66.57,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,10.034802784222737,11.826923076923077,1.2418975014755065,69.77198375870069,7.339231405050866,15.873667696323052,260.45603248259863,373.9658004121676,445.5857241748982
Province 5,Kapilbastu,Mayadevi Gaunpalika,27.5,83.15,7.16,1.69,0.08,26.67,160.25,22.76,12.59,66.68,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,9.80278422273782,10.257692307692308,1.3083562856580757,69.32529002320186,6.2514610030340885,16.19955170369738,261.3494199535963,386.4207715152597,444.7970848770523
Province 5,Rupandehi,Rohini Gaunpalika,27.5,83.5,7.3,1.99,0.1,84.11,116.5,29.67,20.06,50.49,11.78,3.25,3.34,direct_overlay,False,0,direct_overlay,11.54292343387471,32.35,0.9511607318512687,84.37877030162413,16.801203596287706,9.21322840178811,231.24245939675174,265.6262188225058,461.70398726767274
Province 5,Kapilbastu,Mayadevi Gaunpalika,27.5,83.1,6.9,1.65,0.08,23.4,151.87,21.12,12.14,67.61,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,9.5707656612529,9.0,1.239938028723195,63.45417633410673,6.4931119489559155,18.691906538583776,273.09164733178653,383.6538681844548,438.76558617662727
Province 5,Rupandehi,Lumbini sanskritik Nagarpalika,27.5,83.3,6.72,1.55,0.09,37.92,130.93,27.09,16.71,57.21,11.36,4.34,3.34,direct_overlay,False,0,direct_overlay,8.990719257540604,14.584615384615384,1.0689740310840055,56.85730858468678,9.62342138140282,18.854937283987283,286.2853828306264,347.8118251829377,438.3710517727508
Province 5,Nawalparasi_w,Ramgram Nagarpalika,27.5,83.65,7.65,1.69,0.09,73.65,110.5,24.95,20.7,54.54,9.81,2.71,3.34,direct_overlay,False,0,direct_overlay,9.80278422273782,28.326923076923077,0.902173913043478,77.49100928074247,12.924022008299124,7.085677201060727,245.01798143851505,310.019948004975,466.85266117343303
Province 5,Rupandehi,Lumbini sanskritik Nagarpalika,27.5,83.25,6.35,1.62,0.08,31.48,129.1,29.35,13.45,60.8,11.36,4.34,3.34,direct_overlay,False,0,direct_overlay,9.396751740139212,12.107692307692307,1.054033051347629,53.514501160092806,9.141266397465644,21.671172110745065,292.9709976798144,353.3324997490184,431.5557634919969
Province 5,Nawalparasi_w,Ramgram Nagarpalika,27.5,83.7,7.4,1.35,0.08,34.47,92.31,27.7,20.93,52.07,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,7.830626450116009,13.257692307692308,0.7536622073578595,58.57308584686775,6.683660538996964,9.163001731205558,282.8538283062645,381.47208682848475,461.82553581048256
Province 5,Nawalparasi_w,Bardaghat Nagarpalika,27.5,83.8,6.64,2.86,0.09,77.76,113.64,49.0,19.23,29.66,9.74,2.89,3.34,direct_overlay,False,0,direct_overlay,16.589327146171694,29.907692307692308,0.9278103482195552,102.65475638051043,19.57098768516866,10.193071724731922,194.69048723897913,233.91219100481885,459.3327664261488
Province 5,Nawalparasi_w,Bardaghat Nagarpalika,27.5,83.75,6.99,1.77,0.08,43.09,117.6,31.72,38.19,31.7,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,10.266821345707658,16.573076923076925,0.9601416486326971,69.63984918793506,10.118986402373729,12.89854033123429,260.7203016241299,342.1376056928208,452.78553239841295
Province 5,Nawalparasi_w,Ramgram Nagarpalika,27.5,83.6,7.8,1.63,0.09,61.63,113.28,24.64,20.55,56.58,9.81,2.71,3.34,direct_overlay,False,0,direct_overlay,9.45475638051044,23.703846153846154,0.9248711390910879,77.1508120649652,9.800240942352312,6.160362571228193,245.6983758700696,345.787241210066,469.0919225776277
Province 5,Rupandehi,Siddharthanagar Nagarpalika,27.5,83.45,7.08,1.92,0.1,81.75,139.69,34.3,20.66,47.53,11.78,3.25,3.34,direct_overlay,False,0,direct_overlay,11.1368909512761,31.44230769230769,1.1404947865433797,77.24547563805103,17.345803498126003,13.469811255505189,245.50904872389793,259.39054994645727,451.4030567616774
Province 5,Rupandehi,Rohini Gaunpalika,27.5,83.55,7.49,1.86,0.1,70.43,118.38,27.85,20.28,52.59,11.78,3.25,3.34,direct_overlay,False,0,direct_overlay,10.788863109048725,27.08846153846154,0.96650993507771,82.35139211136892,13.128670734427985,8.33626787871364,235.29721577726215,307.67672009079956,463.826231733513
Province 5,Rupandehi,Siddharthanagar Nagarpalika,27.5,83.4,6.99,1.77,0.09,54.84,112.46,28.57,17.85,53.3,11.36,4.34,3.34,direct_overlay,False,0,direct_overlay,10.266821345707658,21.092307692307692,0.918176273854023,69.63984918793506,12.378601786989112,12.334777599069797,260.7203016241299,316.2650095389747,454.14983821025106
Province 5,Kapilbastu,Suddhodhan Gaunpalika,27.5,83.2,6.58,1.61,0.08,21.04,128.7,25.17,11.31,64.62,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,9.338747099767982,8.092307692307692,1.0507672634271097,56.83561484918794,6.764943289309299,19.389696194251343,286.3287703016241,380.5413993374085,437.0769352099117
Province 5,Kapilbastu,Krishnanagar Nagarpalika,27.55,82.75,7.77,1.86,0.1,24.42,185.96,22.34,13.65,68.49,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,10.788863109048725,9.392307692307693,1.5182648042494589,87.4868909512761,2.557180818311622,9.464863391341527,225.0262180974478,428.72027963033196,461.0950305929535
Province 5,Kapilbastu,Krishnanagar Nagarpalika,27.55,82.85,7.87,1.78,0.09,24.6,176.35,18.83,14.54,68.64,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,10.324825986078887,9.461538461538462,1.439804249458981,85.4792343387471,2.0261036275209703,8.03266997854113,229.0415313225058,434.8011134648849,464.5609386519305
Province 5,Kapilbastu,Maharajgunj Nagarpalika,27.55,82.95,7.51,2.16,0.11,63.29,243.19,22.65,19.09,57.76,9.74,2.89,3.34,direct_overlay,False,0,direct_overlay,12.529002320185615,24.342307692307692,1.9855174109777685,96.0598607888631,11.55701347492415,14.806019295527852,207.8802784222738,325.6721957121185,448.1694333048226
Province 5,Rupandehi,Gaidahawa Gaunpalika,27.55,83.25,6.5,1.63,0.09,47.85,119.82,30.5,14.49,56.12,11.36,4.34,3.34,direct_overlay,False,0,direct_overlay,9.45475638051044,18.403846153846153,0.9782667715915797,56.25580046403712,12.097442218454399,18.61719741940482,287.48839907192576,319.48428659869717,438.94638224504035
Province 5,Kapilbastu,Suddhodhan Gaunpalika,27.55,83.2,6.61,1.65,0.08,29.87,133.98,27.49,11.0,63.44,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,9.5707656612529,11.488461538461538,1.0938756639779657,58.73578886310905,8.470774417722648,19.478854019451543,282.52842227378187,361.00963291707563,436.86117327292726
Province 5,Kapilbastu,Mayadevi Gaunpalika,27.55,83.15,7.19,1.77,0.09,30.85,166.56,23.26,13.54,64.19,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,10.266821345707658,11.865384615384615,1.359874090104269,73.13056844547565,6.9817817798500785,15.848870059113851,253.7388631090487,378.05859862071657,445.6457344569444
Province 5,Rupandehi,Gaidahawa Gaunpalika,27.55,83.3,6.56,1.81,0.1,54.32,101.97,32.09,16.59,51.11,11.36,4.34,3.34,direct_overlay,False,0,direct_overlay,10.498839907192576,20.892307692307693,0.8325309856384023,63.538979118329465,13.54457147956452,14.107051541831867,272.9220417633411,302.9146565589863,449.86093526876687
Province 5,Kapilbastu,Maharajgunj Nagarpalika,27.55,82.9,7.97,2.0,0.1,23.48,182.95,19.77,14.51,67.28,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,11.600928074245939,9.03076923076923,1.4936897501475503,98.01624129930394,0.6968521327860095,6.363363476803515,203.96751740139212,450.02104307960025,468.6006603861355
Province 5,Kapilbastu,Krishnanagar Nagarpalika,27.55,82.8,7.9,2.12,0.1,29.7,209.1,19.02,13.34,69.19,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,12.296983758700698,11.423076923076922,1.7071906354515047,102.43387470997682,2.2468632875245373,7.8387695015582155,195.13225058004636,432.273415357844,465.0301778062291
Province 5,Kapilbastu,Kapilbastu Nagarpalika,27.55,83.05,6.93,1.82,0.1,71.16,206.07,27.83,15.37,57.58,9.74,2.89,3.34,direct_overlay,False,0,direct_overlay,10.556844547563806,27.369230769230768,1.6824522919535705,70.53027842227378,15.781653377654827,22.96681445221347,258.9394431554524,277.30006882585224,428.4203090256434
Province 5,Rupandehi,Siyari Gaunpalika,27.55,83.35,6.84,1.87,0.1,60.14,98.91,32.16,16.81,49.72,11.7,3.47,3.34,direct_overlay,False,0,direct_overlay,10.846867749419955,23.13076923076923,0.8075477080464292,70.80835266821346,14.022417097983222,11.396944140426033,258.3832946635731,297.4433242280921,456.419395180169
Province 5,Kapilbastu,Kapilbastu Nagarpalika,27.55,83.1,6.87,1.65,0.08,28.05,145.18,25.08,11.06,64.41,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,9.5707656612529,10.788461538461538,1.1853177257525083,62.96606728538282,7.476279058093877,18.20354709526526,274.06786542923436,372.39660478482506,439.94741602945805
Province 5,Rupandehi,Omsatiya Gaunpalika,27.55,83.5,6.82,1.96,0.1,83.79,116.93,32.53,19.59,46.81,11.7,3.47,3.34,direct_overlay,False,0,direct_overlay,11.368909512761022,32.22692307692308,0.9546714538658272,73.82969837587008,18.754800285561306,13.111883655447036,252.34060324825984,243.25753673032304,452.2692415538182
Province 5,Rupandehi,Siyari Gaunpalika,27.55,83.45,6.64,1.95,0.1,78.85,95.34,32.91,18.54,46.29,11.7,3.47,3.34,direct_overlay,False,0,direct_overlay,11.310904872389791,30.326923076923073,0.7784005508557937,69.99187935034803,18.311512582545063,11.887086114850087,260.01624129930394,248.33318092985903,455.23325160206275
Province 5,Nawalparasi_w,Ramgram Nagarpalika,27.55,83.6,7.01,1.69,0.09,74.84,139.69,28.01,16.8,57.16,9.74,2.89,3.34,direct_overlay,False,0,direct_overlay,9.80278422273782,28.784615384615385,1.1404947865433797,66.82558004640372,16.073313637783333,15.70188330947138,266.34883990719254,273.9605588473808,446.00144239107925
Province 5,Nawalparasi_w,Ramgram Nagarpalika,27.55,83.65,7.07,1.61,0.1,55.89,106.33,30.48,17.49,55.33,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,9.338747099767982,21.496153846153845,0.8681280739720636,64.61479118329467,12.145550385953952,11.93117127508533,270.77041763341066,318.93344808082725,455.12656551429353
Province 5,Rupandehi,Devdaha Nagarpalika,27.55,83.55,6.78,1.85,0.1,75.71,123.01,32.52,20.01,47.61,11.78,3.25,3.34,direct_overlay,False,0,direct_overlay,10.730858468677496,29.119230769230764,1.0043114302577216,68.9564965197216,17.172901347492413,14.817716180289658,262.0870069605568,261.3702795712119,448.141126843699
Province 5,Nawalparasi_w,Bardaghat Nagarpalika,27.55,83.75,6.88,1.58,0.11,24.01,96.74,47.25,22.57,26.61,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,9.164733178654293,9.234615384615385,0.7898308085776115,60.450580046403715,6.582959664465465,12.485299233983689,279.09883990719254,382.6251118418704,453.7855758537595
