year,district,site,nutrient,yield_t_ha,latitude,longitude,n
2017,Dang,Dhikpur,K,4.954999999999999,28.048351666666665,82.39326166333333,3
2017,Dang,Dhikpur,N,4.394333333333333,28.04829667,82.39332333666665,3
2017,Dang,Dhikpur,P,6.375666666666667,28.048365,82.39328111,3
2017,Dang,Dhuruwa,K,6.357666666666667,28.02730055666667,82.32571722333334,3
2017,Dang,Dhuruwa,N,5.299,28.02723611,82.32574222333334,3
2017,Dang,Dhuruwa,P,6.045999999999999,28.02733222,82.32578666666667,3
2017,Dang,Hapur,K,4.2325,28.092501665,82.427404165,2
2017,Dang,Hapur,N,4.099,28.092502500000002,82.4274475,2
2017,Dang,Hapur,P,3.5595,28.092539164999998,82.42740917,2
2017,Dang,Laxmipur,K,5.822333333333333,27.979815556666665,82.49192833333333,3
2017,Dang,Laxmipur,N,5.8389999999999995,27.97981833333333,82.49198944333334,3
2017,Dang,Laxmipur,P,7.274,27.979812776666666,82.49199778,3
2017,Dang,Panchakule,K,7.743,28.13377667,82.113289165,2
2017,Dang,Panchakule,N,8.108,28.133784165,82.11335249999999,2
2017,Dang,Panchakule,P,7.7405,28.133735835000003,82.1133075,2
2017,Dang,Pawannagar,K,6.9430000000000005,28.163645003333333,82.25672055666666,3
2017,Dang,Pawannagar,N,5.611999999999999,28.16373889,82.25659944666667,3
2017,Dang,Pawannagar,P,6.1370000000000005,28.163773889999998,82.25668,3
2017,Dang,Purandhara,K,6.789666666666666,28.191680556666668,82.09879111,3
2017,Dang,Purandhara,N,6.9205000000000005,28.195999999999998,82.0990625,2
2017,Dang,Purandhara,P,7.813,28.19165111,82.09889389,3
2017,Dang,Shantinagar,K,8.738,28.16539333333333,82.230055,3
2017,Dang,Shantinagar,N,5.816000000000001,28.1641925,82.23189833500001,2
2017,Dang,Shantinagar,P,9.297666666666666,28.165434443333336,82.23003278,3
2017,Dang,Shreegau,K,6.331666666666667,28.106413333333336,82.179135,3
2017,Dang,Shreegau,N,5.164666666666666,28.10642111,82.17908333333334,3
2017,Dang,Shreegau,P,5.853333333333334,28.106334446666665,82.17913944333333,3
2017,Surkhet,Babiyachaur,K,11.777733333333332,28.8186626,81.40618346666666,3
2017,Surkhet,Babiyachaur,N,8.68665,28.8150008,81.40368699999999,2
2017,Surkhet,Babiyachaur,P,9.989966666666668,28.818690633333333,81.40620513333333,3
2017,Surkhet,Gadhi,K,11.44335,28.64615054,81.60291377,2
2017,Surkhet,Gadhi,N,7.11665,28.646153925,81.60290024,2
2017,Surkhet,Gadhi,P,10.825,28.646149275,81.60290366999999,2
2017,Surkhet,Ghumkhare,K,10.49,28.4394542,81.89756616666666,3
2017,Surkhet,Ghumkhare,N,5.92,28.438968250000002,81.89711775,2
2017,Surkhet,Ghumkhare,P,10.535566666666668,28.439443833333332,81.89755083333334,3
2017,Surkhet,Guthu,K,11.177766666666665,28.843899866666664,81.30401166666667,3
2017,Surkhet,Guthu,N,6.8667,28.84796155,81.30247535000001,2
2017,Surkhet,Guthu,P,11.611133333333333,28.84390053333333,81.30400353333333,3
2017,Surkhet,Kalyan,K,9.5,28.502913233333334,81.73767813333333,3
2017,Surkhet,Kalyan,N,7.6499,28.50291113333333,81.73766526666667,3
2017,Surkhet,Kalyan,P,9.67,28.502915599999998,81.73766496666667,3
2017,Surkhet,Lekhpharsa,K,10.286666666666667,28.4738694,81.80859646666666,3
2017,Surkhet,Lekhpharsa,N,7.815533333333334,28.473854733333336,81.80856803333334,3
2017,Surkhet,Lekhpharsa,P,9.0489,28.473851433333333,81.8085775,3
2017,Surkhet,Maintada-3,K,8.0189,28.444805446666667,81.80526825999999,3
2017,Surkhet,Maintada-3,N,6.782233333333334,28.444800643333334,81.80525643333334,3
2017,Surkhet,Maintada-3,P,7.746666666666667,28.444808573333333,81.80525974,3
2017,Surkhet,Maintada-4,K,9.055566666666666,28.419788056666665,81.79544834666667,3
2017,Surkhet,Maintada-4,N,6.811133333333334,28.41986725,81.79541291666668,3
2017,Surkhet,Maintada-4,P,8.488866666666667,28.41979259,81.79543064333335,3
2017,Surkhet,Neta,K,12.200000000000001,28.545114566666665,81.7916475,3
2017,Surkhet,Neta,N,9.89,28.55006565,81.79385479999999,2
2017,Surkhet,Neta,P,12.621133333333333,28.54510636666667,81.79164686666667,3
2017,Surkhet,Ramghat,K,11.423333333333332,28.489562199999998,81.7429324,3
2017,Surkhet,Ramghat,N,7.975,28.490014549999998,81.74256355,2
2017,Surkhet,Ramghat,P,11.373366666666668,28.489570633333333,81.74293586666666,3
2018,Dang,Dhikpur,N,7.778666666666666,28.033864363333333,82.37336383,3
2018,Dang,Dhikpur,P,8.039666666666667,28.033883709999998,82.37337878,3
2018,Dang,Dhuruwa,N,9.516,28.021506985000002,82.32466608,2
2018,Dang,Dhuruwa,P,6.328,28.02138044,82.32478682,2
2018,Dang,Hapur,N,5.213,28.09047423,82.42109042,3
2018,Dang,Hapur,P,5.367333333333334,28.090530610000002,82.42109393666667,3
2018,Dang,Laxmipur,N,6.291,27.97779453,82.46365391666667,3
2018,Dang,Laxmipur,P,7.480666666666667,27.97782377,82.46362986000001,3
2018,Dang,Panchakaule,N,7.408499999999999,28.1161827825,82.1663094425,4
2018,Dang,Panchakaule,P,7.5035,28.116182165,82.166317405,4
2018,Dang,Pawannagar,N,5.853000000000001,28.170445753333336,82.26029008666666,3
2018,Dang,Pawannagar,P,7.480333333333334,28.170490793333332,82.26030517333334,3
2018,Dang,Purandhara,N,7.886333333333333,28.187572736666667,82.09805455,3
2018,Dang,Purandhara,P,7.9655000000000005,28.18367142,82.095813715,2
2018,Dang,Shantinagar,N,6.428999999999999,28.16554648,82.22549485,3
2018,Dang,Shantinagar,P,7.060666666666667,28.165580353333336,82.22546266333333,3
2018,Doti,Chattiwan,N,5.561333333333333,29.082117673333332,80.59344675666667,3
2018,Doti,Chattiwan,P,7.152,29.082116786666663,80.59344661666667,3
2018,Doti,Ghantesori,N,7.978666666666666,29.144255543333333,80.60342482333334,3
2018,Doti,Ghantesori,P,7.4576666666666656,29.144243743333334,80.60338146666668,3
2018,Kavre,Anekot,N,4.996333333333333,27.660593003333332,85.58983393666666,3
2018,Kavre,Anekot,P,6.163,27.660582693333335,85.58990640999998,3
2018,Kavre,Bhakundebesi,N,7.976333333333334,27.558041766666665,85.66619869333333,3
2018,Kavre,Bhakundebesi,P,8.392999999999999,27.558025156666663,85.66628879,3
2018,Kavre,Rabiopi,N,8.972333333333333,27.647591393333332,85.56455434666667,3
2018,Kavre,Rabiopi,P,9.125666666666667,27.647599193333335,85.56455267000001,3
2018,Palpa,Chidipani,N,5.2705,,,2
2018,Palpa,Chidipani,P,5.2445,,,2
2018,Palpa,Devinagar,N,5.6706666666666665,,,3
2018,Palpa,Devinagar,P,6.285333333333333,,,3
2018,Palpa,Khasyauli,N,5.349666666666667,,,3
2018,Palpa,Khasyauli,P,6.228666666666666,,,3
2018,Palpa,Madanpokhara,N,4.7523333333333335,,,3
2018,Palpa,Madanpokhara,P,5.888333333333333,,,3
2018,Surkhet,Babiyachaur,N,8.804,28.8048762,81.39947719666667,3
2018,Surkhet,Babiyachaur,P,8.661,28.804889683333332,81.39949015,3
2018,Surkhet,Gadhi,N,7.068333333333334,28.639586336666667,81.59303651,3
2018,Surkhet,Gadhi,P,8.015,28.639583623333333,81.59304155333334,3
2018,Surkhet,Guthu,N,7.191,28.83355033,81.3062491,1
2018,Surkhet,Guthu,P,8.705,28.83356418,81.30618851,1
2018,Surkhet,Kalyan,N,7.539000000000001,28.504867156666666,81.73680205333334,3
2018,Surkhet,Kalyan,P,8.452,28.50487771,81.73678593666666,3
2018,Surkhet,Kunathari,N,7.904,28.712942766666668,81.51046702666667,3
2018,Surkhet,Kunathari,P,8.192333333333334,28.712999359999998,81.51047152,3
2018,Surkhet,Lekhpharsa,N,8.210333333333333,28.4649723,81.79502230666667,3
2018,Surkhet,Lekhpharsa,P,8.298,28.46496256,81.79501972333334,3
2018,Surkhet,Maintada-1,N,7.1899999999999995,28.44309001,81.79643813,2
2018,Surkhet,Maintada-1,P,7.914,28.44308084,81.796419225,2
2018,Surkhet,Maintada-2,N,5.986,28.423916165,81.79690274500001,2
2018,Surkhet,Maintada-2,P,8.425,28.423912125,81.796917055,2
2018,Surkhet,Maintada-6,P,7.38,28.44630107,81.81800988,1
2018,Surkhet,Maintada-7,N,6.551,28.44627709,81.81803668,1
2018,Surkhet,Maintada-7,P,8.381,28.43198303,81.80341728,1
2018,Surkhet,Maintada-8,N,8.593,28.43198979,81.80341761,1
2018,Surkhet,Ramghat,N,7.943666666666666,28.488466066666664,81.74245871333333,3
2018,Surkhet,Ramghat,P,7.574666666666666,28.488485210000004,81.74244171333333,3
2019,Dang,Dhikpur,K,7.3505,28.04027337580919,82.3734609503299,2
2019,Dang,Dhikpur,N,7.065,28.040421379264444,82.3734554182738,2
2019,Dang,Dhikpur,P,7.6635,28.040324044413865,82.37346241716295,2
2019,Dang,Laxmipur,K,12.051,27.97845642082393,82.46627259068191,2
2019,Dang,Laxmipur,N,8.4195,27.978487119544297,82.46623659040779,2
2019,Dang,Laxmipur,P,12.036999999999999,27.97842142637819,82.466268860735,2
2019,Dang,Panchakule,K,9.5955,28.13421384897083,82.12080352474004,2
2019,Dang,Panchakule,N,8.639,28.134354832582176,82.12079874705523,2
2019,Dang,Panchakule,P,8.974499999999999,28.134351416956633,82.12082054000348,2
