year,study,dataset_type,district,site,latitude,longitude,variety,treatment_code,treatment,adjusted_yield_kg_ha,yield_t_ha,treatment_label
2017,2017 core trial,trial,Dang,Dhikpur,28.02714833,82.37515833,Hybrid-Rajkumar,1,N0-P0-K0,5043.0,5.043,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Dhikpur,28.02572,82.377395,Hybrid-Rajkumar,1,N0-P0-K0,6460.0,6.46,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Dhikpur,28.092205,82.42721,Hybrid-Rajkumar,1,N0-P0-K0,4145.0,4.145,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Dhikpur,28.02713167,82.37542667,Hybrid-Rajkumar,2,N0-P60-K40,4998.0,4.998,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Dhikpur,28.02550667,82.37736667,Hybrid-Rajkumar,2,N0-P60-K40,4134.0,4.134,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Dhikpur,28.09225167,82.42717667,Hybrid-Rajkumar,2,N0-P60-K40,4051.0,4.051,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Dhuruwa,28.02137333,82.32474333,Hybrid-Rajkumar,1,N0-P0-K0,7180.0,7.18,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Dhuruwa,28.03805,82.32935833,Hybrid-Rajkumar,1,N0-P0-K0,7575.0,7.575,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Dhuruwa,28.02261667,82.32327,Hybrid-Rajkumar,1,N0-P0-K0,7483.0,7.483,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Dhuruwa,28.02122333,82.32465667,Hybrid-Rajkumar,2,N0-P60-K40,4456.0,4.456,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Dhuruwa,28.03780667,82.329305,Hybrid-Rajkumar,2,N0-P60-K40,5327.0,5.327,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Dhuruwa,28.02267833,82.323265,Hybrid-Rajkumar,2,N0-P60-K40,6114.0,6.114,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Hapur,28.09140667,82.42664333,Hybrid-Rajkumar,1,N0-P0-K0,3490.0,3.49,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Hapur,28.09373,82.428285,Hybrid-Rajkumar,1,N0-P0-K0,3946.0,3.946,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Hapur,28.09141,82.42659333,Hybrid-Rajkumar,2,N0-P60-K40,3490.0,3.49,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Hapur,28.093595,82.42830167,Hybrid-Rajkumar,2,N0-P60-K40,4708.0,4.708,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Laxmipur,27.98058167,82.46868667,Hybrid-Rajkumar,1,N0-P0-K0,4450.0,4.45,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Laxmipur,27.99098667,82.51826167,Hybrid-Rajkumar,1,N0-P0-K0,5545.0,5.545,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Laxmipur,27.967785,82.48898667,Hybrid-Rajkumar,1,N0-P0-K0,5390.0,5.39,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Laxmipur,27.98071,82.46870833,Hybrid-Rajkumar,2,N0-P60-K40,7359.0,7.359,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Laxmipur,27.990925,82.51826,Hybrid-Rajkumar,2,N0-P60-K40,3931.0,3.931,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Laxmipur,27.96782,82.489,Hybrid-Rajkumar,2,N0-P60-K40,6227.0,6.227,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Panchakule,28.13302667,82.10547167,Hybrid-Rajkumar,1,N0-P0-K0,6879.0,6.879,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Panchakule,28.13445833,82.1212,Hybrid-Rajkumar,2,N0-P60-K40,8195.0,8.195,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Panchakule,28.13311,82.105505,Hybrid-Rajkumar,2,N0-P60-K40,8021.0,8.021,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Pawannagar,28.16120167,82.25547167,Hybrid-Rajkumar,1,N0-P0-K0,5303.0,5.303,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Pawannagar,28.15935167,82.25444833,Hybrid-Rajkumar,1,N0-P0-K0,5899.0,5.899,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Pawannagar,28.17071333,82.26032833,Hybrid-Rajkumar,1,N0-P0-K0,6072.0,6.072,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Pawannagar,28.16123333,82.25536,Hybrid-Rajkumar,2,N0-P60-K40,4892.0,4.892,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Pawannagar,28.15931167,82.25437167,Hybrid-Rajkumar,2,N0-P60-K40,6152.0,6.152,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Pawannagar,28.17067167,82.26006667,Hybrid-Rajkumar,2,N0-P60-K40,5792.0,5.792,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Purandhara,28.19366167,82.09409,Hybrid-Rajkumar,1,N0-P0-K0,6509.0,6.509,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Purandhara,28.18310167,82.09845333,Hybrid-Rajkumar,1,N0-P0-K0,7500.0,7.5,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Purandhara,28.19831167,82.10394,Hybrid-Rajkumar,2,N0-P60-K40,7460.0,7.46,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Purandhara,28.19368833,82.094185,Hybrid-Rajkumar,2,N0-P60-K40,6381.0,6.381,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Shantinagar,28.15926667,82.22875167,Hybrid-Rajkumar,1,N0-P0-K0,2648.0,2.648,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Shantinagar,28.167725,82.22625,Hybrid-Rajkumar,1,N0-P0-K0,3170.0,3.17,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Shantinagar,28.16917833,82.23504167,Hybrid-Rajkumar,2,N0-P60-K40,3406.0,3.406,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Shantinagar,28.15920667,82.228755,Hybrid-Rajkumar,2,N0-P60-K40,8226.0,8.226,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Shreegau,28.09885833,82.16455,Hybrid-Rajkumar,1,N0-P0-K0,4056.0,4.056,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Shreegau,28.11214333,82.18997833,Hybrid-Rajkumar,1,N0-P0-K0,5003.0,5.003,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Shreegau,28.108055,82.18268833,Hybrid-Rajkumar,1,N0-P0-K0,3312.0,3.312,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Dang,Shreegau,28.09895,82.164535,Hybrid-Rajkumar,2,N0-P60-K40,5089.0,5.089,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Shreegau,28.11225333,82.18996167,Hybrid-Rajkumar,2,N0-P60-K40,6687.0,6.687,0–60–40 (−N)
2017,2017 core trial,trial,Dang,Shreegau,28.10806,82.18275333,Hybrid-Rajkumar,2,N0-P60-K40,3718.0,3.718,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Babiyachaur,28.8088505,81.3939897,Hybrid-Rajkumar,1,N0-P0-K0,7166.6,7.166600000000001,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Babiyachaur,28.8211626,81.4134021,Hybrid-Rajkumar,1,N0-P0-K0,7750.0,7.75,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Babiyachaur,28.8088475,81.3939939,Hybrid-Rajkumar,2,N0-P60-K40,7683.3,7.6833,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Babiyachaur,28.8211541,81.4133801,Hybrid-Rajkumar,2,N0-P60-K40,9690.0,9.69,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Gadhi,28.65119517,81.60158525,Hybrid-Rajkumar,1,N0-P0-K0,7016.7,7.0167,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Gadhi,28.6411379,81.6042313,Hybrid-Rajkumar,1,N0-P0-K0,2143.3,2.1433,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Gadhi,28.65118965,81.60158798,Hybrid-Rajkumar,2,N0-P60-K40,9683.3,9.6833,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Gadhi,28.6411182,81.6042125,Hybrid-Rajkumar,2,N0-P60-K40,4550.0,4.55,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Ghumkhare,28.4405855,81.897729,Hybrid-Rajkumar,1,N0-P0-K0,7760.0,7.76,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Ghumkhare,28.4373608,81.896523,Hybrid-Rajkumar,2,N0-P60-K40,1920.0,1.92,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Ghumkhare,28.4405757,81.8977125,Hybrid-Rajkumar,2,N0-P60-K40,9920.0,9.92,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Guthu,28.8512093,81.2906702,Hybrid-Rajkumar,1,N0-P0-K0,6666.6,6.666600000000001,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Guthu,28.8447252,81.3143365,Hybrid-Rajkumar,1,N0-P0-K0,6833.3,6.8333,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Guthu,28.8512097,81.2906681,Hybrid-Rajkumar,2,N0-P60-K40,6666.7,6.6667,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Guthu,28.8447134,81.3142826,Hybrid-Rajkumar,2,N0-P60-K40,7066.7,7.0667,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Kalyan,28.5031584,81.7380663,Hybrid-Rajkumar,1,N0-P0-K0,7750.0,7.75,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Kalyan,28.5036559,81.7378121,Hybrid-Rajkumar,1,N0-P0-K0,5653.3,5.6533,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Kalyan,28.5019833,81.7370833,Hybrid-Rajkumar,1,N0-P0-K0,6683.3,6.6833,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Kalyan,28.5031478,81.7380709,Hybrid-Rajkumar,2,N0-P60-K40,9690.0,9.69,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Kalyan,28.5036459,81.737812,Hybrid-Rajkumar,2,N0-P60-K40,6326.7,6.3267,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Kalyan,28.5019397,81.7371129,Hybrid-Rajkumar,2,N0-P60-K40,6933.0,6.933,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Lekhpharsa,28.4743615,81.8018271,Hybrid-Rajkumar,1,N0-P0-K0,5313.3,5.3133,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Lekhpharsa,28.4777842,81.8152825,Hybrid-Rajkumar,1,N0-P0-K0,7166.7,7.1667,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Lekhpharsa,28.4694949,81.8085782,Hybrid-Rajkumar,1,N0-P0-K0,7520.0,7.52,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Lekhpharsa,28.4743686,81.8018083,Hybrid-Rajkumar,2,N0-P60-K40,5790.0,5.79,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Lekhpharsa,28.4777745,81.8153383,Hybrid-Rajkumar,2,N0-P60-K40,7683.3,7.6833,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Lekhpharsa,28.4694211,81.8085575,Hybrid-Rajkumar,2,N0-P60-K40,9973.3,9.9733,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Maintada-3,28.43492997,81.81850476,Hybrid-Rajkumar,1,N0-P0-K0,3176.7,3.1767,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Maintada-3,28.44871629,81.80507469,Hybrid-Rajkumar,1,N0-P0-K0,5606.7,5.6067,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Maintada-3,28.43495389,81.81847131,Hybrid-Rajkumar,2,N0-P60-K40,4710.0,4.71,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Maintada-3,28.45073505,81.79222792,Hybrid-Rajkumar,2,N0-P60-K40,9310.0,9.31,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Maintada-3,28.44871299,81.80507007,Hybrid-Rajkumar,2,N0-P60-K40,6326.7,6.3267,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Maintada-4,28.42060723,81.79859145,Hybrid-Rajkumar,1,N0-P0-K0,6700.0,6.7,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Maintada-4,28.42142047,81.79066701,Hybrid-Rajkumar,1,N0-P0-K0,5900.0,5.9,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Maintada-4,28.41748338,81.79712142,Hybrid-Rajkumar,1,N0-P0-K0,5833.3,5.8333,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Maintada-4,28.42070244,81.79848167,Hybrid-Rajkumar,2,N0-P60-K40,8366.7,8.366700000000002,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Maintada-4,28.42146073,81.7906461,Hybrid-Rajkumar,2,N0-P60-K40,6266.7,6.2667,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Maintada-4,28.41743858,81.79711098,Hybrid-Rajkumar,2,N0-P60-K40,5800.0,5.8,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Neta,28.5514112,81.7951889,Hybrid-Rajkumar,1,N0-P0-K0,5770.0,5.77,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Neta,28.5487232,81.7925169,Hybrid-Rajkumar,1,N0-P0-K0,6713.3,6.7133,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Neta,28.5514111,81.7951858,Hybrid-Rajkumar,2,N0-P60-K40,10010.0,10.01,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Neta,28.5487202,81.7925238,Hybrid-Rajkumar,2,N0-P60-K40,9770.0,9.77,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Ramghat,28.4888079,81.7436679,Hybrid-Rajkumar,1,N0-P0-K0,2696.7,2.6967,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Ramghat,28.4865092,81.7436874,Hybrid-Rajkumar,1,N0-P0-K0,4433.3,4.4333,0–0–0 (unfertilized control)
2017,2017 core trial,trial,Surkhet,Ramghat,28.4934884,81.7414242,Hybrid-Rajkumar,2,N0-P60-K40,9623.3,9.623299999999999,0–60–40 (−N)
2017,2017 core trial,trial,Surkhet,Ramghat,28.4865407,81.7437029,Hybrid-Rajkumar,2,N0-P60-K40,6326.7,6.3267,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Dhikpur,28.02594518,82.37739005,,7,N0-P60-K40,8106.0,8.106,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Dhikpur,28.02234432,82.36631194,,7,N0-P60-K40,7536.0,7.536,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Dhikpur,28.05330359,82.3763895,,7,N0-P60-K40,7694.0,7.694,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Dhikpur,28.02603797,82.37731428,,8,N0-P0-K0,6822.0,6.822,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Dhikpur,28.02234231,82.36645259,,8,N0-P0-K0,7188.0,7.188,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Dhikpur,28.05335811,82.37643879,,8,N0-P0-K0,6282.0,6.282,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Dhuruwa,28.02167988,82.32444878,,7,N0-P60-K40,6961.0,6.961,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Dhuruwa,28.02133409,82.32488338,,7,N0-P60-K40,12071.0,12.071,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Dhuruwa,28.02155143,82.32441039,,8,N0-P0-K0,7375.0,7.375,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Dhuruwa,28.02132877,82.32491632,,8,N0-P0-K0,8305.0,8.305,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.08779965,82.42304645,,7,N0-P60-K40,4412.0,4.412,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.09186018,82.41422835,,7,N0-P60-K40,6021.0,6.021,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.09176286,82.42599646,,7,N0-P60-K40,5206.0,5.206,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.08769307,82.42310411,,8,N0-P0-K0,5525.0,5.525,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.09181693,82.41416255,,8,N0-P0-K0,3810.0,3.81,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Hapur,28.09175997,82.42595446,,8,N0-P0-K0,5896.0,5.896,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.97640516,82.46336323,,7,N0-P60-K40,6553.0,6.553,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.98064749,82.46882941,,7,N0-P60-K40,6371.0,6.371,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.97633094,82.45876911,,7,N0-P60-K40,5949.0,5.949,0–60–40 (−N)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.97651597,82.46350346,,8,N0-P0-K0,3180.0,3.18,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.98068224,82.46866956,,8,N0-P0-K0,5033.0,5.033,0–0–0 (unfertilized control)
2018,"2018 N source, timing and FYM trial",trial,Dang,Laxmipur,27.97638286,82.45877925,,8,N0-P0-K0,5515.0,5.515,0–0–0 (unfertilized control)
