year,district,treatment,n_observations,n_sites,mean_yield_t_ha,median_yield_t_ha,sd_yield_t_ha,min_yield_t_ha,max_yield_t_ha
2017,Dang,N0-P0-K0,22,9,5.320818181818182,5.3465,1.5278260819859493,2.648,7.575
2017,Dang,N0-P60-K40,23,9,5.6006086956521735,5.327,1.5415566730693313,3.406,8.226
2017,Surkhet,N0-P0-K0,22,10,6.011504545454545,6.674950000000001,1.6174492100592255,2.1433,7.76
2017,Surkhet,N0-P60-K40,24,10,7.5036,7.375,2.1536604294125365,1.92,10.01
2018,Dang,N0-P0-K0,24,8,5.912875,6.021,1.2678706665799602,3.18,8.305
2018,Dang,N0-P60-K40,24,8,6.959125,6.913,1.6610318509235784,4.325,12.071
2018,Doti,N0-P0-K0,6,2,5.919999999999999,5.361,1.435791489040104,4.434,7.72
2018,Doti,N0-P60-K40,6,2,6.77,6.7615,1.4511810362597768,5.052,8.713
2018,Kavre,N0-P0-K0,9,3,5.861888888888888,6.46,1.2207121327778763,3.517,7.0
2018,Kavre,N0-P60-K40,9,3,7.315000000000001,8.053,2.203507034252444,2.276,9.489
2018,Palpa,N0-P0-K0,11,4,4.457090909090909,4.455,0.5339045709760227,3.645,5.124
2018,Palpa,N0-P60-K40,11,4,5.259909090909091,5.039,0.7240377689796927,4.117,6.51
2018,Surkhet,N0-P0-K0,25,11,6.494199999999999,6.315,0.9431871058632355,4.251,8.197
2018,Surkhet,N0-P60-K40,25,11,7.6438,7.825,1.0887852558394302,5.606,9.504
2019,Dang,N0-P0-K0,9,5,5.530666666666666,5.502,0.6718145205337556,4.486,6.28
2019,Dang,N0-P60-K40,10,5,7.5542,6.942,1.6345148651647206,5.666,10.569
2019,Doti,N0-P0-K0,9,3,7.1680600000000005,6.923,0.6879671984913234,6.423,8.141
2019,Doti,N0-P60-K40,10,3,8.476643,8.364,1.0393359210364408,7.215,10.564
2019,Kavre,N0-P0-K0,6,2,3.2040086666666667,3.197672,0.29851246612338755,2.681421,3.560078
2019,Kavre,N0-P60-K40,6,2,4.0261008333333335,4.022878,0.49376075058652363,3.54302,4.86279
2019,Makwanpur,N0-P0-K0,1,1,2.7423200000000003,2.7423200000000003,,2.7423200000000003,2.7423200000000003
2019,Makwanpur,N0-P60-K40,1,1,4.57054,4.57054,,4.57054,4.57054
2019,Nuwakot,N0-P0-K0,2,2,3.8148645,3.8148645,3.1028559736314705,1.620814,6.008915
2019,Nuwakot,N0-P60-K40,2,2,5.096124,5.096124,4.698587382269057,1.773721,8.418527
2019,Palpa,N0-P0-K0,6,3,6.526222853499999,6.176517045500001,1.2932976731021917,4.83630303,8.08
2019,Palpa,N0-P60-K40,6,3,5.769063128833333,5.7159659089999995,3.092306155758708,0.52,8.968295455
2019,Salyan,N0-P0-K0,1,1,6.973,6.973,,6.973,6.973
2019,Salyan,N0-P60-K40,2,2,11.171,11.171,2.7690301551265204,9.213,13.129
2019,Surkhet,N0-P0-K0,13,5,5.847923076923077,6.244,1.4952793195887326,3.376,8.285
2019,Surkhet,N0-P60-K40,15,6,7.754242666666666,7.885,1.7560104930676836,4.639,10.931
