year,district,site,n_omission,soil_background,yield_response_t_ha
2017,Dang,Dhikpur,4.394333333333333,5.216,-0.8216666666666672
2017,Dang,Dhuruwa,5.299,7.4126666666666665,-2.113666666666666
2017,Dang,Hapur,4.099,3.718,0.3810000000000002
2017,Dang,Laxmipur,5.8389999999999995,5.128333333333333,0.7106666666666666
2017,Dang,Panchakule,8.108,6.879,1.229000000000001
2017,Dang,Pawannagar,5.611999999999999,5.758,-0.1460000000000008
2017,Dang,Purandhara,6.9205000000000005,7.0045,-0.08399999999999963
2017,Dang,Shantinagar,5.816000000000001,2.909,2.907000000000001
2017,Dang,Shreegau,5.164666666666666,4.123666666666667,1.0409999999999995
2017,Surkhet,Babiyachaur,8.68665,7.4583,1.2283499999999998
2017,Surkhet,Gadhi,7.11665,4.58,2.53665
2017,Surkhet,Ghumkhare,5.92,7.76,-1.8399999999999999
2017,Surkhet,Guthu,6.8667,6.74995,0.11674999999999969
2017,Surkhet,Kalyan,7.6499,6.695533333333334,0.9543666666666661
2017,Surkhet,Lekhpharsa,7.815533333333334,6.666666666666667,1.1488666666666667
2017,Surkhet,Maintada-3,6.782233333333334,4.3917,2.390533333333334
2017,Surkhet,Maintada-4,6.811133333333334,6.1444333333333345,0.6666999999999996
2017,Surkhet,Neta,9.89,6.24165,3.6483500000000006
2017,Surkhet,Ramghat,7.975,3.565,4.41
2018,Dang,Dhikpur,8.245170542635659,6.889589147286821,1.355581395348838
2018,Dang,Dhuruwa,3.566046511627907,8.002325581395349,-4.4362790697674415
2018,Dang,Hapur,5.334282945736434,5.20610465116279,0.12817829457364383
2018,Dang,Laxmipur,6.363593023255814,4.633511627906977,1.7300813953488374
2018,Dang,Panchakaule,7.585732558139535,5.908761627906976,1.6769709302325584
2018,Dang,Pawannagar,4.261496124031008,5.934627906976744,-1.6731317829457364
2018,Dang,Purandhara,8.07782945736434,6.483104651162791,1.5947248062015484
2018,Dang,Shantinagar,6.575282945736434,5.986391472868218,0.588891472868216
2018,Doti,Chattiwan,5.561558139534884,5.692945736434108,-0.1313875968992244
2018,Doti,Ghantesori,7.97891472868217,6.148062015503876,1.8308527131782943
2018,Kavre,Anekot,5.003658914728682,4.346476744186046,0.6571821705426357
2018,Kavre,Bhakundebesi,7.969186046511628,6.609883720930232,1.359302325581396
2018,Kavre,Rabiopi,8.982558139534882,6.62984496124031,2.3527131782945725
2018,Surkhet,Babiyachaur,8.997201550387596,7.254147286821706,1.7430542635658899
2018,Surkhet,Gadhi,7.23532558139535,5.777647286821705,1.457678294573645
2018,Surkhet,Guthu,7.3305,5.73593023255814,1.5945697674418602
2018,Surkhet,Kalyan,7.7328565891472865,7.159341085271318,0.5735155038759681
2018,Surkhet,Kunathari,8.095593023255814,6.537705426356589,1.5578875968992252
2018,Surkhet,Lekhpharsa,8.376213178294574,7.03681007751938,1.3394031007751934
2018,Surkhet,Maintada-1,7.342633720930232,6.540453488372092,0.8021802325581397
2018,Surkhet,Maintada-2,6.901953488372093,5.977441860465117,0.924511627906976
2018,Surkhet,Maintada-7,6.669767441860466,,
2018,Surkhet,Maintada-8,8.837209302325583,6.369302325581396,2.467906976744187
2018,Surkhet,Maintada-9,,7.7138372093023255,
2018,Surkhet,Ramghat,8.122302325581396,6.894341085271318,1.2279612403100781
2019,Dang,Dhikpur,7.228915116279069,5.67418023255814,1.5547348837209292
2019,Dang,Laxmipur,8.489523837209301,5.917041860465115,2.5724819767441858
2019,Dang,Panchakule,8.839681395348837,8.124413953488371,0.7152674418604654
2019,Dang,Shantinagar,7.448930232558139,5.872153488372093,1.5767767441860459
2019,Dang,Shreegau,6.41404534883721,4.694708720930233,1.7193366279069764
2019,Doti,Chhatiwan,8.098835697674419,6.789382965116278,1.3094527325581407
2019,Doti,Dipayal,8.59045569767442,7.720761108527133,0.8696945891472874
2019,Doti,Ghanteshwor,8.325494186046512,7.222269767441861,1.1032244186046514
2019,Kavre,Bhakundebesi,4.507763058139535,2.9267566104651164,1.5810064476744183
2019,Kavre,Rabiopi,3.7852552180232557,3.342635645348837,0.44261957267441865
2019,Makwanpur,Radha Tiwari,4.570539779069768,2.742325581395349,1.828214197674419
2019,Nuwakot,Dip Acharya,8.41852391860465,6.008917976744186,2.4096059418604643
2019,Nuwakot,Ramchandra Acharya,1.7737178720930233,1.620817011627907,0.1529008604651163
2019,Palpa,Chidi pani,8.864534882232558,8.257209302325581,0.607325579906977
2019,Palpa,Devinagar,7.871434107005815,5.791707364343022,2.0797267426627926
2019,Palpa,Khasyauli,5.131782948837209,6.005674418604651,-0.8738914697674423
2019,Salyan,Jhuplal gharti,9.42674418604651,7.134883720930233,2.2918604651162777
2019,Salyan,Sharadha sharma,11.232558139534884,11.860168604651165,-0.6276104651162804
2019,Surkhet,Babiyachaur,10.220610465116279,9.719476744186046,0.5011337209302322
2019,Surkhet,Kalyan,8.047848837209303,7.139387790697674,0.9084610465116292
2019,Surkhet,Kunathari,7.542087209302327,6.868965697674419,0.6731215116279081
2019,Surkhet,Lekhpharsa,7.4454244186046505,6.102918604651163,1.3425058139534878
2019,Surkhet,Maintada-2,5.256697093023256,4.673941860465117,0.5827552325581387
2019,Surkhet,Ramghat,8.400393488372092,5.644310232558139,2.7560832558139534
