figure_type,year,study,variety,treatment_role,metric,n_sites,n_treatments,file,districts,boundary_district_field,n_ward_polygons
side_by_side_treatment_maps,2017,2017 core trial,All maize,all treatments side by side,mean_yield_kg_ha,19,8.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2017__2017_core_trial__All_maize__side_by_side__mean_yield_kg_ha.png,Dang;Surkhet,DISTRICT,199
side_by_side_treatment_maps,2017,2017 core trial,All maize,all treatments side by side,yield_response_to_N_kg_ha,19,6.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2017__2017_core_trial__All_maize__side_by_side__yield_response_to_N_kg_ha.png,Dang;Surkhet,DISTRICT,199
side_by_side_treatment_maps,2017,2017 core trial,All maize,all treatments side by side,AE_N_kg_grain_per_kg_N,19,6.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2017__2017_core_trial__All_maize__side_by_side__AE_N_kg_grain_per_kg_N.png,Dang;Surkhet,DISTRICT,199
side_by_side_treatment_maps,2017,2017 core trial,All maize,all treatments side by side,PFP_N_kg_grain_per_kg_N,19,6.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2017__2017_core_trial__All_maize__side_by_side__PFP_N_kg_grain_per_kg_N.png,Dang;Surkhet,DISTRICT,199
side_by_side_treatment_maps,2017,2017 core trial,All maize,all treatments side by side,relative_yield_to_government_reference_pct,19,8.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2017__2017_core_trial__All_maize__side_by_side__relative_yield_to_government_reference_pct.png,Dang;Surkhet,DISTRICT,199
side_by_side_treatment_maps,2017,2017 core trial,All maize,all treatments side by side,potential_mineral_N_reduction_kg_ha,19,1.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2017__2017_core_trial__All_maize__side_by_side__potential_mineral_N_reduction_kg_ha.png,Dang;Surkhet,DISTRICT,199
side_by_side_treatment_maps,2018,"2018 N source, timing and FYM trial",All maize,all treatments side by side,mean_yield_kg_ha,30,8.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2018__2018_N_source_timing_and_FYM_trial__All_maize__side_by_side__mean_yield_kg_ha.png,Dang;Doti;Kavre;Palpa;Surkhet,DISTRICT,346
side_by_side_treatment_maps,2018,"2018 N source, timing and FYM trial",All maize,all treatments side by side,yield_response_to_N_kg_ha,22,5.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2018__2018_N_source_timing_and_FYM_trial__All_maize__side_by_side__yield_response_to_N_kg_ha.png,Dang;Doti;Kavre;Palpa;Surkhet,DISTRICT,346
side_by_side_treatment_maps,2018,"2018 N source, timing and FYM trial",All maize,all treatments side by side,AE_N_kg_grain_per_kg_N,22,5.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2018__2018_N_source_timing_and_FYM_trial__All_maize__side_by_side__AE_N_kg_grain_per_kg_N.png,Dang;Doti;Kavre;Palpa;Surkhet,DISTRICT,346
side_by_side_treatment_maps,2018,"2018 N source, timing and FYM trial",All maize,all treatments side by side,PFP_N_kg_grain_per_kg_N,27,5.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2018__2018_N_source_timing_and_FYM_trial__All_maize__side_by_side__PFP_N_kg_grain_per_kg_N.png,Dang;Doti;Kavre;Palpa;Surkhet,DISTRICT,346
side_by_side_treatment_maps,2018,"2018 N source, timing and FYM trial",All maize,all treatments side by side,relative_yield_to_government_reference_pct,22,8.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2018__2018_N_source_timing_and_FYM_trial__All_maize__side_by_side__relative_yield_to_government_reference_pct.png,Dang;Doti;Kavre;Palpa;Surkhet,DISTRICT,346
side_by_side_treatment_maps,2018,"2018 N source, timing and FYM trial",All maize,all treatments side by side,potential_mineral_N_reduction_kg_ha,22,3.0,D:\dss\SOIL ADVISORY\outputs\maps\stage1_6\2018__2018_N_source_timing_and_FYM_trial__All_maize__side_by_side__potential_mineral_N_reduction_kg_ha.png,Dang;Doti;Kavre;Palpa;Surkhet,DISTRICT,346
