year,adm1,adm2,site,treatment_code,treatment,treatment_group,n_obs,n_trials,n_farmers,n_yield,mean_yield_kg_ha,sd_yield_kg_ha,min_yield_kg_ha,max_yield_kg_ha,mean_yield_t_ha,mean_N_fertilizer_kg_ha,mean_P2O5_fertilizer_kg_ha,mean_K2O_fertilizer_kg_ha,mean_organic_fertilizer_t_ha,mean_PFPN_kg_grain_per_kg_N,mean_AE_N_kg_grain_per_kg_N,mean_straw_yield_kg_ha,mean_cob_yield_kg_ha,mean_grain_yield_raw_kg_ha,mean_grain_moisture_pct,source_datasets,treatment_lc,study,variety,stage,stage_name,treatment_role,N_kg_ha,P2O5_kg_ha,K2O_kg_ha,FYM_t_ha,mineral_N_rate_response,government_reference,AE_N_applicable,PFP_N_applicable,government_reference_yield_kg_ha,government_reference_N_kg_ha,government_reference_available,relative_yield_to_government_reference_pct,yield_response_vs_government_reference_kg_ha,N_rate_difference_vs_government_reference_kg_ha,potential_mineral_N_reduction_applicable,potential_mineral_N_reduction_kg_ha,N0_PK_reference_yield_kg_ha,yield_response_to_N_kg_ha,AE_N_kg_grain_per_kg_N,PFP_N_kg_grain_per_kg_N
2017,Dang,Dhikpur,Dang | Dhikpur,1,CK,control,3,3,3,3,5216.0,1167.1559450219152,4145.0,6460.0,5.2,0.0,0.0,0.0,,0.0,,23788.666666666668,,,,nsaf_maize_trials_2017,ck,2017 core trial,All maize,1,No-input reference,N0-P0-K0,0.0,0.0,0.0,,False,False,False,False,8320.666666666666,120.0,True,62.68728467270251,-3104.666666666666,-120.0,False,,4394.333333333333,,,
2017,Dang,Dhikpur,Dang | Dhikpur,2,N0,omission,3,3,3,3,4394.333333333333,524.4352518026732,4051.0,4998.0,4.4,0.0,60.0,40.0,,0.0,,20511.0,,,,nsaf_maize_trials_2017,n0,2017 core trial,All maize,2,N-zero agronomic reference,N0-P60-K40,0.0,60.0,40.0,,True,False,False,False,8320.666666666666,120.0,True,52.81227465747937,-3926.333333333333,-120.0,False,,4394.333333333333,,,
2017,Dang,Dhikpur,Dang | Dhikpur,6,N-120,Nrates,3,3,3,3,8320.666666666666,761.5250050611163,7881.0,9200.0,8.333333333333334,120.0,60.0,40.0,,69.66666666666667,,31422.666666666668,,,,nsaf_maize_trials_2017,n-120,2017 core trial,All maize,4,Government-recommended NPK reference,N120-P60-K40,120.0,60.0,40.0,,True,True,True,True,8320.666666666666,120.0,True,100.0,0.0,0.0,False,,4394.333333333333,3926.333333333333,32.71944444444444,69.33888888888889
2017,Dang,Dhikpur,Dang | Dhikpur,5,N-60,Nrates,3,3,3,3,6440.0,2945.959436244837,3109.0,8703.0,6.433333333333334,60.0,60.0,40.0,,107.33333333333331,,33700.0,,,,nsaf_maize_trials_2017,n-60,2017 core trial,All maize,5,N-rate response and adjustment,N60-P60-K40,60.0,60.0,40.0,,True,False,True,True,8320.666666666666,120.0,True,77.39764441951768,-1880.666666666666,-60.0,True,0.0,4394.333333333333,2045.666666666667,34.09444444444445,107.33333333333333
2017,Dang,Dhikpur,Dang | Dhikpur,7,N-180,Nrates,3,3,3,3,7951.0,1266.788064358044,6607.0,9123.0,7.933333333333333,180.0,60.0,40.0,,44.333333333333336,,29011.666666666668,,,,nsaf_maize_trials_2017,n-180,2017 core trial,All maize,5,N-rate response and adjustment,N180-P60-K40,180.0,60.0,40.0,,True,False,True,True,8320.666666666666,120.0,True,95.55724701546352,-369.66666666666606,60.0,False,,4394.333333333333,3556.666666666667,19.75925925925926,44.172222222222224
2017,Dang,Dhikpur,Dang | Dhikpur,8,N-210,Nrates,3,3,3,3,7083.666666666667,1505.6999479754702,5695.0,8684.0,7.1000000000000005,210.0,60.0,40.0,,33.666666666666664,,34678.0,,,,nsaf_maize_trials_2017,n-210,2017 core trial,All maize,5,N-rate response and adjustment,N210-P60-K40,210.0,60.0,40.0,,True,False,True,True,8320.666666666666,120.0,True,85.13340277221378,-1236.999999999999,90.0,False,,4394.333333333333,2689.333333333334,12.806349206349209,33.731746031746034
2017,Dang,Dhikpur,Dang | Dhikpur,10,K and S,Ntiming,3,3,3,3,7439.333333333333,1287.6980753784378,6065.0,8618.0,7.433333333333333,120.0,60.0,40.0,,62.333333333333336,,33833.333333333336,,,,nsaf_maize_trials_2017,k and s,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + K/S,120.0,60.0,40.0,,False,False,True,True,8320.666666666666,120.0,True,89.40790000801218,-881.333333333333,0.0,False,,4394.333333333333,3045.0,25.375,61.99444444444444
2017,Dang,Dhikpur,Dang | Dhikpur,9,NPK+micros,NPK+micros,3,3,3,3,8220.666666666666,658.7566571453631,7460.0,8601.0,8.233333333333333,120.0,60.0,40.0,,68.66666666666667,,33578.0,,,,nsaf_maize_trials_2017,npk+micros,2017 core trial,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + micronutrients,120.0,60.0,40.0,,False,False,True,True,8320.666666666666,120.0,True,98.79817322329941,-100.0,0.0,False,,4394.333333333333,3826.333333333333,31.88611111111111,68.50555555555555
2017,Dang,Dhuruwa,Dang | Dhuruwa,1,CK,control,3,3,3,3,7412.666666666667,206.67930068909493,7180.0,7575.0,7.433333333333334,0.0,0.0,0.0,,0.0,,19937.0,,,,nsaf_maize_trials_2017,ck,2017 core trial,All maize,1,No-input reference,N0-P0-K0,0.0,0.0,0.0,,False,False,False,False,6657.333333333333,120.0,True,111.34588423793312,755.3333333333339,-120.0,False,,5299.0,,,
2017,Dang,Dhuruwa,Dang | Dhuruwa,2,N0,omission,3,3,3,3,5299.0,829.3545683240673,4456.0,6114.0,5.3,0.0,60.0,40.0,,0.0,,19889.0,,,,nsaf_maize_trials_2017,n0,2017 core trial,All maize,2,N-zero agronomic reference,N0-P60-K40,0.0,60.0,40.0,,True,False,False,False,6657.333333333333,120.0,True,79.59643500901262,-1358.333333333333,-120.0,False,,5299.0,,,
2017,Dang,Dhuruwa,Dang | Dhuruwa,6,N-120,Nrates,3,3,3,3,6657.333333333333,364.2146802825683,6377.0,7069.0,6.666666666666667,120.0,60.0,40.0,,55.333333333333336,,20667.0,,,,nsaf_maize_trials_2017,n-120,2017 core trial,All maize,4,Government-recommended NPK reference,N120-P60-K40,120.0,60.0,40.0,,True,True,True,True,6657.333333333333,120.0,True,100.0,0.0,0.0,False,,5299.0,1358.333333333333,11.319444444444441,55.477777777777774
