study,year,variety,stage,stage_name,treatment_role,n_districts,n_sites,n_records,mean_yield_kg_ha,median_yield_kg_ha,sd_yield_kg_ha,minimum_yield_kg_ha,maximum_yield_kg_ha,mean_N_rate_kg_ha,mean_AE_N_kg_grain_per_kg_N,mean_PFP_N_kg_grain_per_kg_N,n_sites_with_government_reference,mean_relative_yield_to_government_reference_pct,n_sites_with_lower_N_alternative,share_sites_ge_95pct_relative_yield,mean_potential_mineral_N_reduction_kg_ha
2017 core trial,2017,All maize,1,No-input reference,N0-P0-K0,2,19,19,5705.389473684211,6144.433333333333,1475.165067779825,2909.0,7760.0,0.0,,,19,65.52998430552032,0,,
2017 core trial,2017,All maize,2,N-zero agronomic reference,N0-P60-K40,2,19,19,6671.91052631579,6811.133333333334,1487.8786170208841,4099.0,9890.0,0.0,,,19,74.70163434175306,0,,
2017 core trial,2017,All maize,4,Government-recommended NPK reference,N120-P60-K40,2,19,19,9062.577192982459,8504.0,2007.3245584609197,6155.333333333333,12798.9,120.0,19.92222222222222,75.52147660818714,19,100.0,0,,
2017 core trial,2017,All maize,5,N-rate response and adjustment,N180-P60-K40,2,19,19,9022.852631578948,8879.5,2199.631358994294,4880.5,13158.9,180.0,13.06078947368421,50.12695906432749,19,99.8862371976275,0,,
2017 core trial,2017,All maize,5,N-rate response and adjustment,N210-P60-K40,2,19,19,8699.72192982456,8536.5,1897.9947413550703,5643.0,11833.35,210.0,9.6562447786132,41.42724728487887,19,97.00627665541181,0,,
2017 core trial,2017,All maize,5,N-rate response and adjustment,N60-P60-K40,2,19,19,8290.491228070176,8235.5,1781.487728103043,4991.0,11053.35,60.0,26.976345029239766,138.17485380116958,19,92.09017995398449,19,0.5263157894736842,31.57894736842105
2017 core trial,2017,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + K/S,2,19,19,8896.437719298247,8711.1,2279.2497755166405,4220.5,12475.533333333333,120.0,18.537726608187132,74.13698099415203,19,98.08056685451017,0,,
2017 core trial,2017,All maize,6,Efficiency and nutrient-management alternatives,N120-P60-K40 + micronutrients,2,19,19,8699.598245614035,8494.5,2405.837497705762,4068.5,13181.133333333331,120.0,16.89739766081871,72.49665204678361,19,95.33420897344276,0,,
"2018 N source, timing and FYM trial",2018,All maize,1,No-input reference,N0-P0-K0,5,28,28,5947.431547619048,5966.166666666666,1017.6681737476283,4134.5,7840.0,0.0,,,26,77.3491087044185,0,,
"2018 N source, timing and FYM trial",2018,All maize,2,N-zero agronomic reference,N0-P60-K40,5,28,28,6995.857142857143,7190.5,1336.2187950094064,4752.333333333333,9516.0,0.0,,,26,91.0032082518786,0,,
