study,year,variety,site,n_tested_N_rates,minimum_tested_N_kg_ha,maximum_tested_N_kg_ha,maximum_observed_yield_kg_ha,relative_yield_threshold_pct,yield_threshold_kg_ha,selected_N_rate_kg_ha,yield_at_selected_N_rate_kg_ha,relative_yield_to_observed_maximum_pct,N_rate_adjustment_vs_government_reference_kg_ha,potential_mineral_N_reduction_vs_N120_kg_ha,additional_N_requirement_vs_N120_kg_ha,N_rate_adjustment_direction
2017 core trial,2017,All maize,Dang | Dhikpur,5,0.0,210.0,8320.666666666666,95.0,7904.633333333332,120.0,8320.666666666666,100.0,0.0,0.0,0.0,maintain N120
2017 core trial,2017,All maize,Dang | Dhuruwa,5,0.0,210.0,7045.333333333333,95.0,6693.066666666666,60.0,6823.666666666667,96.85370931112794,-60.0,60.0,0.0,lower rate
2017 core trial,2017,All maize,Dang | Hapur,5,0.0,210.0,7881.5,95.0,7487.424999999999,120.0,7881.5,100.0,0.0,0.0,0.0,maintain N120
2017 core trial,2017,All maize,Dang | Laxmipur,5,0.0,210.0,8038.333333333333,95.0,7636.416666666666,210.0,8038.333333333333,100.0,90.0,0.0,90.0,higher rate
2017 core trial,2017,All maize,Dang | Panchakule,5,0.0,210.0,8504.0,95.0,8078.799999999999,0.0,8108.0,95.34336782690498,-120.0,120.0,0.0,lower rate
2017 core trial,2017,All maize,Dang | Pawannagar,5,0.0,210.0,8023.333333333333,95.0,7622.166666666666,180.0,8023.333333333333,100.0,60.0,0.0,60.0,higher rate
2017 core trial,2017,All maize,Dang | Purandhara,5,0.0,210.0,7628.666666666667,95.0,7247.233333333334,60.0,7284.0,95.48195403303329,-60.0,60.0,0.0,lower rate
2017 core trial,2017,All maize,Dang | Shantinagar,5,0.0,210.0,9076.5,95.0,8622.675,60.0,8702.5,95.8794689582989,-60.0,60.0,0.0,lower rate
2017 core trial,2017,All maize,Dang | Shreegau,5,0.0,210.0,6728.0,95.0,6391.599999999999,180.0,6728.0,100.0,60.0,0.0,60.0,higher rate
2017 core trial,2017,All maize,Surkhet | Babiyachaur,5,0.0,210.0,11641.066666666666,95.0,11059.013333333332,120.0,11136.65,95.66692055710817,0.0,0.0,0.0,maintain N120
2017 core trial,2017,All maize,Surkhet | Gadhi,5,0.0,210.0,11833.35,95.0,11241.682499999999,180.0,11375.0,96.12662517376735,60.0,0.0,60.0,higher rate
2017 core trial,2017,All maize,Surkhet | Ghumkhare,5,0.0,210.0,10377.766666666666,95.0,9858.878333333332,60.0,10377.766666666666,100.0,-60.0,60.0,0.0,lower rate
2017 core trial,2017,All maize,Surkhet | Guthu,5,0.0,210.0,11888.9,95.0,11294.455,120.0,11455.566666666666,96.35514359332373,0.0,0.0,0.0,maintain N120
2017 core trial,2017,All maize,Surkhet | Kalyan,5,0.0,210.0,10281.133333333331,95.0,9767.076666666664,120.0,9803.333333333334,95.35265243131434,0.0,0.0,0.0,maintain N120
2017 core trial,2017,All maize,Surkhet | Lekhpharsa,5,0.0,210.0,11156.666666666666,95.0,10598.833333333332,180.0,11156.666666666666,99.99999999999999,60.0,0.0,60.0,higher rate
2017 core trial,2017,All maize,Surkhet | Maintada-3,5,0.0,210.0,8094.433333333333,95.0,7689.711666666666,120.0,7838.866666666666,96.84268612585603,0.0,0.0,0.0,maintain N120
2017 core trial,2017,All maize,Surkhet | Maintada-4,5,0.0,210.0,10044.433333333332,95.0,9542.211666666666,210.0,10044.433333333332,100.0,90.0,0.0,90.0,higher rate
2017 core trial,2017,All maize,Surkhet | Neta,5,0.0,210.0,13158.9,95.0,12500.955,120.0,12798.9,97.2642090144313,0.0,0.0,0.0,maintain N120
2017 core trial,2017,All maize,Surkhet | Ramghat,5,0.0,210.0,12342.1,95.0,11724.994999999999,120.0,12342.1,100.0,0.0,0.0,0.0,maintain N120
