study,year,variety,site,n_rate_levels_tested,min_tested_N_kg_ha,max_tested_N_kg_ha,observed_max_yield_kg_ha,retention_threshold,target_yield_threshold_kg_ha,target_N_kg_ha,yield_at_target_N_kg_ha,target_retention_of_observed_max,target_shift_vs_govt_kg_N_ha,potential_N_saving_vs_govt_kg_ha,potential_N_increase_vs_govt_kg_ha,target_direction_vs_govt
2017 core trial,2017,All maize,Dang | Dhikpur,5,0.0,210.0,8320.666666666666,0.95,7904.633333333332,120.0,8320.666666666666,1.0,0.0,0.0,0.0,hold
2017 core trial,2017,All maize,Dang | Dhuruwa,5,0.0,210.0,7045.333333333333,0.95,6693.066666666666,60.0,6823.666666666667,0.9685370931112794,-60.0,60.0,0.0,down
2017 core trial,2017,All maize,Dang | Hapur,5,0.0,210.0,7881.5,0.95,7487.424999999999,120.0,7881.5,1.0,0.0,0.0,0.0,hold
2017 core trial,2017,All maize,Dang | Laxmipur,5,0.0,210.0,8038.333333333333,0.95,7636.416666666666,210.0,8038.333333333333,1.0,90.0,0.0,90.0,up
2017 core trial,2017,All maize,Dang | Panchakule,5,0.0,210.0,8504.0,0.95,8078.799999999999,0.0,8108.0,0.9534336782690499,-120.0,120.0,0.0,down
2017 core trial,2017,All maize,Dang | Pawannagar,5,0.0,210.0,8023.333333333333,0.95,7622.166666666666,180.0,8023.333333333333,1.0,60.0,0.0,60.0,up
2017 core trial,2017,All maize,Dang | Purandhara,5,0.0,210.0,7628.666666666667,0.95,7247.233333333334,60.0,7284.0,0.9548195403303329,-60.0,60.0,0.0,down
2017 core trial,2017,All maize,Dang | Shantinagar,5,0.0,210.0,9076.5,0.95,8622.675,60.0,8702.5,0.9587946895829891,-60.0,60.0,0.0,down
2017 core trial,2017,All maize,Dang | Shreegau,5,0.0,210.0,6728.0,0.95,6391.599999999999,180.0,6728.0,1.0,60.0,0.0,60.0,up
2017 core trial,2017,All maize,Surkhet | Babiyachaur,5,0.0,210.0,11641.066666666666,0.95,11059.013333333332,120.0,11136.65,0.9566692055710817,0.0,0.0,0.0,hold
2017 core trial,2017,All maize,Surkhet | Gadhi,5,0.0,210.0,11833.35,0.95,11241.682499999999,180.0,11375.0,0.9612662517376735,60.0,0.0,60.0,up
2017 core trial,2017,All maize,Surkhet | Ghumkhare,5,0.0,210.0,10377.766666666666,0.95,9858.878333333332,60.0,10377.766666666666,1.0,-60.0,60.0,0.0,down
