year,district,n_paired_sites,mean_n_k_yield_response_t_ha,median_n_k_yield_response_t_ha,sd_n_k_yield_response_t_ha,min_n_k_yield_response_t_ha,max_n_k_yield_response_t_ha
2017,Dang,9,1.3275000000000001,0.8615000000000004,2.1600813079475607,-1.3666666666666671,6.3886666666666665
2017,Surkhet,10,4.165736666666667,3.1647166666666666,2.0042640452634486,2.344433333333332,7.808366666666668
2018,Dang,8,1.1527187500000005,1.4600833333333334,1.2985128711196103,-1.5119999999999996,2.9046666666666674
2018,Doti,2,1.384833333333333,1.384833333333333,0.10535891039679623,1.3103333333333325,1.4593333333333334
2018,Kavre,3,2.032,1.8233333333333333,0.39686367656637245,1.7829999999999995,2.4896666666666674
2018,Palpa,4,1.4814999999999996,1.5524999999999993,0.2644976370404843,1.1100000000000003,1.7109999999999994
2018,Surkhet,9,1.8444814814814816,1.8063333333333338,0.8006225678445342,0.6914999999999996,3.099
2019,Dang,5,3.5330999999999997,2.9195,1.5845961393995631,2.1185,6.161
2019,Doti,3,2.024250555555555,1.6614166666666668,0.9121021624527182,1.3494000000000002,3.061934999999999
2019,Kavre,2,3.4459530000000003,3.4459530000000003,0.22216729379456407,3.288857,3.603049000000001
2019,Makwanpur,1,3.3136399999999995,3.3136399999999995,,3.3136399999999995,3.3136399999999995
2019,Nuwakot,2,4.5912205,4.5912205,0.9890451040880294,3.8918599999999994,5.290581
2019,Palpa,3,1.8456268944999996,1.4519261374999992,1.0327749486374698,1.0676060610000002,3.0173484849999994
2019,Salyan,1,2.3,2.3,,2.3,2.3
2019,Surkhet,5,3.09088,3.1075,0.7237771735831416,2.0904999999999987,3.976000000000001
