year,study,dataset_type,district,site,latitude,longitude,variety,treatment_code,treatment,adjusted_yield_kg_ha,baseline_treatment,yield_t_ha,baseline_qc_flag,baseline_include
2018,"2018 N source, timing and FYM trial",trial,Kavre,Anekot,,,,8,N0-P0-K0,4727.0,N0-P0-K0,4.727,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Chidipani,,,,8,N0-P0-K0,3759.0,N0-P0-K0,3.759,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Chidipani,,,,8,N0-P0-K0,4510.0,N0-P0-K0,4.51,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Devinagar,,,,8,N0-P0-K0,5097.0,N0-P0-K0,5.097,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Devinagar,,,,8,N0-P0-K0,4180.0,N0-P0-K0,4.18,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Devinagar,,,,8,N0-P0-K0,5124.0,N0-P0-K0,5.124,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Khasyauli,,,,8,N0-P0-K0,5030.0,N0-P0-K0,5.03,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Khasyauli,,,,8,N0-P0-K0,4455.0,N0-P0-K0,4.455,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Khasyauli,,,,8,N0-P0-K0,4341.0,N0-P0-K0,4.341,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Madanpokhara,,,,8,N0-P0-K0,4906.0,N0-P0-K0,4.906,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Madanpokhara,,,,8,N0-P0-K0,3645.0,N0-P0-K0,3.645,missing_coordinates,True
2018,"2018 N source, timing and FYM trial",trial,Palpa,Madanpokhara,,,,8,N0-P0-K0,3981.0,N0-P0-K0,3.981,missing_coordinates,True
2019,2019 T1-T10 core trial,trial,Kavre,Bhakundebesi,,,All maize,T1,N0-P0-K0,3172.093,T1: N0-P0-K0,3.172093,missing_coordinates,True
2019,2019 T1-T10 core trial,trial,Kavre,Rabiopi,,,All maize,T1,N0-P0-K0,3197.67,T1: N0-P0-K0,3.19767,missing_coordinates,True
2019,2019 T1-T10 core trial,trial,Kavre,Rabiopi,,,All maize,T1,N0-P0-K0,3197.674,T1: N0-P0-K0,3.197674,missing_coordinates,True
2019,2019 T1-T10 core trial,trial,Kavre,Rabiopi,,,All maize,T1,N0-P0-K0,3560.078,T1: N0-P0-K0,3.560078,missing_coordinates,True
2019,2019 T1-T10 core trial,trial,Makwanpur,Radha Tiwari,,,All maize,T1,N0-P0-K0,2742.32,T1: N0-P0-K0,2.7423200000000003,missing_coordinates,True
2019,2019 T1-T10 core trial,trial,Palpa,Khasyauli,,,All maize,T1,N0-P0-K0,5869.181818,T1: N0-P0-K0,5.869181818,missing_coordinates,True
