year,district,site,latitude,longitude,spatial_qc_status
2017,Dang,Dhikpur,28.048357776666666,82.39325444333333,inside_recorded_district
2017,Dang,Dhuruwa,28.02734666666667,82.32579055333333,inside_recorded_district
2017,Dang,Hapur,28.092568335000003,82.427464165,inside_recorded_district
2017,Dang,Laxmipur,27.979784446666667,82.49197833666666,inside_recorded_district
2017,Dang,Panchakule,28.13302667,82.10547167,inside_recorded_district
2017,Dang,Pawannagar,28.16375555666667,82.25674944333333,inside_recorded_district
2017,Dang,Purandhara,28.18838167,82.09627166499999,inside_recorded_district
2017,Dang,Shantinagar,28.163495835,82.227500835,inside_recorded_district
2017,Dang,Shreegau,28.10635222,82.17907222000001,inside_recorded_district
2017,Surkhet,Babiyachaur,28.81500655,81.4036959,inside_recorded_district
2017,Surkhet,Gadhi,28.646166535,81.602908275,inside_recorded_district
2017,Surkhet,Ghumkhare,28.4405855,81.897729,inside_recorded_district
2017,Surkhet,Guthu,28.84796725,81.30250335,inside_recorded_district
2017,Surkhet,Kalyan,28.502932533333333,81.7376539,inside_recorded_district
2017,Surkhet,Lekhpharsa,28.4738802,81.8085626,inside_recorded_district
2017,Surkhet,Maintada-3,28.44182313,81.811789725,inside_recorded_district
2017,Surkhet,Maintada-4,28.41983702666667,81.79545996,inside_recorded_district
2017,Surkhet,Neta,28.5500672,81.79385289999999,inside_recorded_district
2017,Surkhet,Ramghat,28.48765855,81.74367765,inside_recorded_district
2018,Dang,Dhikpur,28.03391279666667,82.37340188666666,inside_recorded_district
2018,Dang,Dhuruwa,28.0214401,82.324663355,inside_recorded_district
2018,Dang,Hapur,28.09042332333333,82.42107370666666,inside_recorded_district
2018,Dang,Laxmipur,27.977860356666667,82.46365075666667,inside_recorded_district
2018,Dang,Panchakaule,28.1161630325,82.1663612875,inside_recorded_district
2018,Dang,Pawannagar,28.170461486666667,82.26025555333332,inside_recorded_district
2018,Dang,Purandhara,28.18757538,82.09799106999999,inside_recorded_district
2018,Dang,Shantinagar,28.165601226666666,82.22548920666667,inside_recorded_district
2018,Doti,Chattiwan,29.082114223333335,80.59343073666666,inside_recorded_district
2018,Doti,Ghantesori,29.14426466,80.60338441,inside_recorded_district
2018,Kavre,Anekot,27.660109935,85.58735226499999,inside_recorded_district
2018,Kavre,Bhakundebesi,27.55796954,85.66623484333333,inside_recorded_district
2018,Kavre,Rabiopi,27.647593686666667,85.56457121666666,inside_recorded_district
2018,Palpa,Chidipani,,,missing_coordinates
2018,Palpa,Devinagar,,,missing_coordinates
2018,Palpa,Khasyauli,,,missing_coordinates
2018,Palpa,Madanpokhara,,,missing_coordinates
2018,Surkhet,Babiyachaur,28.80487094,81.39947722333334,inside_recorded_district
2018,Surkhet,Gadhi,28.639586156666667,81.59303340000001,inside_recorded_district
2018,Surkhet,Guthu,28.83355282,81.30625304,inside_recorded_district
2018,Surkhet,Kalyan,28.504863209999996,81.73678872666666,inside_recorded_district
2018,Surkhet,Kunathari,28.712912793333334,81.51043158,inside_recorded_district
2018,Surkhet,Lekhpharsa,28.464980496666666,81.79504277666666,inside_recorded_district
2018,Surkhet,Maintada-1,28.443077035,81.796519225,inside_recorded_district
2018,Surkhet,Maintada-2,28.423924309999997,81.79686587,inside_recorded_district
2018,Surkhet,Maintada-8,28.44624253,81.81802132,inside_recorded_district
2018,Surkhet,Maintada-9,28.43196607,81.80337762,inside_recorded_district
2018,Surkhet,Ramghat,28.488468549999997,81.74245902,inside_recorded_district
2019,Dang,Dhikpur,28.04030436789617,82.37343949265778,inside_recorded_district
2019,Dang,Laxmipur,27.978472283575684,82.46626035310328,inside_recorded_district
2019,Dang,Panchakule,28.133885068818927,82.11858672089875,inside_recorded_district
2019,Dang,Shantinagar,28.165736510418355,82.22757803276181,inside_recorded_district
2019,Dang,Shreegau,28.109726223628968,82.1861732751131,inside_recorded_district
2019,Doti,Chhatiwan,29.080732406582683,80.59062398504466,inside_recorded_district
2019,Doti,Dipayal,29.254705177154392,80.93250538688153,inside_recorded_district
2019,Doti,Ghanteshwor,29.124270781874657,80.58113303035498,inside_recorded_district
2019,Kavre,Bhakundebesi,27.55687133409083,85.66755250096321,inside_recorded_district
2019,Kavre,Rabiopi,27.65032968018204,85.57625262066722,inside_recorded_district
2019,Makwanpur,Radha Tiwari,,,missing_coordinates
2019,Nuwakot,Dip Acharya,27.88490277249366,85.15011859126389,inside_recorded_district
2019,Nuwakot,Ramchandra Acharya,27.88436595350504,85.15049275942147,inside_recorded_district
2019,Palpa,Chidi pani,27.866792811546475,83.54835881385952,inside_recorded_district
2019,Palpa,Devinagar,27.80927832936868,83.69689271785319,inside_recorded_district
2019,Palpa,Khasyauli,27.884576926007867,83.47849837504327,inside_recorded_district
2019,Salyan,Jhuplal gharti,28.21787660010159,82.38465665839612,inside_recorded_district
2019,Surkhet,Kalyan,28.501449334435165,81.74196999985725,inside_recorded_district
2019,Surkhet,Kunathari,28.714268475305285,81.50840390939265,inside_recorded_district
2019,Surkhet,Lekhpharsa,28.465115900617093,81.79057833272964,inside_recorded_district
2019,Surkhet,Maintada-2,28.447788599878553,81.79641825612634,inside_recorded_district
2019,Surkhet,Ramghat,28.489945985376835,81.74423437938094,inside_recorded_district
