year,district,n_observations,n_site_labels,mean_yield_t_ha,median_yield_t_ha,sd_yield_t_ha,q1_yield_t_ha,q3_yield_t_ha,min_yield_t_ha,max_yield_t_ha
2017,Dang,22,9,5.320818181818182,5.3465,1.5278260819859493,4.07825,6.4967500000000005,2.648,7.575
2017,Surkhet,22,10,6.011504545454545,6.674950000000001,1.6174492100592255,5.6183499999999995,7.129125,2.1433,7.76
2018,Dang,24,8,5.912875,6.021,1.2678706665799602,5.51875,6.439500000000001,3.18,8.305
2018,Doti,6,2,5.919999999999999,5.361,1.435791489040104,5.02475,7.13875,4.434,7.72
2018,Kavre,9,3,5.861888888888888,6.46,1.2207121327778763,4.775,6.784,3.517,7.0
2018,Palpa,11,4,4.457090909090909,4.455,0.5339045709760227,4.0805,4.968,3.645,5.124
2018,Surkhet,25,11,6.494199999999999,6.315,0.9431871058632355,6.077,7.278,4.251,8.197
2019,Dang,9,5,5.530666666666666,5.502,0.6718145205337556,5.03,6.06,4.486,6.28
2019,Doti,9,3,7.1680600000000005,6.923,0.6879671984913234,6.523,7.733,6.423,8.141
2019,Kavre,6,2,3.2040086666666667,3.197672,0.29851246612338755,3.17848725,3.3607555,2.681421,3.560078
2019,Makwanpur,1,1,2.7423200000000003,2.7423200000000003,,2.7423200000000003,2.7423200000000003,2.7423200000000003,2.7423200000000003
2019,Nuwakot,2,2,3.8148645,3.8148645,3.1028559736314705,2.71783925,4.91188975,1.620814,6.008915
2019,Palpa,6,3,6.526222853499999,6.176517045500001,1.2932976731021917,5.869181818,7.63507670475,4.83630303,8.08
2019,Salyan,1,1,6.973,6.973,,6.973,6.973,6.973,6.973
2019,Surkhet,13,5,5.847923076923077,6.244,1.4952793195887326,4.688,6.816,3.376,8.285
