year,district,site,n_observations,mean_yield_t_ha,median_yield_t_ha,min_yield_t_ha,max_yield_t_ha,latitude,longitude,spatial_qc_status
2017,Dang,Dhikpur,3,5.216,5.043,4.145,6.46,28.048357776666666,82.39325444333333,inside_recorded_district
2017,Dang,Dhuruwa,3,7.4126666666666665,7.483,7.18,7.575,28.02734666666667,82.32579055333333,inside_recorded_district
2017,Dang,Hapur,2,3.718,3.718,3.49,3.946,28.092568335000003,82.427464165,inside_recorded_district
2017,Dang,Laxmipur,3,5.128333333333333,5.39,4.45,5.545,27.979784446666667,82.49197833666666,inside_recorded_district
2017,Dang,Panchakule,1,6.879,6.879,6.879,6.879,28.13302667,82.10547167,inside_recorded_district
2017,Dang,Pawannagar,3,5.758,5.899,5.303,6.072,28.16375555666667,82.25674944333333,inside_recorded_district
2017,Dang,Purandhara,2,7.0045,7.0045,6.509,7.5,28.18838167,82.09627166499999,inside_recorded_district
2017,Dang,Shantinagar,2,2.909,2.909,2.648,3.17,28.163495835,82.227500835,inside_recorded_district
2017,Dang,Shreegau,3,4.123666666666667,4.056,3.312,5.003,28.10635222,82.17907222000001,inside_recorded_district
2017,Surkhet,Babiyachaur,2,7.4583,7.4583,7.166600000000001,7.75,28.81500655,81.4036959,inside_recorded_district
2017,Surkhet,Gadhi,2,4.58,4.58,2.1433,7.0167,28.646166535,81.602908275,inside_recorded_district
2017,Surkhet,Ghumkhare,1,7.76,7.76,7.76,7.76,28.4405855,81.897729,inside_recorded_district
2017,Surkhet,Guthu,2,6.74995,6.74995,6.666600000000001,6.8333,28.84796725,81.30250335,inside_recorded_district
2017,Surkhet,Kalyan,3,6.695533333333334,6.6833,5.6533,7.75,28.502932533333333,81.7376539,inside_recorded_district
2017,Surkhet,Lekhpharsa,3,6.666666666666667,7.1667,5.3133,7.52,28.4738802,81.8085626,inside_recorded_district
2017,Surkhet,Maintada-3,2,4.3917,4.3917,3.1767,5.6067,28.44182313,81.811789725,inside_recorded_district
2017,Surkhet,Maintada-4,3,6.1444333333333345,5.9,5.8333,6.7,28.41983702666667,81.79545996,inside_recorded_district
2017,Surkhet,Neta,2,6.24165,6.24165,5.77,6.7133,28.5500672,81.79385289999999,inside_recorded_district
2017,Surkhet,Ramghat,2,3.565,3.565,2.6967,4.4333,28.48765855,81.74367765,inside_recorded_district
2018,Dang,Dhikpur,3,6.764,6.822,6.282,7.188,28.03391279666667,82.37340188666666,inside_recorded_district
2018,Dang,Dhuruwa,2,7.84,7.84,7.375,8.305,28.0214401,82.324663355,inside_recorded_district
2018,Dang,Hapur,3,5.077,5.525,3.81,5.896,28.09042332333333,82.42107370666666,inside_recorded_district
2018,Dang,Laxmipur,3,4.576,5.033,3.18,5.515,27.977860356666667,82.46365075666667,inside_recorded_district
2018,Dang,Panchakaule,4,5.73725,6.051,3.204,7.643,28.1161630325,82.1663612875,inside_recorded_district
2018,Dang,Pawannagar,3,5.823666666666667,6.175,4.984,6.312,28.170461486666667,82.26025555333332,inside_recorded_district
2018,Dang,Purandhara,3,6.321000000000001,6.252,5.52,7.191,28.18757538,82.09799106999999,inside_recorded_district
2018,Dang,Shantinagar,3,5.864999999999999,5.951,5.553,6.091,28.165601226666666,82.22548920666667,inside_recorded_district
2018,Doti,Chattiwan,3,5.692666666666667,4.924,4.434,7.72,29.082114223333335,80.59343073666666,inside_recorded_district
2018,Doti,Ghantesori,3,6.147333333333333,5.395,5.327,7.72,29.14426466,80.60338441,inside_recorded_district
2018,Kavre,Anekot,3,4.339666666666667,4.727,3.517,4.775,27.660109935,85.58735226499999,inside_recorded_district
2018,Kavre,Bhakundebesi,3,6.609999999999999,6.586,6.46,6.784,27.55796954,85.66623484333333,inside_recorded_district
2018,Kavre,Rabiopi,3,6.636,6.789,6.119,7.0,27.647593686666667,85.56457121666666,inside_recorded_district
2018,Palpa,Chidipani,2,4.1345,4.1345,3.759,4.51,,,missing_coordinates
2018,Palpa,Devinagar,3,4.800333333333334,5.097,4.18,5.124,,,missing_coordinates
2018,Palpa,Khasyauli,3,4.608666666666667,4.455,4.341,5.03,,,missing_coordinates
2018,Palpa,Madanpokhara,3,4.177333333333333,3.981,3.645,4.906,,,missing_coordinates
2018,Surkhet,Babiyachaur,3,7.1049999999999995,7.366,6.091,7.858,28.80487094,81.39947722333334,inside_recorded_district
2018,Surkhet,Gadhi,3,5.639666666666667,5.739,5.103,6.077,28.639586156666667,81.59303340000001,inside_recorded_district
2018,Surkhet,Guthu,1,5.606,5.606,5.606,5.606,28.83355282,81.30625304,inside_recorded_district
2018,Surkhet,Kalyan,3,6.9993333333333325,6.541,6.26,8.197,28.504863209999996,81.73678872666666,inside_recorded_district
2018,Surkhet,Kunathari,3,6.386,6.102,5.951,7.105,28.712912793333334,81.51043158,inside_recorded_district
2018,Surkhet,Lekhpharsa,3,6.067333333333333,6.673,4.251,7.278,28.464980496666666,81.79504277666666,inside_recorded_district
2018,Surkhet,Maintada-1,2,7.2225,7.2225,6.408,8.037,28.443077035,81.796519225,inside_recorded_district
2018,Surkhet,Maintada-2,2,5.8614999999999995,5.8614999999999995,5.607,6.116,28.423924309999997,81.79686587,inside_recorded_district
2018,Surkhet,Maintada-8,1,6.202,6.202,6.202,6.202,28.44624253,81.81802132,inside_recorded_district
2018,Surkhet,Maintada-9,1,7.539,7.539,7.539,7.539,28.43196607,81.80337762,inside_recorded_district
2018,Surkhet,Ramghat,3,6.749333333333333,6.388,6.315,7.545,28.488468549999997,81.74245902,inside_recorded_district
2019,Dang,Dhikpur,2,5.545,5.545,5.03,6.06,28.04030436789617,82.37343949265778,inside_recorded_district
2019,Dang,Laxmipur,2,5.8759999999999994,5.8759999999999994,5.502,6.25,27.978472283575684,82.46626035310328,inside_recorded_district
2019,Dang,Panchakule,1,6.28,6.28,6.28,6.28,28.133885068818927,82.11858672089875,inside_recorded_district
2019,Dang,Shantinagar,2,5.739,5.739,5.499,5.979,28.165736510418355,82.22757803276181,inside_recorded_district
2019,Dang,Shreegau,2,4.588,4.588,4.486,4.69,28.109726223628968,82.1861732751131,inside_recorded_district
2019,Doti,Chhatiwan,2,6.86934,6.86934,6.81568,6.923,29.080732406582683,80.59062398504466,inside_recorded_district
2019,Doti,Dipayal,2,7.31943,7.31943,6.523,8.11586,29.254705177154392,80.93250538688153,inside_recorded_district
