province,district,palika,lat,lon,ph,om_pct,n_total_pct,p_olsen_mg_kg,k_exch_mg_kg,sand_pct,clay_pct,silt_pct,maize_urea_total,maize_dap,maize_mop,dsm_source,dsm_imputed,dsm_imputation_n_neighbors,dsm_imputation_method,predicted_AE_N,INS_kg_ha,IPS_kg_ha,IKS_kg_ha,base_yield_kg_ha,yield_gap_kg_ha,N_demand_kg_ha
Province 5,Kapilbastu,Krishnanagar Nagarpalika,27.5,82.8,7.8,2.39,0.12,26.01,183.86,17.54,13.82,70.91,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,16.203270390724175,47.85,13.005,55.158,1914.0,6086.0,300.0
Province 5,Kapilbastu,Krishnanagar Nagarpalika,27.5,82.86,8.04,2.13,0.11,22.52,176.55,15.29,15.26,71.21,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,13.6633057082206,42.95,11.26,52.965,1718.0,6282.0,300.0
Province 5,Kapilbastu,Krishnanagar Nagarpalika,27.5,82.88,7.93,2.34,0.11,24.37,191.5,15.05,16.56,70.2,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,16.294453724092506,46.099999999999994,12.185,57.449999999999996,1843.9999999999998,6156.0,300.0
Province 5,Kapilbastu,Maharajgunj Nagarpalika,27.5,82.94,7.45,2.49,0.13,37.24,211.16,19.05,16.33,65.01,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,11.492499557413034,50.35,18.62,63.348,2014.0,5986.0,300.0
Province 5,Kapilbastu,Maharajgunj Nagarpalika,27.5,82.96,7.66,1.93,0.1,33.79,185.32,21.38,14.25,66.26,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,16.359876920337477,38.95,16.895,55.596,1558.0,6442.0,300.0
Province 5,Kapilbastu,Yashodhara Gaunpalika,27.5,82.98,7.45,1.99,0.11,34.05,188.18,20.01,15.05,65.41,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,12.5609156108395,40.85,17.025,56.454,1634.0,6366.0,300.0
Province 5,Kapilbastu,Yashodhara Gaunpalika,27.5,83.0,7.36,1.78,0.1,38.47,170.76,21.22,14.71,65.86,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,12.829248944172834,36.7,19.235,51.227999999999994,1468.0,6532.0,300.0
Province 5,Kapilbastu,Kapilbastu Nagarpalika,27.5,83.02,7.2,1.76,0.09,43.36,161.98,23.27,13.46,65.71,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,12.687248944172834,35.4,21.68,48.593999999999994,1416.0,6584.0,300.0
Province 5,Kapilbastu,Yashodhara Gaunpalika,27.5,83.04,7.0,1.82,0.1,34.34,157.59,20.43,14.18,66.0,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,13.087815610839503,37.3,17.17,47.277,1492.0,6508.0,300.0
Province 5,Kapilbastu,Yashodhara Gaunpalika,27.5,83.06,6.95,1.73,0.09,30.3,157.43,21.4,13.08,66.49,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,10.954620805644694,34.95,15.15,47.229,1398.0,6602.0,300.0
Province 5,Kapilbastu,Mayadevi Gaunpalika,27.5,83.08,7.13,1.64,0.09,29.02,164.27,21.13,14.11,65.88,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,12.254498944172832,33.599999999999994,14.51,49.281,1343.9999999999998,6656.0,300.0
Province 5,Kapilbastu,Mayadevi Gaunpalika,27.5,83.1,6.9,1.65,0.08,23.4,151.87,21.12,12.14,67.61,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,11.079391638994698,32.75,11.7,45.561,1310.0,6690.0,300.0
Province 5,Kapilbastu,Mayadevi Gaunpalika,27.5,83.14,7.12,1.67,0.09,23.68,186.21,21.69,13.0,65.64,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,11.636498944172835,34.05,11.84,55.863,1362.0,6638.0,300.0
Province 5,Kapilbastu,Mayadevi Gaunpalika,27.5,83.16,6.88,1.73,0.09,21.49,152.15,20.62,13.73,65.59,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,10.389898583422474,34.95,10.745,45.645,1398.0,6602.0,300.0
Province 5,Kapilbastu,Suddhodhan Gaunpalika,27.5,83.18,6.91,1.58,0.08,19.76,137.09,22.16,13.05,65.29,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,11.079391638994698,31.700000000000003,9.88,41.127,1268.0,6732.0,300.0
Province 5,Kapilbastu,Suddhodhan Gaunpalika,27.5,83.22,6.45,1.76,0.09,24.66,141.96,26.16,11.68,62.74,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,9.075074982049859,35.4,12.33,42.588,1416.0,6584.0,300.0
Province 5,Kapilbastu,Suddhodhan Gaunpalika,27.5,83.2,6.58,1.61,0.08,21.04,128.7,25.17,11.31,64.62,9.45,3.62,3.34,direct_overlay,False,0,direct_overlay,8.49634581539986,32.150000000000006,10.52,38.60999999999999,1286.0000000000002,6714.0,300.0
