year,study,district,site,missing_reference,strategy
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-10,GR,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-3,GR,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-4,GR,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-5,GR,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-6,GR,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-7,GR,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-8,GR,
2018,"2018 N source, timing and FYM trial",Surkhet,Maintada-9,GR,
2018,2018 maize demo,Dang,Dhikpur,0PK,GR
2018,2018 maize demo,Dang,Dhuruwa,0PK,GR
2018,2018 maize demo,Dang,Hapur,0PK,GR
2018,2018 maize demo,Dang,Laxmipur,0PK,GR
2018,2018 maize demo,Dang,Pawannagar,0PK,GR
2018,2018 maize demo,Dang,Purandhara,0PK,GR
2018,2018 maize demo,Dang,Shantinagar,0PK,GR
2018,2018 maize demo,Dang,Shreegau,0PK,GR
2018,2018 maize demo,Doti,Chhatiwan,0PK,GR
2018,2018 maize demo,Doti,Ghanteshwor,0PK,GR
2018,2018 maize demo,Kavre,Anekot,0PK,GR
2018,2018 maize demo,Kavre,Bhakundebesi,0PK,GR
2018,2018 maize demo,Kavre,Rabiopi,0PK,GR
2018,2018 maize demo,Palpa,Chidipani,0PK,GR
2018,2018 maize demo,Palpa,Devinagar,0PK,GR
2018,2018 maize demo,Palpa,Madanpokhara,0PK,GR
2018,2018 maize demo,Surkhet,Babiyachaur,0PK,GR
2018,2018 maize demo,Surkhet,Gadhi,0PK,GR
2018,2018 maize demo,Surkhet,Guthu,0PK,GR
2018,2018 maize demo,Surkhet,Kalyan,0PK,GR
2018,2018 maize demo,Surkhet,Kunathari,0PK,GR
2018,2018 maize demo,Surkhet,Lekhparsa,0PK,GR
2018,2018 maize demo,Surkhet,Lekhpharsa,0PK,GR
2018,2018 maize demo,Surkhet,Maintada-1,0PK,GR
2018,2018 maize demo,Surkhet,Maintada-2,0PK,GR
2018,2018 maize demo,Surkhet,Ramghat,0PK,GR
2019,2019 Hybrid strategy block,Dang,Dhikpur,0PK,GR
2019,2019 Hybrid strategy block,Dang,Laxmipur,0PK,GR
2019,2019 Hybrid strategy block,Dang,Panchakule,0PK,GR
2019,2019 Hybrid strategy block,Dang,Purandhara,0PK,GR
2019,2019 Hybrid strategy block,Dang,Shantinagar,0PK,GR
2019,2019 Hybrid strategy block,Dang,Shreegau,0PK,GR
2019,2019 Hybrid strategy block,Doti,Chhatiwan,0PK,GR
2019,2019 Hybrid strategy block,Doti,Dipayal,0PK,GR
2019,2019 Hybrid strategy block,Doti,Ghanteshwor,0PK,GR
2019,2019 Hybrid strategy block,Kavre,Bhakundebesi,0PK,GR
2019,2019 Hybrid strategy block,Makwanpur,Radha Tiwari,0PK,GR
2019,2019 Hybrid strategy block,Nuwakot,Ramchandra Acharya,0PK,GR
2019,2019 Hybrid strategy block,Palpa,Devinagar,0PK,GR
2019,2019 Hybrid strategy block,Salyan,Ajaya Gharti,0PK,GR
2019,2019 Hybrid strategy block,Salyan,Prem buda,0PK,GR
2019,2019 Hybrid strategy block,Salyan,Tham kumari mahatara,0PK,GR
2019,2019 Hybrid strategy block,Surkhet,Babiyachaur,0PK,GR
2019,2019 Hybrid strategy block,Surkhet,Kalyan,0PK,GR
2019,2019 Hybrid strategy block,Surkhet,Kunathari,0PK,GR
2019,2019 Hybrid strategy block,Surkhet,Lekhpharsa,0PK,GR
2019,2019 Hybrid strategy block,Surkhet,Maintada-2,0PK,GR
2019,2019 Hybrid strategy block,Surkhet,Ramghat,0PK,GR
2019,2019 OPV strategy block,Dang,Dhikpur,0PK,GR
2019,2019 OPV strategy block,Dang,Laxmipur,0PK,GR
2019,2019 OPV strategy block,Dang,Panchakule,0PK,GR
2019,2019 OPV strategy block,Dang,Purandhara,0PK,GR
2019,2019 OPV strategy block,Dang,Shantinagar,0PK,GR
2019,2019 OPV strategy block,Dang,Shreegau,0PK,GR
2019,2019 OPV strategy block,Doti,Chhatiwan,0PK,GR
2019,2019 OPV strategy block,Doti,Dipayal,0PK,GR
2019,2019 OPV strategy block,Doti,Ghanteshwor,0PK,GR
2019,2019 OPV strategy block,Kavre,Bhakundebesi,0PK,GR
2019,2019 OPV strategy block,Makwanpur,Radha Tiwari,0PK,GR
2019,2019 OPV strategy block,Nuwakot,Ramchandra Acharya,0PK,GR
2019,2019 OPV strategy block,Palpa,Devinagar,0PK,GR
2019,2019 OPV strategy block,Salyan,Ajaya Gharti,0PK,GR
2019,2019 OPV strategy block,Salyan,Prem buda,0PK,GR
2019,2019 OPV strategy block,Salyan,Tham kumari mahatara,0PK,GR
2019,2019 OPV strategy block,Surkhet,Babiyachaur,0PK,GR
2019,2019 OPV strategy block,Surkhet,Kalyan,0PK,GR
2019,2019 OPV strategy block,Surkhet,Kunathari,0PK,GR
2019,2019 OPV strategy block,Surkhet,Lekhpharsa,0PK,GR
2019,2019 OPV strategy block,Surkhet,Maintada-2,0PK,GR
2019,2019 OPV strategy block,Surkhet,Ramghat,0PK,GR
