province,district,target_yield_t_ha,strategy,efficiency_metric,n_pixels,supported_pixels,median_predicted_AE_N,median_predicted_PFP_N,median_predicted_yield_difference_from_GR_kg_ha,strategy_N_rate_kg_ha,median_reference_N_kg_ha,median_N_required_for_same_target_yield,median_N_change_for_same_target_yield,median_N_reduction_for_same_target_yield,median_N_increase_for_same_target_yield,median_predicted_yield_retention,median_efficiency_ratio_to_GR
Karnali,Rukum_w,6.0,FYM_N60,PFP,12,0,,99.32901140811065,-873.358250614591,60.0,118.44315545243617,60.40533609046385,-58.788529358321654,58.788529358321654,0.0,0.8634934360840801,1.7265278578551322
Karnali,Rukum_w,6.0,GR,AE,12,0,11.238767064100564,,0.0,120.0,118.44315545243617,118.44315545243617,0.0,-0.0,0.0,1.0,1.0
Karnali,Rukum_w,6.0,N180,AE,12,0,7.216053519854876,,248.59485364187427,180.0,118.44315545243617,134.43844729314486,15.763903758461723,0.0,15.763903758461723,1.0318634297455045,0.8863518374438589
Karnali,Rukum_w,6.0,N210,AE,12,0,5.820834453324397,,216.5299449191627,210.0,118.44315545243617,425.7033844240839,317.02729568077564,0.0,317.02729568077564,1.0515704960150218,0.2747602656307717
Karnali,Rukum_w,6.0,N60,AE,12,0,10.09253917079239,,-349.2607333738373,60.0,118.44315545243617,111.92221362133881,-8.762358263583792,16.752505102191712,7.99014683860792,0.9413506041643243,1.3069966135928972
Karnali,Rukum_w,6.0,PCU_N120,PFP,12,0,,57.640421089210555,-52.41284750146562,120.0,118.44315545243617,104.09364348910401,-16.893492195270483,16.893492195270483,0.0,0.9906028713278776,0.9906777271552157
Karnali,Rukum_w,6.0,PCU_N60,PFP,12,0,,131.50998262668668,-942.2872297489637,60.0,118.44315545243617,45.62407704152864,-72.94493408512497,72.94493408512497,0.0,0.9245128770613336,1.844256912745188
Karnali,Rukum_w,6.0,TIMING_V6_V10,AE,12,0,12.633464712651984,,-248.94717951985473,120.0,118.44315545243617,75.83392393932117,-42.31202952892441,42.31202952892441,0.0,0.9568784899606209,1.5336112802322344
Karnali,Rukum_w,6.0,UDP_N78,PFP,12,0,,97.69044707946296,-1571.143229786108,78.0,118.44315545243617,61.41850844599345,-57.670709622503416,57.670709622503416,0.0,0.8761451110349878,1.350158232446612
Karnali,Rukum_w,8.0,FYM_N60,PFP,12,0,,99.32901140811065,-873.358250614591,60.0,218.4431554524362,80.54044812061846,-138.9036539936168,138.9036539936168,0.0,0.8634934360840801,1.7265278578551322
Karnali,Rukum_w,8.0,GR,AE,12,0,11.238767064100564,,0.0,120.0,218.4431554524362,218.4431554524362,0.0,-0.0,0.0,1.0,1.0
Karnali,Rukum_w,8.0,N180,AE,12,0,7.216053519854876,,248.59485364187427,180.0,218.4431554524362,249.43132112272292,28.586614987841543,0.0,28.586614987841543,1.0318634297455045,0.8863518374438589
Karnali,Rukum_w,8.0,N210,AE,12,0,5.820834453324397,,216.5299449191627,210.0,218.4431554524362,803.6168098129839,585.4872274463946,0.0,585.4872274463946,1.0515704960150218,0.2747602656307717
Karnali,Rukum_w,8.0,N60,AE,12,0,10.09253917079239,,-349.2607333738373,60.0,218.4431554524362,197.53034152830404,-23.978805514827904,38.72617958724795,14.747374072420044,0.9413506041643243,1.3069966135928972
Karnali,Rukum_w,8.0,PCU_N120,PFP,12,0,,57.640421089210555,-52.41284750146562,120.0,218.4431554524362,138.79152465213866,-82.60578541735987,82.60578541735987,0.0,0.9906028713278776,0.9906777271552157
