year,adm1,adm2,site,treatment_code,treatment,treatment_group,n_obs,n_trials,n_farmers,n_yield,mean_yield_kg_ha,sd_yield_kg_ha,min_yield_kg_ha,max_yield_kg_ha,mean_yield_t_ha,mean_N_fertilizer_kg_ha,mean_P2O5_fertilizer_kg_ha,mean_K2O_fertilizer_kg_ha,mean_organic_fertilizer_t_ha,mean_PFPN_kg_grain_per_kg_N,mean_AE_N_kg_grain_per_kg_N,mean_straw_yield_kg_ha,mean_cob_yield_kg_ha,mean_grain_yield_raw_kg_ha,mean_grain_moisture_pct,source_datasets
2017,Dang,Dhikpur,Dang | Dhikpur,1,CK,control,3,3,3,3,5216.0,1167.1559450219152,4145.0,6460.0,5.2,0.0,0.0,0.0,,0.0,,23788.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Dhikpur,Dang | Dhikpur,10,K and S,Ntiming,3,3,3,3,7439.333333333333,1287.6980753784378,6065.0,8618.0,7.433333333333333,120.0,60.0,40.0,,62.333333333333336,,33833.333333333336,,,,nsaf_maize_trials_2017
2017,Dang,Dhikpur,Dang | Dhikpur,2,N0,omission,3,3,3,3,4394.333333333333,524.4352518026732,4051.0,4998.0,4.3999999999999995,0.0,60.0,40.0,,0.0,,20511.0,,,,nsaf_maize_trials_2017
2017,Dang,Dhikpur,Dang | Dhikpur,3,P0,omission,3,3,3,3,6375.666666666667,2198.111992900574,4100.0,8487.0,6.366666666666667,120.0,0.0,40.0,,53.333333333333336,,29755.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Dhikpur,Dang | Dhikpur,4,K0,omission,3,3,3,3,4955.0,2938.73152907849,2437.0,8184.0,4.933333333333333,120.0,60.0,0.0,,41.0,,28022.333333333332,,,,nsaf_maize_trials_2017
2017,Dang,Dhikpur,Dang | Dhikpur,5,N-60,Nrates,3,3,3,3,6440.0,2945.9594362448374,3109.0,8703.0,6.433333333333334,60.0,60.0,40.0,,107.33333333333333,,33700.0,,,,nsaf_maize_trials_2017
2017,Dang,Dhikpur,Dang | Dhikpur,6,N-120,Nrates,3,3,3,3,8320.666666666666,761.5250050611163,7881.0,9200.0,8.333333333333334,120.0,60.0,40.0,,69.66666666666667,,31422.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Dhikpur,Dang | Dhikpur,7,N-180,Nrates,3,3,3,3,7951.0,1266.788064358044,6607.0,9123.0,7.933333333333333,180.0,60.0,40.0,,44.333333333333336,,29011.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Dhikpur,Dang | Dhikpur,8,N-210,Nrates,3,3,3,3,7083.666666666667,1505.6999479754702,5695.0,8684.0,7.1000000000000005,210.0,60.0,40.0,,33.666666666666664,,34678.0,,,,nsaf_maize_trials_2017
2017,Dang,Dhikpur,Dang | Dhikpur,9,NPK+micros,NPK+micros,3,3,3,3,8220.666666666666,658.7566571453631,7460.0,8601.0,8.233333333333333,120.0,60.0,40.0,,68.66666666666667,,33578.0,,,,nsaf_maize_trials_2017
2017,Dang,Dhuruwa,Dang | Dhuruwa,1,CK,control,3,3,3,3,7412.666666666667,206.67930068909493,7180.0,7575.0,7.433333333333334,0.0,0.0,0.0,,0.0,,19937.0,,,,nsaf_maize_trials_2017
2017,Dang,Dhuruwa,Dang | Dhuruwa,10,K and S,Ntiming,3,3,3,3,6077.666666666667,714.1570788932455,5518.0,6882.0,6.066666666666666,120.0,60.0,40.0,,50.666666666666664,,28555.666666666668,,,,nsaf_maize_trials_2017
2017,Dang,Dhuruwa,Dang | Dhuruwa,2,N0,omission,3,3,3,3,5299.0,829.3545683240673,4456.0,6114.0,5.3,0.0,60.0,40.0,,0.0,,19889.0,,,,nsaf_maize_trials_2017
2017,Dang,Dhuruwa,Dang | Dhuruwa,3,P0,omission,3,3,3,3,6046.0,1089.6733455490228,4810.0,6868.0,6.066666666666666,120.0,0.0,40.0,,50.333333333333336,,29222.333333333332,,,,nsaf_maize_trials_2017
2017,Dang,Dhuruwa,Dang | Dhuruwa,4,K0,omission,3,3,3,3,6357.666666666667,1349.0560897654825,4838.0,7414.0,6.333333333333333,120.0,60.0,0.0,,53.0,,22677.666666666668,,,,nsaf_maize_trials_2017
