year,study,dataset_type,district,site,government_recommendation,p_omission,latitude,longitude,response_t_ha
2019,2019 T1-T10 core trial,Trial,Dang,Dhikpur,8.777121511627907,7.841819186046512,28.040278845001012,82.3734773369506,0.9353023255813957
2019,2019 T1-T10 core trial,Trial,Dang,Laxmipur,11.619877325581394,12.14026046511628,27.97845462919213,82.46626743581146,-0.5203831395348857
2019,2019 T1-T10 core trial,Trial,Dang,Panchakule,9.917432558139534,9.182972093023256,28.13432058203034,82.1207742090337,0.7344604651162783
2019,2019 T1-T10 core trial,Trial,Dang,Shantinagar,8.61302034883721,8.859921511627906,28.165811077924445,82.22748124273494,-0.24690116279069585
2019,2019 T1-T10 core trial,Trial,Dang,Shreegau,8.656330813953488,8.554331395348838,28.10967269469984,82.18609519768506,0.10199941860465067
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,9.414713546511628,9.815552790697676,29.080777689814568,80.59055309509858,-0.40083924418604866
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,8.507053310077518,8.876416527131783,29.254696208518,80.93249275814742,-0.3693632170542642
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,9.174986976744185,8.467302325581397,29.12458174629137,80.58126859925687,0.7076846511627881
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,8.723448191860466,6.529804790697675,27.557035828940574,85.66751826088876,2.1936434011627917
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,7.813370494186046,6.631491450581395,27.650265789125115,85.57618087157607,1.181879043604651
2019,2019 T1-T10 core trial,Trial,Makwanpur,Radha Tiwari,6.698701836046512,6.05597184883721,,,0.642729987209302
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,6.801547209302324,9.900772000000002,27.88490126375109,85.15014985576272,-3.0992247906976775
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,8.012322523255815,6.911392290697676,27.884358095470816,85.15041300561279,1.100930232558139
2019,2019 T1-T10 core trial,Trial,Palpa,Chidi pani,7.849728665302326,9.748697674418604,27.86684374208562,83.54842000175267,-1.8989690091162785
2019,2019 T1-T10 core trial,Trial,Palpa,Devinagar,8.501498065104652,8.87922672866279,27.809378776000813,83.69689368177205,-0.3777286635581376
2019,2019 T1-T10 core trial,Trial,Palpa,Khasyauli,7.471317812616279,7.098108543930232,27.88471700856462,83.47856123931706,0.37320926868604687
2019,2019 T1-T10 core trial,Trial,Salyan,Jhuplal gharti,10.973156976744189,9.488668604651162,28.21795323165134,82.38485350739211,1.4844883720930273
2019,2019 T1-T10 core trial,Trial,Salyan,Sharadha sharma,,12.645348837209303,28.229103970807046,82.3528173705563,
2019,2019 T1-T10 core trial,Trial,Surkhet,Babiyachaur,12.879354279069767,13.41702363372093,28.805147510720417,81.39991896925494,-0.5376693546511628
2019,2019 T1-T10 core trial,Trial,Surkhet,Kalyan,9.480886627906976,9.278252325581395,28.501477151876315,81.74196859588847,0.20263430232558122
2019,2019 T1-T10 core trial,Trial,Surkhet,Kunathari,8.941865697674418,10.048916860465116,28.714269753545523,81.5084210713394,-1.1070511627906985
2019,2019 T1-T10 core trial,Trial,Surkhet,Lekhpharsa,11.779534883720931,10.171668023255812,28.46506261266768,81.7904415819794,1.6078668604651192
2019,2019 T1-T10 core trial,Trial,Surkhet,Maintada-2,7.337687209302326,7.4868837209302335,28.447825155453756,81.79641132010147,-0.14919651162790704
2019,2019 T1-T10 core trial,Trial,Surkhet,Ramghat,11.571568139534884,9.310833953488373,28.489948470611125,81.74420726392418,2.260734186046511
