year,study,dataset_type,district,site,government_recommendation,udp_reduced_n,latitude,longitude,response_t_ha
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.309213178294572,8.0873992248062,28.033862063333334,82.373377535,-0.22181395348837185
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,6.752627906976744,7.119220930232558,28.0215209925,82.324670855,0.3665930232558141
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.666720930232557,8.101054263565892,28.090466378333332,82.42110511333334,2.434333333333335
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,7.132759689922481,7.588627906976744,27.977793350000002,82.46365379166667,0.45586821705426317
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,8.273944767441861,8.189779069767443,28.116161310000003,82.16631863250001,-0.08416569767441828
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,5.785248062015505,6.371147286821706,28.170489314999998,82.260280935,0.5858992248062007
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.4239961240310075,6.922352713178294,28.18759307166667,82.09808050666666,-0.5016434108527132
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,7.427116279069768,7.599906976744187,28.165578341666667,82.22555552166668,0.17279069767441868
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,6.628709302325581,6.6352596899224805,29.082113336666666,80.59341144166666,0.006550387596899299
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,8.323627906976744,8.38201550387597,29.144216686666667,80.6034564,0.0583875968992249
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,6.6202093023255815,6.124457364341086,27.66061674666667,85.58982686333333,-0.4957519379844957
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,8.142248062015504,7.486821705426357,27.55793232,85.66634017,-0.6554263565891469
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,9.312015503875969,9.101744186046512,27.6475825,85.56452893000001,-0.21027131782945752
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,9.468372093023257,9.343151162790697,28.804867188333333,81.39953424666666,-0.12522093023255998
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,8.934263565891474,8.615612403100775,28.639592258333337,81.593029335,-0.31865116279069916
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,7.927639534883721,9.45860465116279,28.8335081,81.30619082,1.5309651162790692
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.879523255813952,8.822426356589148,28.50489646,81.736866245,-0.05709689922480443
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.978236434108528,8.436802325581395,28.71298536333334,81.51052204,-0.5414341085271328
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.474728682170543,8.495678294573644,28.4650068,81.79508522166665,0.02094961240310056
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,8.949492248062016,8.532558139534883,28.443638255,81.80000408999999,-0.4169341085271334
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,8.762003875968992,8.913023255813954,28.425242885,81.79800839833334,0.1510193798449624
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-4,,7.841860465116279,28.44632369,81.81796125,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-5,,8.309767441860465,28.43198418,81.8034312,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,8.903693798449613,9.23144573643411,28.488448931666667,81.74248964833333,0.3277519379844964
