year,study,dataset_type,district,site,latitude,longitude,variety,variety_group,treatment_code,source_treatment_label,treatment,treatment_role,N_rate_kg_ha,P_rate_kg_ha,K_rate_kg_ha,grain_moisture_pct,recorded_yield_kg_ha,dry_yield_kg_ha,yield_14pct_kg_ha,yield_t_ha
2017,2017 core trial,Trial,Dang,Dhikpur,28.02714833,82.37515833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5043.0,,5043.0,5.043
2017,2017 core trial,Trial,Dang,Dhikpur,28.02572,82.377395,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6460.0,,6460.0,6.46
2017,2017 core trial,Trial,Dang,Dhikpur,28.092205,82.42721,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,4145.0,,4145.0,4.145
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02137333,82.32474333,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7180.0,,7180.0,7.18
2017,2017 core trial,Trial,Dang,Dhuruwa,28.03805,82.32935833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7575.0,,7575.0,7.575
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02261667,82.32327,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7483.0,,7483.0,7.483
2017,2017 core trial,Trial,Dang,Hapur,28.09140667,82.42664333,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,3490.0,,3490.0,3.49
2017,2017 core trial,Trial,Dang,Hapur,28.09373,82.428285,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,3946.0,,3946.0,3.946
2017,2017 core trial,Trial,Dang,Laxmipur,27.98058167,82.46868667,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,4450.0,,4450.0,4.45
2017,2017 core trial,Trial,Dang,Laxmipur,27.99098667,82.51826167,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5545.0,,5545.0,5.545
2017,2017 core trial,Trial,Dang,Laxmipur,27.967785,82.48898667,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5390.0,,5390.0,5.39
2017,2017 core trial,Trial,Dang,Panchakule,28.13302667,82.10547167,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6879.0,,6879.0,6.879
2017,2017 core trial,Trial,Dang,Pawannagar,28.16120167,82.25547167,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5303.0,,5303.0,5.303
2017,2017 core trial,Trial,Dang,Pawannagar,28.15935167,82.25444833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5899.0,,5899.0,5.899
2017,2017 core trial,Trial,Dang,Pawannagar,28.17071333,82.26032833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6072.0,,6072.0,6.072
2017,2017 core trial,Trial,Dang,Purandhara,28.19366167,82.09409,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6509.0,,6509.0,6.509
2017,2017 core trial,Trial,Dang,Purandhara,28.18310167,82.09845333,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7500.0,,7500.0,7.5
2017,2017 core trial,Trial,Dang,Shantinagar,28.15926667,82.22875167,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,2648.0,,2648.0,2.648
2017,2017 core trial,Trial,Dang,Shantinagar,28.167725,82.22625,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,3170.0,,3170.0,3.17
2017,2017 core trial,Trial,Dang,Shreegau,28.09885833,82.16455,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,4056.0,,4056.0,4.056
2017,2017 core trial,Trial,Dang,Shreegau,28.11214333,82.18997833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5003.0,,5003.0,5.003
2017,2017 core trial,Trial,Dang,Shreegau,28.108055,82.18268833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,3312.0,,3312.0,3.312
2017,2017 core trial,Trial,Surkhet,Babiyachaur,28.8088505,81.3939897,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7166.6,,7166.6,7.166600000000001
2017,2017 core trial,Trial,Surkhet,Babiyachaur,28.8211626,81.4134021,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7750.0,,7750.0,7.75
2017,2017 core trial,Trial,Surkhet,Gadhi,28.65119517,81.60158525,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7016.7,,7016.7,7.0167
2017,2017 core trial,Trial,Surkhet,Gadhi,28.6411379,81.6042313,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,2143.3,,2143.3,2.1433
2017,2017 core trial,Trial,Surkhet,Ghumkhare,28.4405855,81.897729,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7760.0,,7760.0,7.76
2017,2017 core trial,Trial,Surkhet,Guthu,28.8512093,81.2906702,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6666.6,,6666.6,6.666600000000001
2017,2017 core trial,Trial,Surkhet,Guthu,28.8447252,81.3143365,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6833.3,,6833.3,6.8333
2017,2017 core trial,Trial,Surkhet,Kalyan,28.5031584,81.7380663,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7750.0,,7750.0,7.75
2017,2017 core trial,Trial,Surkhet,Kalyan,28.5036559,81.7378121,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5653.3,,5653.3,5.6533
2017,2017 core trial,Trial,Surkhet,Kalyan,28.5019833,81.7370833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6683.3,,6683.3,6.6833
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,28.4743615,81.8018271,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5313.3,,5313.3,5.3133
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,28.4777842,81.8152825,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7166.7,,7166.7,7.1667
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,28.4694949,81.8085782,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7520.0,,7520.0,7.52
2017,2017 core trial,Trial,Surkhet,Maintada-3,28.43492997,81.81850476,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,3176.7,,3176.7,3.1767
2017,2017 core trial,Trial,Surkhet,Maintada-3,28.44871629,81.80507469,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5606.7,,5606.7,5.6067
2017,2017 core trial,Trial,Surkhet,Maintada-4,28.42060723,81.79859145,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6700.0,,6700.0,6.7
2017,2017 core trial,Trial,Surkhet,Maintada-4,28.42142047,81.79066701,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5900.0,,5900.0,5.9
2017,2017 core trial,Trial,Surkhet,Maintada-4,28.41748338,81.79712142,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5833.3,,5833.3,5.8333
2017,2017 core trial,Trial,Surkhet,Neta,28.5514112,81.7951889,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5770.0,,5770.0,5.77
2017,2017 core trial,Trial,Surkhet,Neta,28.5487232,81.7925169,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6713.3,,6713.3,6.7133
2017,2017 core trial,Trial,Surkhet,Ramghat,28.4888079,81.7436679,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,2696.7,,2696.7,2.6967
2017,2017 core trial,Trial,Surkhet,Ramghat,28.4865092,81.7436874,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,4433.3,,4433.3,4.4333
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,28.02603797,82.37731428,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,22.0,7667.0,5980.26,6953.790697674419,6.953790697674419
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,28.02234231,82.36645259,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,18.0,7667.0,6286.94,7310.395348837209,7.310395348837209
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,28.05335811,82.37643879,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,18.0,6717.0,5507.94,6404.581395348837,6.404581395348837
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,28.02155143,82.32441039,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,17.0,7800.0,6474.0,7527.906976744186,7.527906976744186
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,28.02132877,82.32491632,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,19.0,9000.0,7290.0,8476.744186046511,8.476744186046512
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,28.08769307,82.42310411,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,22.0,6233.0,4861.74,5653.186046511628,5.653186046511628
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,28.09181693,82.41416255,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,16.0,4010.0,3368.4,3916.744186046512,3.916744186046512
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,28.09175997,82.42595446,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,17.0,6267.0,5201.61,6048.383720930232,6.048383720930232
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,27.97651597,82.46350346,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,17.0,3380.0,2805.4,3262.093023255814,3.262093023255814
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,27.98068224,82.46866956,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,28.0,5950.0,4284.0,4981.395348837209,4.981395348837209
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,27.97638286,82.45877925,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,18.0,5933.0,4865.06,5657.046511627907,5.657046511627907
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,28.11207976,82.17598625,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,30.0,4033.0,2823.1,3282.6744186046512,3.282674418604651
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,28.10644745,82.17772549,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,31.0,7567.0,5221.23,6071.197674418604,6.071197674418604
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,28.11101442,82.18944641,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,27.0,7467.0,5450.91,6338.267441860465,6.338267441860465
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,28.1351105,82.122287,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,17.0,8230.0,6830.9,7942.906976744186,7.942906976744186
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,28.17019049,82.26093063,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,24.0,5733.0,4357.08,5066.372093023256,5.066372093023256
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,28.17088765,82.26043132,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,20.0,6900.0,5520.0,6418.604651162791,6.418604651162791
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,28.17030632,82.25940471,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,22.0,6967.0,5434.26,6318.906976744186,6.318906976744186
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,28.18212368,82.09919116,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,21.0,7000.0,5530.0,6430.232558139535,6.430232558139536
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,28.19538209,82.10246547,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,23.0,6333.0,4876.41,5670.244186046512,5.670244186046513
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,28.18522037,82.09231658,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,21.0,8000.0,6320.0,7348.837209302325,7.348837209302325
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,28.16910721,82.22765582,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,27.0,6667.0,4866.91,5659.197674418605,5.659197674418605
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,28.15941651,82.22264838,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,26.0,7087.0,5244.38,6098.116279069768,6.098116279069768
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,28.16827996,82.22616342,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,20.0,6667.0,5333.6,6201.86046511628,6.20186046511628
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,29.08326987,80.59331328,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,23.0,5500.0,4235.0,4924.418604651163,4.924418604651163
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,29.08356178,80.5955264,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,20.0,8300.0,6640.0,7720.930232558139,7.720930232558139
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,29.07951102,80.59145253,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,20.0,4766.0,3812.8,4433.488372093024,4.433488372093024
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,29.14446111,80.6017681,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,21.0,5800.0,4582.0,5327.906976744186,5.3279069767441865
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,29.14404606,80.60298644,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,20.0,8300.0,6640.0,7720.930232558139,7.720930232558139
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,29.14428681,80.60539869,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,20.0,5800.0,4640.0,5395.348837209303,5.395348837209303
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,27.65010811,85.59363108,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,13.0,3485.0,3031.95,3525.5232558139533,3.5255232558139533
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,27.67011176,85.58107345,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,18.0,5020.0,4116.4,4786.511627906976,4.786511627906976
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,,,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,18.0,4958.0,4065.56,4727.395348837209,4.727395348837209
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,27.56058799,85.66485975,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,14.0,6800.0,5848.0,6800.0,6.8
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,27.55455024,85.66750406,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,19.0,6950.0,5629.5,6545.930232558139,6.545930232558139
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,27.55877039,85.66634072,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,18.0,6800.0,5576.0,6483.720930232558,6.4837209302325585
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,27.64560389,85.55464565,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,12.0,6000.0,5280.0,6139.53488372093,6.1395348837209305
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,27.64701915,85.56237879,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,14.0,7000.0,6020.0,7000.0,7.0
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,27.65015802,85.57668921,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,14.0,6750.0,5805.0,6750.0,6.75
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,28.80448862,81.39839939,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,19.0,7983.0,6466.23,7518.872093023256,7.518872093023256
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,28.80563497,81.40025471,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,17.0,6427.0,5334.41,6202.802325581395,6.202802325581395
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,28.80448923,81.39977757,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,18.0,8433.0,6915.06,8040.767441860466,8.040767441860465
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,28.6406062,81.5920645,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,21.0,6377.0,5037.83,5857.941860465116,5.857941860465116
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,28.63693923,81.58270607,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,24.0,5940.0,4514.4,5249.302325581395,5.249302325581395
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,28.64121304,81.60432963,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,19.0,6610.0,5354.1,6225.697674418605,6.225697674418605
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,28.83355282,81.30625304,,,8,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,19.0,6090.0,4932.9,5735.930232558139,5.73593023255814
