year,study,dataset_type,district,site,p_omission,soil_background,latitude,longitude,response_t_ha
2017,2017 core trial,Trial,Dang,Dhikpur,6.375666666666667,5.216,28.048361388333333,82.39326777666668,1.1596666666666664
2017,2017 core trial,Trial,Dang,Dhuruwa,6.045999999999999,7.4126666666666665,28.027339443333336,82.32578861,-1.3666666666666671
2017,2017 core trial,Trial,Dang,Hapur,3.5595,3.718,28.09255375,82.4274366675,-0.15850000000000009
2017,2017 core trial,Trial,Dang,Laxmipur,7.274,5.128333333333333,27.979798611666666,82.49198805833333,2.145666666666667
2017,2017 core trial,Trial,Dang,Panchakule,7.7405,6.879,28.1333812525,82.109389585,0.8615000000000004
2017,2017 core trial,Trial,Dang,Pawannagar,6.1370000000000005,5.758,28.163764723333333,82.25671472166667,0.37900000000000045
2017,2017 core trial,Trial,Dang,Purandhara,7.813,7.0045,28.190016389999997,82.0975827775,0.8084999999999996
2017,2017 core trial,Trial,Dang,Shantinagar,9.297666666666666,2.909,28.164465139166666,82.2287668075,6.3886666666666665
2017,2017 core trial,Trial,Dang,Shreegau,5.853333333333334,4.123666666666667,28.106343333333335,82.17910583166667,1.7296666666666676
2017,2017 core trial,Trial,Surkhet,Babiyachaur,9.989966666666668,7.4583,28.816848591666666,81.40495051666667,2.531666666666667
2017,2017 core trial,Trial,Surkhet,Gadhi,10.825,4.58,28.646157905,81.6029059725,6.244999999999999
2017,2017 core trial,Trial,Surkhet,Ghumkhare,10.535566666666668,7.76,28.440014666666666,81.89763991666666,2.775566666666668
2017,2017 core trial,Trial,Surkhet,Guthu,11.611133333333333,6.74995,28.845933891666665,81.30325344166667,4.861183333333333
2017,2017 core trial,Trial,Surkhet,Kalyan,9.67,6.695533333333334,28.502924066666665,81.73765943333333,2.9744666666666664
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,9.0489,6.666666666666667,28.473865816666667,81.80857005,2.3822333333333328
2017,2017 core trial,Trial,Surkhet,Maintada-3,7.746666666666667,4.3917,28.443315851666668,81.80852473249999,3.354966666666667
2017,2017 core trial,Trial,Surkhet,Maintada-4,8.488866666666667,6.1444333333333345,28.419814808333335,81.79544530166667,2.344433333333332
2017,2017 core trial,Trial,Surkhet,Neta,12.621133333333333,6.24165,28.547586783333337,81.79274988333333,6.379483333333333
2017,2017 core trial,Trial,Surkhet,Ramghat,11.373366666666668,3.565,28.488614591666668,81.74330675833332,7.808366666666668
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,8.217182170542635,6.889589147286821,28.033898253333334,82.37339033333333,1.3275930232558144
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,6.467366279069768,8.002325581395349,28.02141027,82.3247250875,-1.5349593023255803
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,5.412139534883721,5.20610465116279,28.090476966666664,82.42108382166666,0.20603488372093093
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,7.551755813953489,4.633511627906977,27.977842063333334,82.46364030833334,2.918244186046512
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,7.283959302325582,5.908761627906976,28.11617259875,82.16633934625,1.3751976744186054
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,7.650344961240311,5.934627906976744,28.170476139999998,82.26028036333332,1.7157170542635667
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,7.9248643410852715,6.483104651162791,28.187576784999997,82.09800812666666,1.4417596899224803
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,7.242244186046512,5.986391472868218,28.165590790000003,82.22547593499999,1.2558527131782942
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,7.152023255813954,5.692945736434108,29.082115504999997,80.59343867666666,1.4590775193798455
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,7.4581395348837205,6.148062015503876,29.14425420166667,80.60338293833334,1.3100775193798446
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Anekot,6.153903100775193,4.346476744186046,27.660346314166667,85.58862933749998,1.807426356589147
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Bhakundebesi,8.383333333333335,6.609883720930232,27.55799734833333,85.66626181666666,1.7734496124031027
2018,"2018 N source, timing and FYM trial",Trial,Kavre,Rabiopi,9.09108527131783,6.62984496124031,27.64759644,85.56456194333333,2.46124031007752
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Babiyachaur,8.844705426356589,7.254147286821706,28.804880311666665,81.39948368666667,1.590558139534883
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Gadhi,8.182209302325582,5.777647286821705,28.639584890000002,81.59303747666667,2.4045620155038767
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Guthu,8.907709302325582,5.73593023255814,28.833558500000002,81.306220775,3.1717790697674424
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kalyan,8.59751550387597,7.159341085271318,28.50487046,81.73678733166666,1.4381744186046514
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Kunathari,8.375050387596898,6.537705426356589,28.712956076666664,81.51045155,1.8373449612403094
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Lekhpharsa,8.493023255813952,7.03681007751938,28.464971528333333,81.79503125,1.456213178294572
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-1,8.350860465116279,6.540453488372092,28.4430789375,81.796469225,1.8104069767441864
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-2,8.610598837209302,5.977441860465117,28.4239182175,81.7968914625,2.6331569767441856
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-6,7.532558139534884,,28.44630107,81.81800988,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-7,8.59760465116279,,28.43198303,81.80341728,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-8,,6.369302325581396,28.44624253,81.81802132,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Maintada-9,,7.7138372093023255,28.43196607,81.80337762,
2018,"2018 N source, timing and FYM trial",Trial,Surkhet,Ramghat,7.74556976744186,6.894341085271318,28.48847688,81.74245036666667,0.8512286821705422
2019,2019 T1-T10 core trial,Trial,Dang,Dhikpur,7.841819186046512,5.67418023255814,28.040314206155017,82.37345095491037,2.167638953488372
2019,2019 T1-T10 core trial,Trial,Dang,Laxmipur,12.14026046511628,5.917041860465115,27.978446854976937,82.46626460691914,6.223218604651164
2019,2019 T1-T10 core trial,Trial,Dang,Panchakule,9.182972093023256,8.124413953488371,28.134311948670074,82.12082667974755,1.0585581395348846
2019,2019 T1-T10 core trial,Trial,Dang,Shantinagar,8.859921511627906,5.872153488372093,28.165763437282294,82.22753767389804,2.9877680232558133
2019,2019 T1-T10 core trial,Trial,Dang,Shreegau,8.554331395348838,4.694708720930233,28.109736460028216,82.18615139834583,3.8596226744186044
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,9.815552790697676,6.789382965116278,29.08072859281674,80.5906045390293,3.0261698255813982
