year,study,dataset_type,district,site,k_omission,soil_background,latitude,longitude,response_t_ha
2017,2017 core trial,Trial,Dang,Dhikpur,4.954999999999999,5.216,28.048354721666666,82.39325805333334,-0.261000000000001
2017,2017 core trial,Trial,Dang,Dhuruwa,6.357666666666667,7.4126666666666665,28.02732361166667,82.32575388833334,-1.0549999999999997
2017,2017 core trial,Trial,Dang,Hapur,4.2325,3.718,28.092535,82.427434165,0.5145
2017,2017 core trial,Trial,Dang,Laxmipur,5.822333333333333,5.128333333333333,27.979800001666668,82.491953335,0.694
2017,2017 core trial,Trial,Dang,Panchakule,7.743,6.879,28.133401669999998,82.1093804175,0.8640000000000008
2017,2017 core trial,Trial,Dang,Pawannagar,6.9430000000000005,5.758,28.16370028,82.25673499999999,1.1850000000000005
2017,2017 core trial,Trial,Dang,Purandhara,6.789666666666666,7.0045,28.190031113333333,82.0975313875,-0.21483333333333388
2017,2017 core trial,Trial,Dang,Shantinagar,8.738,2.909,28.164444584166667,82.2287779175,5.829
2017,2017 core trial,Trial,Dang,Shreegau,6.331666666666667,4.123666666666667,28.10638277666667,82.17910361,2.208
2017,2017 core trial,Trial,Surkhet,Babiyachaur,11.777733333333332,7.4583,28.816834575,81.40493968333334,4.319433333333332
2017,2017 core trial,Trial,Surkhet,Gadhi,11.44335,4.58,28.6461585375,81.6029110225,6.8633500000000005
2017,2017 core trial,Trial,Surkhet,Ghumkhare,10.49,7.76,28.44001985,81.89764758333334,2.7300000000000004
2017,2017 core trial,Trial,Surkhet,Guthu,11.177766666666665,6.74995,28.845933558333332,81.30325750833333,4.427816666666665
2017,2017 core trial,Trial,Surkhet,Kalyan,9.5,6.695533333333334,28.502922883333333,81.73766601666667,2.8044666666666664
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,10.286666666666667,6.666666666666667,28.4738748,81.80857953333333,3.62
2017,2017 core trial,Trial,Surkhet,Maintada-3,8.0189,4.3917,28.443314288333333,81.80852899249999,3.6272
2017,2017 core trial,Trial,Surkhet,Maintada-4,9.055566666666666,6.1444333333333345,28.419812541666666,81.79545415333334,2.911133333333331
2017,2017 core trial,Trial,Surkhet,Neta,12.200000000000001,6.24165,28.547590883333335,81.7927502,5.958350000000001
2017,2017 core trial,Trial,Surkhet,Ramghat,11.423333333333332,3.565,28.488610375,81.743305025,7.8583333333333325
2019,2019 T1-T10 core trial,Trial,Dang,Dhikpur,7.548719999999999,5.67418023255814,28.04028887185268,82.37345022149384,1.8745397674418598
2019,2019 T1-T10 core trial,Trial,Dang,Laxmipur,12.090534302325583,5.917041860465115,27.978464352199808,82.4662664718926,6.173492441860468
2019,2019 T1-T10 core trial,Trial,Dang,Panchakule,9.453341860465116,8.124413953488371,28.134243164677173,82.12081817211583,1.3289279069767446
2019,2019 T1-T10 core trial,Trial,Dang,Shantinagar,8.487811627906977,5.872153488372093,28.165760084521025,82.2275569732301,2.615658139534884
2019,2019 T1-T10 core trial,Trial,Dang,Shreegau,9.95985523255814,4.694708720930233,28.109662584029138,82.18610328622162,5.265146511627908
2019,2019 T1-T10 core trial,Trial,Doti,Chhatiwan,8.738372093023255,6.789382965116278,29.080792578170072,80.5905511463061,1.9489891279069766
2019,2019 T1-T10 core trial,Trial,Doti,Dipayal,9.43895985271318,7.720761108527133,29.25472150091082,80.93256125226617,1.718198744186048
2019,2019 T1-T10 core trial,Trial,Doti,Ghanteshwor,10.570567441860465,7.222269767441861,29.124495186377317,80.58125621918589,3.348297674418604
2019,2019 T1-T10 core trial,Trial,Kavre,Bhakundebesi,6.233759552325582,2.9267566104651164,27.55696925567463,85.667579700239,3.3070029418604654
2019,2019 T1-T10 core trial,Trial,Kavre,Rabiopi,6.574215360465117,3.342635645348837,27.65031429938972,85.57620530482382,3.23157971511628
2019,2019 T1-T10 core trial,Trial,Makwanpur,Radha Tiwari,6.313064872093024,2.742325581395349,,,3.5707392906976754
2019,2019 T1-T10 core trial,Trial,Nuwakot,Dip Acharya,7.509767441860465,6.008917976744186,27.884868721012026,85.1500335149467,1.5008494651162785
2019,2019 T1-T10 core trial,Trial,Nuwakot,Ramchandra Acharya,8.165232558139536,1.620817011627907,27.884372994303703,85.15042134560645,6.544415546511629
2019,2019 T1-T10 core trial,Trial,Palpa,Chidi pani,9.43783331632558,8.257209302325581,27.866833998123184,83.54836987797171,1.1806240139999993
2019,2019 T1-T10 core trial,Trial,Palpa,Devinagar,8.107937986,5.791707364343022,27.808758274186403,83.6966024315916,2.3162306216569775
2019,2019 T1-T10 core trial,Trial,Palpa,Khasyauli,3.659941860465117,6.005674418604651,27.88472836604342,83.47850558348,-2.3457325581395345
2019,2019 T1-T10 core trial,Trial,Salyan,Jhuplal gharti,2.9405232558139534,7.134883720930233,28.217889172956347,82.3846605559811,-4.194360465116279
2019,2019 T1-T10 core trial,Trial,Salyan,Sharadha sharma,11.488084883720928,11.860168604651165,28.22903502965346,82.35293203499168,-0.37208372093023634
2019,2019 T1-T10 core trial,Trial,Surkhet,Babiyachaur,13.051022546511629,9.719476744186046,28.805172331631184,81.39992747688666,3.331545802325582
2019,2019 T1-T10 core trial,Trial,Surkhet,Kalyan,8.875828488372093,7.139387790697674,28.501475140219554,81.7419614084065,1.7364406976744196
2019,2019 T1-T10 core trial,Trial,Surkhet,Kunathari,4.451431395348837,6.868965697674419,28.714259433327243,81.50839823065326,-2.417534302325582
2019,2019 T1-T10 core trial,Trial,Surkhet,Lekhpharsa,8.875633139534884,6.102918604651163,28.465082603506744,81.79052307503298,2.772714534883721
2019,2019 T1-T10 core trial,Trial,Surkhet,Maintada-2,6.467143604651163,4.673941860465117,28.44779718085192,81.79641622351483,1.793201744186046
2019,2019 T1-T10 core trial,Trial,Surkhet,Ramghat,11.156974883720931,5.644310232558139,28.489962212741375,81.74422151315957,5.512664651162792
