year,study,dataset_type,district,site,latitude,longitude,variety,variety_group,treatment_code,source_treatment_label,treatment,treatment_role,N_rate_kg_ha,P_rate_kg_ha,K_rate_kg_ha,grain_moisture_pct,recorded_yield_kg_ha,dry_yield_kg_ha,yield_14pct_kg_ha,yield_t_ha
2017,2017 core trial,Trial,Dang,Dhikpur,28.02714833,82.37515833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5043.0,,5043.0,5.043
2017,2017 core trial,Trial,Dang,Dhikpur,28.02572,82.377395,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6460.0,,6460.0,6.46
2017,2017 core trial,Trial,Dang,Dhikpur,28.092205,82.42721,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,4145.0,,4145.0,4.145
2017,2017 core trial,Trial,Dang,Dhikpur,28.02713167,82.37542667,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,4998.0,,4998.0,4.998
2017,2017 core trial,Trial,Dang,Dhikpur,28.02550667,82.37736667,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,4134.0,,4134.0,4.134
2017,2017 core trial,Trial,Dang,Dhikpur,28.09225167,82.42717667,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,4051.0,,4051.0,4.051
2017,2017 core trial,Trial,Dang,Dhikpur,28.02712833,82.37541167,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,6540.0,,6540.0,6.54
2017,2017 core trial,Trial,Dang,Dhikpur,28.02566,82.37724833,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,8487.0,,8487.0,8.487
2017,2017 core trial,Trial,Dang,Dhikpur,28.09230667,82.42718333,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,4100.0,,4100.0,4.1
2017,2017 core trial,Trial,Dang,Dhikpur,28.02720333,82.37545333,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,8184.0,,8184.0,8.184
2017,2017 core trial,Trial,Dang,Dhikpur,28.02555667,82.37725833,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,2437.0,,2437.0,2.437
2017,2017 core trial,Trial,Dang,Dhikpur,28.092295,82.42707333,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,4244.0,,4244.0,4.244
2017,2017 core trial,Trial,Dang,Dhikpur,28.02723667,82.37530333,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,7881.0,,7881.0,7.881
2017,2017 core trial,Trial,Dang,Dhikpur,28.02583,82.37744832999999,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,9200.0,,9200.0,9.2
2017,2017 core trial,Trial,Dang,Dhikpur,28.09230833,82.42696333,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,7881.0,,7881.0,7.881
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02137333,82.32474333,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7180.0,,7180.0,7.18
2017,2017 core trial,Trial,Dang,Dhuruwa,28.03805,82.32935833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7575.0,,7575.0,7.575
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02261667,82.32327,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7483.0,,7483.0,7.483
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02122333,82.32465667,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,4456.0,,4456.0,4.456
2017,2017 core trial,Trial,Dang,Dhuruwa,28.03780667,82.329305,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,5327.0,,5327.0,5.327
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02267833,82.323265,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,6114.0,,6114.0,6.114
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02138333,82.32457833,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,6460.0,,6460.0,6.46
2017,2017 core trial,Trial,Dang,Dhuruwa,28.03809,82.32956167,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,4810.0,,4810.0,4.81
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02252333,82.32322,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,6868.0,,6868.0,6.868
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02143167,82.324665,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,7414.0,,7414.0,7.414
2017,2017 core trial,Trial,Dang,Dhuruwa,28.037935,82.329285,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,6821.0,,6821.0,6.821
2017,2017 core trial,Trial,Dang,Dhuruwa,28.022535,82.32320167,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,4838.0,,4838.0,4.838
2017,2017 core trial,Trial,Dang,Dhuruwa,28.021435,82.324685,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,6526.0,,6526.0,6.526
2017,2017 core trial,Trial,Dang,Dhuruwa,28.038065,82.329445,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,6377.0,,6377.0,6.377
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02267833,82.32328,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,7069.0,,7069.0,7.069
2017,2017 core trial,Trial,Dang,Hapur,28.09140667,82.42664333,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,3490.0,,3490.0,3.49
2017,2017 core trial,Trial,Dang,Hapur,28.09373,82.428285,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,3946.0,,3946.0,3.946
2017,2017 core trial,Trial,Dang,Hapur,28.09141,82.42659333,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,3490.0,,3490.0,3.49
2017,2017 core trial,Trial,Dang,Hapur,28.093595,82.42830167,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,4708.0,,4708.0,4.708
2017,2017 core trial,Trial,Dang,Hapur,28.09156333,82.42653167,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,3264.0,,3264.0,3.264
2017,2017 core trial,Trial,Dang,Hapur,28.093515,82.42828667,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,3855.0,,3855.0,3.855
2017,2017 core trial,Trial,Dang,Hapur,28.09138,82.42654,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,4506.0,,4506.0,4.506
2017,2017 core trial,Trial,Dang,Hapur,28.09362333,82.42826833,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,3959.0,,3959.0,3.959
2017,2017 core trial,Trial,Dang,Hapur,28.09142,82.42652667,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,7912.0,,7912.0,7.912
2017,2017 core trial,Trial,Dang,Hapur,28.09343833,82.42835167,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,7851.0,,7851.0,7.851
2017,2017 core trial,Trial,Dang,Laxmipur,27.98058167,82.46868667,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,4450.0,,4450.0,4.45
2017,2017 core trial,Trial,Dang,Laxmipur,27.99098667,82.51826167,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5545.0,,5545.0,5.545
2017,2017 core trial,Trial,Dang,Laxmipur,27.967785,82.48898667,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5390.0,,5390.0,5.39
2017,2017 core trial,Trial,Dang,Laxmipur,27.98071,82.46870833,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,7359.0,,7359.0,7.359
2017,2017 core trial,Trial,Dang,Laxmipur,27.990925,82.51826,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,3931.0,,3931.0,3.931
2017,2017 core trial,Trial,Dang,Laxmipur,27.96782,82.489,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,6227.0,,6227.0,6.227
2017,2017 core trial,Trial,Dang,Laxmipur,27.98068333,82.46869667,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,8606.0,,8606.0,8.606
2017,2017 core trial,Trial,Dang,Laxmipur,27.99095167,82.518245,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,6377.0,,6377.0,6.377
2017,2017 core trial,Trial,Dang,Laxmipur,27.96780333,82.48905167,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,6839.0,,6839.0,6.839
2017,2017 core trial,Trial,Dang,Laxmipur,27.98074667,82.468625,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,4832.0,,4832.0,4.832
2017,2017 core trial,Trial,Dang,Laxmipur,27.990985,82.51819333,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,5450.0,,5450.0,5.45
2017,2017 core trial,Trial,Dang,Laxmipur,27.967715,82.48896667,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,7185.0,,7185.0,7.185
2017,2017 core trial,Trial,Dang,Laxmipur,27.98060333,82.46865167,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,7082.0,,7082.0,7.082
2017,2017 core trial,Trial,Dang,Laxmipur,27.99098833,82.51835333,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,7691.0,,7691.0,7.691
2017,2017 core trial,Trial,Dang,Laxmipur,27.96763167,82.488905,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,7035.0,,7035.0,7.035
2017,2017 core trial,Trial,Dang,Panchakule,28.13302667,82.10547167,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6879.0,,6879.0,6.879
2017,2017 core trial,Trial,Dang,Panchakule,28.13445833,82.1212,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,8195.0,,8195.0,8.195
2017,2017 core trial,Trial,Dang,Panchakule,28.13311,82.105505,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,8021.0,,8021.0,8.021
2017,2017 core trial,Trial,Dang,Panchakule,28.13448667,82.12124667,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,7901.0,,7901.0,7.901
2017,2017 core trial,Trial,Dang,Panchakule,28.132985,82.10536833,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,7580.0,,7580.0,7.58
2017,2017 core trial,Trial,Dang,Panchakule,28.13447167,82.12121833,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,7767.0,,7767.0,7.767
2017,2017 core trial,Trial,Dang,Panchakule,28.13308167,82.10536,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,7719.0,,7719.0,7.719
2017,2017 core trial,Trial,Dang,Panchakule,28.13441667,82.12115,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,8806.0,,8806.0,8.806
2017,2017 core trial,Trial,Dang,Panchakule,28.133135,82.10542,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,8202.0,,8202.0,8.202
2017,2017 core trial,Trial,Dang,Pawannagar,28.16120167,82.25547167,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5303.0,,5303.0,5.303
2017,2017 core trial,Trial,Dang,Pawannagar,28.15935167,82.25444833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,5899.0,,5899.0,5.899
2017,2017 core trial,Trial,Dang,Pawannagar,28.17071333,82.26032833,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6072.0,,6072.0,6.072
2017,2017 core trial,Trial,Dang,Pawannagar,28.16123333,82.25536,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,4892.0,,4892.0,4.892
2017,2017 core trial,Trial,Dang,Pawannagar,28.15931167,82.25437167,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,6152.0,,6152.0,6.152
2017,2017 core trial,Trial,Dang,Pawannagar,28.17067167,82.26006667,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,5792.0,,5792.0,5.792
2017,2017 core trial,Trial,Dang,Pawannagar,28.16127,82.25541833,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,5145.0,,5145.0,5.145
2017,2017 core trial,Trial,Dang,Pawannagar,28.159295,82.25447,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,7198.0,,7198.0,7.198
2017,2017 core trial,Trial,Dang,Pawannagar,28.17075667,82.26015167,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,6068.0,,6068.0,6.068
2017,2017 core trial,Trial,Dang,Pawannagar,28.16116167,82.25545667,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,5681.0,,5681.0,5.681
2017,2017 core trial,Trial,Dang,Pawannagar,28.15912167,82.2545,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,7746.0,,7746.0,7.746
2017,2017 core trial,Trial,Dang,Pawannagar,28.17065167,82.260205,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,7402.0,,7402.0,7.402
2017,2017 core trial,Trial,Dang,Pawannagar,28.16123833,82.25545833,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,5449.0,,5449.0,5.449
2017,2017 core trial,Trial,Dang,Pawannagar,28.15941,82.25444,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,7090.0,,7090.0,7.09
2017,2017 core trial,Trial,Dang,Pawannagar,28.17065,82.26013167,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,6965.0,,6965.0,6.965
2017,2017 core trial,Trial,Dang,Purandhara,28.19366167,82.09409,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,6509.0,,6509.0,6.509
2017,2017 core trial,Trial,Dang,Purandhara,28.18310167,82.09845333,Hybrid-Rajkumar,Hybrid-Rajkumar,1,N0-P0-K0,N0-P0-K0,soil_background,0.0,0.0,0.0,,7500.0,,7500.0,7.5
2017,2017 core trial,Trial,Dang,Purandhara,28.19831167,82.10394,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,7460.0,,7460.0,7.46
2017,2017 core trial,Trial,Dang,Purandhara,28.19368833,82.094185,Hybrid-Rajkumar,Hybrid-Rajkumar,2,N0-P60-K40,N0-P60-K40,n_omission,0.0,60.0,40.0,,6381.0,,6381.0,6.381
2017,2017 core trial,Trial,Dang,Purandhara,28.19847,82.10407,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,8282.0,,8282.0,8.282
2017,2017 core trial,Trial,Dang,Purandhara,28.19365833,82.09421,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,6266.0,,6266.0,6.266
2017,2017 core trial,Trial,Dang,Purandhara,28.182825,82.09840167,Hybrid-Rajkumar,Hybrid-Rajkumar,3,N120-P0-K40,N120-P0-K40,p_omission,120.0,0.0,40.0,,8891.0,,8891.0,8.891
2017,2017 core trial,Trial,Dang,Purandhara,28.19853167,82.10404333,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,6286.0,,6286.0,6.286
2017,2017 core trial,Trial,Dang,Purandhara,28.19369667,82.094035,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,7362.0,,7362.0,7.362
2017,2017 core trial,Trial,Dang,Purandhara,28.18281333,82.098295,Hybrid-Rajkumar,Hybrid-Rajkumar,4,N120-P60-K0,N120-P60-K0,k_omission,120.0,60.0,0.0,,6721.0,,6721.0,6.721
2017,2017 core trial,Trial,Dang,Purandhara,28.19844333,82.10414167,Hybrid-Rajkumar,Hybrid-Rajkumar,6,N120-P60-K40,N120-P60-K40,government_recommendation,120.0,60.0,40.0,,8179.0,,8179.0,8.179
