year,study,dataset_type,district,site,latitude,longitude,AE_N_kg_kg,AE_P_kg_kg,AE_K_kg_kg
2017,2017 core trial,Trial,Dang,Dhikpur,28.048377501666664,82.39328083333332,32.71944444444444,,
2017,2017 core trial,Trial,Dang,Dhikpur,28.048405,82.39324999666667,,,84.14166666666668
2017,2017 core trial,Trial,Dang,Dhikpur,28.048411666666667,82.39325972,,32.41666666666666,
2017,2017 core trial,Trial,Dang,Dhuruwa,28.027314443333335,82.32577277833335,11.319444444444446,,
2017,2017 core trial,Trial,Dang,Dhuruwa,28.02734666666667,82.32576027833335,,,7.491666666666674
2017,2017 core trial,Trial,Dang,Dhuruwa,28.027362498333336,82.325795,,10.188888888888906,
2017,2017 core trial,Trial,Dang,Hapur,28.092465415,82.4274216675,,,91.225
2017,2017 core trial,Trial,Dang,Hapur,28.0924658325,82.42744333499999,31.52083333333333,,
2017,2017 core trial,Trial,Dang,Hapur,28.092484165,82.42742417,,72.03333333333333,
2017,2017 core trial,Trial,Dang,Laxmipur,27.979776943333334,82.49198389,,-0.07777777777778401,
2017,2017 core trial,Trial,Dang,Laxmipur,27.979778333333336,82.49194916666667,,,36.175
2017,2017 core trial,Trial,Dang,Laxmipur,27.979779721666667,82.49197972166667,11.919444444444446,,
2017,2017 core trial,Trial,Dang,Panchakule,28.133755835000002,82.11329624999999,,12.724999999999994,
2017,2017 core trial,Trial,Dang,Panchakule,28.1337762525,82.1132870825,,,19.02499999999998
2017,2017 core trial,Trial,Dang,Panchakule,28.13378,82.11331874999999,3.299999999999992,,
2017,2017 core trial,Trial,Dang,Pawannagar,28.163705556666667,82.25669861166668,,,-11.041666666666705
2017,2017 core trial,Trial,Dang,Pawannagar,28.1637525,82.25663805666667,7.411111111111109,,
2017,2017 core trial,Trial,Dang,Pawannagar,28.16377,82.25667833333334,,6.072222222222197,
2017,2017 core trial,Trial,Dang,Purandhara,28.191711666666667,82.09889611333332,,-7.099999999999988,
2017,2017 core trial,Trial,Dang,Purandhara,28.19172639,82.09884472333333,,,14.933333333333355
2017,2017 core trial,Trial,Dang,Purandhara,28.193886111666664,82.09898041833333,3.887499999999999,,
2017,2017 core trial,Trial,Dang,Shantinagar,28.163860417499997,82.2297600025,27.170833333333324,,
2017,2017 core trial,Trial,Dang,Shantinagar,28.164460834166665,82.22883833499999,,,8.462499999999995
2017,2017 core trial,Trial,Dang,Shantinagar,28.164481389166667,82.228827225,,-3.6861111111111162,
2017,2017 core trial,Trial,Dang,Shreegau,28.106374445,82.17908944333334,,5.033333333333327,
2017,2017 core trial,Trial,Dang,Shreegau,28.106413888333336,82.17908722166666,,,-4.408333333333325
2017,2017 core trial,Trial,Dang,Shreegau,28.106417776666667,82.17906138833334,8.255555555555564,,
2017,2017 core trial,Trial,Surkhet,Babiyachaur,28.814981375,81.40367065,20.41666666666666,,
2017,2017 core trial,Trial,Surkhet,Babiyachaur,28.816812274999997,81.40491888333332,,,-16.027083333333316
2017,2017 core trial,Trial,Surkhet,Babiyachaur,28.816826291666665,81.40492971666666,,19.111388888888868,
2017,2017 core trial,Trial,Surkhet,Gadhi,28.64615399,81.60290589249999,,3.0558333333333465,
2017,2017 core trial,Trial,Surkhet,Gadhi,28.6461546225,81.60291094249999,,,-10.875000000000012
2017,2017 core trial,Trial,Surkhet,Gadhi,28.646156315,81.6029041775,32.43083333333333,,
2017,2017 core trial,Trial,Surkhet,Ghumkhare,28.439260458333337,81.89734472500001,34.9536111111111,,
2017,2017 core trial,Trial,Surkhet,Ghumkhare,28.43949825,81.89756126666667,,-7.018888888888923,
2017,2017 core trial,Trial,Surkhet,Ghumkhare,28.439503433333336,81.89756893333333,,,-9.389166666666693
2017,2017 core trial,Trial,Surkhet,Guthu,28.843891533333334,81.30402655,,,6.945000000000067
2017,2017 core trial,Trial,Surkhet,Guthu,28.843891866666667,81.30402248333333,,-2.592777777777755,
2017,2017 core trial,Trial,Surkhet,Guthu,28.845922375,81.30325839166667,38.24055555555557,,
2017,2017 core trial,Trial,Surkhet,Kalyan,28.502894233333333,81.73769066666667,17.945277777777775,,
2017,2017 core trial,Trial,Surkhet,Kalyan,28.502895283333334,81.73769709999999,,,7.58333333333332
2017,2017 core trial,Trial,Surkhet,Kalyan,28.502896466666666,81.73769051666667,,2.2222222222222143,
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,28.47387833333333,81.80857215,,14.258888888888865,
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,28.473879983333333,81.80856741666668,17.40749999999998,,
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,28.473887316666666,81.80858163333333,,,-9.555833333333386
2017,2017 core trial,Trial,Surkhet,Maintada-3,28.444798683333335,81.80532577,8.805277777777762,,
2017,2017 core trial,Trial,Surkhet,Maintada-3,28.444801085,81.80533168333332,,,-4.500833333333376
2017,2017 core trial,Trial,Surkhet,Maintada-3,28.444802648333336,81.80532742333332,,1.536666666666638,
2017,2017 core trial,Trial,Surkhet,Maintada-4,28.419786566666666,81.79541714333334,,,-25.55583333333331
2017,2017 core trial,Trial,Surkhet,Maintada-4,28.419788833333335,81.79540829166667,,-7.592222222222222,
2017,2017 core trial,Trial,Surkhet,Maintada-4,28.419826163333333,81.79539942833334,10.184999999999993,,
2017,2017 core trial,Trial,Surkhet,Neta,28.54511735,81.7916726,,2.9627777777778106,
2017,2017 core trial,Trial,Surkhet,Neta,28.54512145,81.79167291666667,,,14.97250000000001
2017,2017 core trial,Trial,Surkhet,Neta,28.547596991666666,81.79277656666667,24.24083333333334,,
2017,2017 core trial,Trial,Surkhet,Ramghat,28.48959595,81.7429034,,,22.969166666666705
2017,2017 core trial,Trial,Surkhet,Ramghat,28.489600166666666,81.74290513333332,,16.145555555555546,
2017,2017 core trial,Trial,Surkhet,Ramghat,28.489822124999996,81.742718975,36.392500000000005,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,28.033859723333332,82.37339596333332,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,28.033862043333333,82.37337989666666,0.5336886304909397,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhikpur,28.033871716666667,82.37338737166667,,1.53385012919894,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,28.02146473,82.3247340975,,4.7543604651162585,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,28.021528002500002,82.3246737275,26.554844961240306,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Dhuruwa,28.021549020000002,82.324681375,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,28.090455763333335,82.42110961,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,28.090464996666668,82.42110001500001,2.7703165374676946,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Hapur,28.09049318666667,82.42110177333333,,4.243023255813938,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,27.977790003333336,82.46364707333333,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,27.97779226666667,82.463650495,6.409722222222225,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Laxmipur,27.97780688666667,82.46363846666668,,-6.983268733850127,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,28.1161511325,82.16631265,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,28.116166648750003,82.16631502749999,,16.49975775193799,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Panchakaule,28.1161669575,82.16631104625,5.735101744186055,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,28.170460276666667,82.26027164499999,12.697932816537476,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,28.170474799999997,82.26025320333333,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Pawannagar,28.170482796666665,82.26027918833333,,-31.084948320413435,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,28.18759402,82.09806870333333,-5.448611111111101,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,28.187596746666664,82.09805402,,-8.347803617571067,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Purandhara,28.18761530333333,82.09808285666666,,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,28.165569186666666,82.22552213333334,7.098611111111119,,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,28.165586123333334,82.22550604,,3.0812015503876022,
2018,"2018 N source, timing and FYM trial",Trial,Dang,Shantinagar,28.165591893333332,82.22554941666668,,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,29.082113109999998,80.59339418666667,,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,29.08211494833333,80.59342040166666,,-8.72189922480621,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Chattiwan,29.082115391666665,80.59342047166666,8.892926356589145,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,29.14420459666667,80.60346934333333,,,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,29.14422417,80.603425405,,14.4248062015504,
2018,"2018 N source, timing and FYM trial",Trial,Doti,Ghantesori,29.14423007,80.60344708333334,2.872609819121452,,
