year,study,dataset_type,district,site,variety_group,treatment_code,treatment_role,N_rate_kg_ha,mean_yield_t_ha,latitude,longitude,n
2017,2017 core trial,Trial,Dang,Dhikpur,Hybrid-Rajkumar,2,n_omission,0,4.394333333333333,28.04829667,82.39332333666665,3
2017,2017 core trial,Trial,Dang,Dhikpur,Hybrid-Rajkumar,5,n_rate_60,60,6.44,28.048412780000003,82.39327055666666,3
2017,2017 core trial,Trial,Dang,Dhikpur,Hybrid-Rajkumar,6,government_recommendation,120,8.320666666666666,28.048458333333333,82.39323832999999,3
2017,2017 core trial,Trial,Dang,Dhikpur,Hybrid-Rajkumar,7,n_rate_180,180,7.951,28.04836611,82.39333278,3
2017,2017 core trial,Trial,Dang,Dhikpur,Hybrid-Rajkumar,8,n_rate_210,210,7.083666666666666,28.04843055666667,82.39323777999999,3
2017,2017 core trial,Trial,Dang,Dhuruwa,Hybrid-Rajkumar,2,n_omission,0,5.299,28.02723611,82.32574222333334,3
2017,2017 core trial,Trial,Dang,Dhuruwa,Hybrid-Rajkumar,5,n_rate_60,60,6.823666666666667,28.02734166666667,82.32575611,3
2017,2017 core trial,Trial,Dang,Dhuruwa,Hybrid-Rajkumar,6,government_recommendation,120,6.657333333333334,28.02739277666667,82.32580333333334,3
2017,2017 core trial,Trial,Dang,Dhuruwa,Hybrid-Rajkumar,7,n_rate_180,180,6.746666666666667,28.02735,82.32573944333335,3
2017,2017 core trial,Trial,Dang,Dhuruwa,Hybrid-Rajkumar,8,n_rate_210,210,7.045333333333333,28.027358886666665,82.32571611,3
2017,2017 core trial,Trial,Dang,Hapur,Hybrid-Rajkumar,2,n_omission,0,4.099,28.092502500000002,82.4274475,2
2017,2017 core trial,Trial,Dang,Hapur,Hybrid-Rajkumar,5,n_rate_60,60,4.991,28.092485834999998,82.42758,2
2017,2017 core trial,Trial,Dang,Hapur,Hybrid-Rajkumar,6,government_recommendation,120,7.8815,28.092429165,82.42743917,2
2017,2017 core trial,Trial,Dang,Hapur,Hybrid-Rajkumar,7,n_rate_180,180,4.8805,28.092426664999998,82.427541665,2
2017,2017 core trial,Trial,Dang,Hapur,Hybrid-Rajkumar,8,n_rate_210,210,5.643,28.092775,82.42739,2
2017,2017 core trial,Trial,Dang,Laxmipur,Hybrid-Rajkumar,2,n_omission,0,5.8389999999999995,27.97981833333333,82.49198944333334,3
2017,2017 core trial,Trial,Dang,Laxmipur,Hybrid-Rajkumar,5,n_rate_60,60,6.5073333333333325,27.97986389,82.49197555666667,3
2017,2017 core trial,Trial,Dang,Laxmipur,Hybrid-Rajkumar,6,government_recommendation,120,7.269333333333333,27.979741110000003,82.49197,3
2017,2017 core trial,Trial,Dang,Laxmipur,Hybrid-Rajkumar,7,n_rate_180,180,6.4303333333333335,27.979881113333334,82.49204666666667,3
2017,2017 core trial,Trial,Dang,Laxmipur,Hybrid-Rajkumar,8,n_rate_210,210,8.038333333333334,27.97983444333333,82.49195444666667,3
2017,2017 core trial,Trial,Dang,Panchakule,Hybrid-Rajkumar,2,n_omission,0,8.108,28.133784165,82.11335249999999,2
2017,2017 core trial,Trial,Dang,Panchakule,Hybrid-Rajkumar,5,n_rate_60,60,8.2355,28.133809165000002,82.113325,2
2017,2017 core trial,Trial,Dang,Panchakule,Hybrid-Rajkumar,6,government_recommendation,120,8.504,28.133775835,82.11328499999999,2
2017,2017 core trial,Trial,Dang,Panchakule,Hybrid-Rajkumar,7,n_rate_180,180,7.531,28.1338325,82.11339583,2
2017,2017 core trial,Trial,Dang,Panchakule,Hybrid-Rajkumar,8,n_rate_210,210,5.7065,28.1338175,82.11338,2
2017,2017 core trial,Trial,Dang,Pawannagar,Hybrid-Rajkumar,2,n_omission,0,5.611999999999999,28.16373889,82.25659944666667,3
2017,2017 core trial,Trial,Dang,Pawannagar,Hybrid-Rajkumar,5,n_rate_60,60,6.437666666666666,28.16369222,82.25671999999999,3
2017,2017 core trial,Trial,Dang,Pawannagar,Hybrid-Rajkumar,6,government_recommendation,120,6.501333333333332,28.16376611,82.25667666666668,3
2017,2017 core trial,Trial,Dang,Pawannagar,Hybrid-Rajkumar,7,n_rate_180,180,8.023333333333333,28.163752223333333,82.25665944666666,3
2017,2017 core trial,Trial,Dang,Pawannagar,Hybrid-Rajkumar,8,n_rate_210,210,7.171333333333333,28.16377,82.25668555666667,3
2017,2017 core trial,Trial,Dang,Purandhara,Hybrid-Rajkumar,2,n_omission,0,6.9205000000000005,28.195999999999998,82.0990625,2
2017,2017 core trial,Trial,Dang,Purandhara,Hybrid-Rajkumar,5,n_rate_60,60,7.284,28.19163444333333,82.09882666666665,3
2017,2017 core trial,Trial,Dang,Purandhara,Hybrid-Rajkumar,6,government_recommendation,120,7.3870000000000005,28.191772223333334,82.09889833666666,3
2017,2017 core trial,Trial,Dang,Purandhara,Hybrid-Rajkumar,7,n_rate_180,180,7.628666666666667,28.191777223333332,82.09884000000001,3
2017,2017 core trial,Trial,Dang,Purandhara,Hybrid-Rajkumar,8,n_rate_210,210,7.465,28.191787223333336,82.09878555666667,3
2017,2017 core trial,Trial,Dang,Shantinagar,Hybrid-Rajkumar,2,n_omission,0,5.816000000000001,28.1641925,82.23189833500001,2
2017,2017 core trial,Trial,Dang,Shantinagar,Hybrid-Rajkumar,5,n_rate_60,60,8.7025,28.16418667,82.23199583499999,2
2017,2017 core trial,Trial,Dang,Shantinagar,Hybrid-Rajkumar,6,government_recommendation,120,9.0765,28.163528335,82.22762166999999,2
2017,2017 core trial,Trial,Dang,Shantinagar,Hybrid-Rajkumar,7,n_rate_180,180,8.8795,28.164261670000002,82.2319775,2
2017,2017 core trial,Trial,Dang,Shantinagar,Hybrid-Rajkumar,8,n_rate_210,210,8.5365,28.163533335,82.227485,2
2017,2017 core trial,Trial,Dang,Shreegau,Hybrid-Rajkumar,2,n_omission,0,5.164666666666666,28.10642111,82.17908333333334,3
2017,2017 core trial,Trial,Dang,Shreegau,Hybrid-Rajkumar,5,n_rate_60,60,6.274333333333334,28.106382223333338,82.17907611,3
2017,2017 core trial,Trial,Dang,Shreegau,Hybrid-Rajkumar,6,government_recommendation,120,6.155333333333334,28.106414443333335,82.17903944333334,3
2017,2017 core trial,Trial,Dang,Shreegau,Hybrid-Rajkumar,7,n_rate_180,180,6.727999999999999,28.106388886666668,82.17912055666666,3
2017,2017 core trial,Trial,Dang,Shreegau,Hybrid-Rajkumar,8,n_rate_210,210,6.435666666666667,28.10640277666667,82.17913,3
2017,2017 core trial,Trial,Surkhet,Babiyachaur,Hybrid-Rajkumar,2,n_omission,0,8.68665,28.8150008,81.40368699999999,2
2017,2017 core trial,Trial,Surkhet,Babiyachaur,Hybrid-Rajkumar,5,n_rate_60,60,10.565433333333333,28.818693533333334,81.40622723333333,3
2017,2017 core trial,Trial,Surkhet,Babiyachaur,Hybrid-Rajkumar,6,government_recommendation,120,11.13665,28.814961949999997,81.4036543,2
2017,2017 core trial,Trial,Surkhet,Babiyachaur,Hybrid-Rajkumar,7,n_rate_180,180,11.641066666666667,28.818724833333334,81.40622983333333,3
2017,2017 core trial,Trial,Surkhet,Babiyachaur,Hybrid-Rajkumar,8,n_rate_210,210,10.7922,28.818723133333332,81.4062558,3
2017,2017 core trial,Trial,Surkhet,Gadhi,Hybrid-Rajkumar,2,n_omission,0,7.11665,28.646153925,81.60290024,2
2017,2017 core trial,Trial,Surkhet,Gadhi,Hybrid-Rajkumar,5,n_rate_60,60,10.4167,28.646181925,81.60294003499999,2
2017,2017 core trial,Trial,Surkhet,Gadhi,Hybrid-Rajkumar,6,government_recommendation,120,11.00835,28.646158704999998,81.60290811499999,2
2017,2017 core trial,Trial,Surkhet,Gadhi,Hybrid-Rajkumar,7,n_rate_180,180,11.375,28.646194405000003,81.60293741000001,2
2017,2017 core trial,Trial,Surkhet,Gadhi,Hybrid-Rajkumar,8,n_rate_210,210,11.83335,28.646214775,81.60292742,2
2017,2017 core trial,Trial,Surkhet,Ghumkhare,Hybrid-Rajkumar,2,n_omission,0,5.92,28.438968250000002,81.89711775,2
2017,2017 core trial,Trial,Surkhet,Ghumkhare,Hybrid-Rajkumar,5,n_rate_60,60,10.377766666666666,28.4394077,81.89760913333333,3
2017,2017 core trial,Trial,Surkhet,Ghumkhare,Hybrid-Rajkumar,6,government_recommendation,120,10.114433333333332,28.439552666666668,81.8975717,3
2017,2017 core trial,Trial,Surkhet,Ghumkhare,Hybrid-Rajkumar,7,n_rate_180,180,10.018533333333332,28.439410933333335,81.8976184,3
2017,2017 core trial,Trial,Surkhet,Ghumkhare,Hybrid-Rajkumar,8,n_rate_210,210,10.162199999999999,28.4394028,81.8976139,3
2017,2017 core trial,Trial,Surkhet,Guthu,Hybrid-Rajkumar,2,n_omission,0,6.8667,28.84796155,81.30247535000001,2
2017,2017 core trial,Trial,Surkhet,Guthu,Hybrid-Rajkumar,5,n_rate_60,60,9.200633333333334,28.843891566666667,81.30404266666666,3
2017,2017 core trial,Trial,Surkhet,Guthu,Hybrid-Rajkumar,6,government_recommendation,120,11.455566666666668,28.843883200000004,81.30404143333332,3
2017,2017 core trial,Trial,Surkhet,Guthu,Hybrid-Rajkumar,7,n_rate_180,180,11.8889,28.843903800000003,81.30407306666667,3
2017,2017 core trial,Trial,Surkhet,Guthu,Hybrid-Rajkumar,8,n_rate_210,210,10.444466666666667,28.843903566666665,81.30406653333334,3
2017,2017 core trial,Trial,Surkhet,Kalyan,Hybrid-Rajkumar,2,n_omission,0,7.6499,28.50291113333333,81.73766526666667,3
2017,2017 core trial,Trial,Surkhet,Kalyan,Hybrid-Rajkumar,5,n_rate_60,60,9.432233333333334,28.5029188,81.7376413,3
2017,2017 core trial,Trial,Surkhet,Kalyan,Hybrid-Rajkumar,6,government_recommendation,120,9.803333333333333,28.502877333333334,81.73771606666666,3
2017,2017 core trial,Trial,Surkhet,Kalyan,Hybrid-Rajkumar,7,n_rate_180,180,10.281133333333335,28.503016866666666,81.73763253333334,3
2017,2017 core trial,Trial,Surkhet,Kalyan,Hybrid-Rajkumar,8,n_rate_210,210,9.863333333333335,28.5029996,81.73762133333334,3
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,Hybrid-Rajkumar,2,n_omission,0,7.815533333333334,28.473854733333336,81.80856803333334,3
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,Hybrid-Rajkumar,5,n_rate_60,60,9.4411,28.4738779,81.80857103333334,3
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,Hybrid-Rajkumar,6,government_recommendation,120,9.904433333333332,28.47390523333333,81.80856680000001,3
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,Hybrid-Rajkumar,7,n_rate_180,180,11.156666666666666,28.473869966666665,81.80856483333334,3
2017,2017 core trial,Trial,Surkhet,Lekhpharsa,Hybrid-Rajkumar,8,n_rate_210,210,10.474433333333332,28.473863233333333,81.8085357,3
2017,2017 core trial,Trial,Surkhet,Maintada-3,Hybrid-Rajkumar,2,n_omission,0,6.782233333333334,28.444800643333334,81.80525643333334,3
2017,2017 core trial,Trial,Surkhet,Maintada-3,Hybrid-Rajkumar,5,n_rate_60,60,7.437766666666666,28.4447991,81.80528044666666,3
2017,2017 core trial,Trial,Surkhet,Maintada-3,Hybrid-Rajkumar,6,government_recommendation,120,7.838866666666665,28.444796723333337,81.80539510666667,3
2017,2017 core trial,Trial,Surkhet,Maintada-3,Hybrid-Rajkumar,7,n_rate_180,180,8.094433333333333,28.444804476666665,81.80525383999999,3
2017,2017 core trial,Trial,Surkhet,Maintada-3,Hybrid-Rajkumar,8,n_rate_210,210,7.997766666666667,28.444815833333333,81.80527922,3
2017,2017 core trial,Trial,Surkhet,Maintada-4,Hybrid-Rajkumar,2,n_omission,0,6.811133333333334,28.41986725,81.79541291666668,3
2017,2017 core trial,Trial,Surkhet,Maintada-4,Hybrid-Rajkumar,5,n_rate_60,60,7.933349999999999,28.419402339999998,81.793870405,2
2017,2017 core trial,Trial,Surkhet,Maintada-4,Hybrid-Rajkumar,6,government_recommendation,120,8.033333333333333,28.419785076666667,81.79538594,3
2017,2017 core trial,Trial,Surkhet,Maintada-4,Hybrid-Rajkumar,7,n_rate_180,180,9.155566666666667,28.419836903333334,81.79543713,3
2017,2017 core trial,Trial,Surkhet,Maintada-4,Hybrid-Rajkumar,8,n_rate_210,210,10.044433333333332,28.419831523333333,81.79542394333333,3
2017,2017 core trial,Trial,Surkhet,Neta,Hybrid-Rajkumar,2,n_omission,0,9.89,28.55006565,81.79385479999999,2
2017,2017 core trial,Trial,Surkhet,Neta,Hybrid-Rajkumar,5,n_rate_60,60,11.05335,28.541936749999998,81.78983385000001,2
2017,2017 core trial,Trial,Surkhet,Neta,Hybrid-Rajkumar,6,government_recommendation,120,12.798900000000001,28.545128333333334,81.79169833333334,3
2017,2017 core trial,Trial,Surkhet,Neta,Hybrid-Rajkumar,7,n_rate_180,180,13.158900000000001,28.5451225,81.7916535,3
2017,2017 core trial,Trial,Surkhet,Neta,Hybrid-Rajkumar,8,n_rate_210,210,10.812199999999999,28.5451194,81.79166906666667,3
2017,2017 core trial,Trial,Surkhet,Ramghat,Hybrid-Rajkumar,2,n_omission,0,7.975,28.490014549999998,81.74256355,2
2017,2017 core trial,Trial,Surkhet,Ramghat,Hybrid-Rajkumar,5,n_rate_60,60,9.965,28.4899719,81.7425556,2
2017,2017 core trial,Trial,Surkhet,Ramghat,Hybrid-Rajkumar,6,government_recommendation,120,12.3421,28.4896297,81.7428744,3
2017,2017 core trial,Trial,Surkhet,Ramghat,Hybrid-Rajkumar,7,n_rate_180,180,9.865,28.489957349999997,81.74255160000001,2
2017,2017 core trial,Trial,Surkhet,Ramghat,Hybrid-Rajkumar,8,n_rate_210,210,9.745000000000001,28.4899823,81.7425836,2
