year,study,dataset_type,district,site,latitude,longitude,variety,variety_group,treatment_code,source_treatment_label,treatment,treatment_role,N_rate_kg_ha,P_rate_kg_ha,K_rate_kg_ha,grain_moisture_pct,recorded_yield_kg_ha,dry_yield_kg_ha,yield_14pct_kg_ha,yield_t_ha
2018,2018 maize demo,Demo,Dang,Dhikpur,28.02216264,82.36616995,Hybrid (Rajkumar),Hybrid,A1,A1,Hybrid (Rajkumar): N120-P60-K40,demo_a1,120.0,60.0,40.0,17.0,9667.0,8023.61,9329.77906976744,9.32977906976744
2018,2018 maize demo,Demo,Dang,Dhikpur,28.02420539,82.37990035,Hybrid (Rajkumar),Hybrid,A1,A1,Hybrid (Rajkumar): N120-P60-K40,demo_a1,120.0,60.0,40.0,18.0,0.0,0.0,0.0,0.0
2018,2018 maize demo,Demo,Dang,Dhikpur,28.02209948,82.36612637,OPV (Rampur Composite),OPV,A2,A2,OPV (Rampur Composite): N120-P60-K40,demo_a2,120.0,60.0,40.0,16.0,7533.0,6327.72,7357.813953488372,7.357813953488372
2018,2018 maize demo,Demo,Dang,Dhikpur,28.0241626,82.37984084,OPV (Rampur Composite),OPV,A2,A2,OPV (Rampur Composite): N120-P60-K40,demo_a2,120.0,60.0,40.0,17.0,0.0,0.0,0.0,0.0
2018,2018 maize demo,Demo,Dang,Dhikpur,28.02199974,82.3662091,Hybrid (Rajkumar),Hybrid,B1,B1,Hybrid (Rajkumar): N120-P60-K40,demo_b1,120.0,60.0,40.0,17.0,8423.0,6991.09,8129.174418604652,8.129174418604652
2018,2018 maize demo,Demo,Dang,Dhikpur,28.02413796,82.37978468,Hybrid (Rajkumar),Hybrid,B1,B1,Hybrid (Rajkumar): N120-P60-K40,demo_b1,120.0,60.0,40.0,19.0,0.0,0.0,0.0,0.0
2018,2018 maize demo,Demo,Dang,Dhikpur,28.02195833,82.36629099,Farmers seed,Farmers seed,B2,B2,Farmers seed: N120-P60-K40,demo_b2,120.0,60.0,40.0,17.0,7653.0,6351.99,7386.03488372093,7.386034883720931
2018,2018 maize demo,Demo,Dang,Dhikpur,28.02406366,82.37978493,Farmers seed,Farmers seed,B2,B2,Farmers seed: N120-P60-K40,demo_b2,120.0,60.0,40.0,17.0,0.0,0.0,0.0,0.0
2018,2018 maize demo,Demo,Dang,Dhuruwa,28.02143262,82.32490433,Hybrid (Rajkumar),Hybrid,A1,A1,Hybrid (Rajkumar): N120-P60-K40,demo_a1,120.0,60.0,40.0,22.0,9633.0,7513.74,8736.906976744185,8.736906976744185
2018,2018 maize demo,Demo,Dang,Dhuruwa,28.02139792,82.32473158,Hybrid (Rajkumar),Hybrid,A1,A1,Hybrid (Rajkumar): N120-P60-K40,demo_a1,120.0,60.0,40.0,20.0,9753.0,7802.4,9072.558139534884,9.072558139534884
2018,2018 maize demo,Demo,Dang,Dhuruwa,28.02405284,82.32100398,Hybrid (Rajkumar),Hybrid,A1,A1,Hybrid (Rajkumar): N120-P60-K40,demo_a1,120.0,60.0,40.0,31.0,9487.0,6546.03,7611.662790697675,7.611662790697674
2018,2018 maize demo,Demo,Dang,Dhuruwa,28.02148987,82.32495798,OPV (Rampur Composite),OPV,A2,A2,OPV (Rampur Composite): N120-P60-K40,demo_a2,120.0,60.0,40.0,21.0,8113.0,6409.27,7452.639534883721,7.452639534883722
2018,2018 maize demo,Demo,Dang,Dhuruwa,28.02137638,82.324689,OPV (Rampur Composite),OPV,A2,A2,OPV (Rampur Composite): N120-P60-K40,demo_a2,120.0,60.0,40.0,27.0,8000.0,5840.0,6790.697674418605,6.790697674418605
2018,2018 maize demo,Demo,Dang,Dhuruwa,28.02408453,82.3209526,OPV (Rampur Composite),OPV,A2,A2,OPV (Rampur Composite): N120-P60-K40,demo_a2,120.0,60.0,40.0,28.0,8333.0,5999.76,6976.465116279071,6.976465116279071
2018,2018 maize demo,Demo,Dang,Dhuruwa,28.02128598,82.32488631,Hybrid (Rajkumar),Hybrid,B1,B1,Hybrid (Rajkumar): N120-P60-K40,demo_b1,120.0,60.0,40.0,25.0,8867.0,6650.25,7732.8488372093025,7.7328488372093025
2018,2018 maize demo,Demo,Dang,Dhuruwa,28.02136854,82.32461734,Hybrid (Rajkumar),Hybrid,B1,B1,Hybrid (Rajkumar): N120-P60-K40,demo_b1,120.0,60.0,40.0,24.0,8977.0,6822.52,7933.162790697675,7.933162790697675
2018,2018 maize demo,Demo,Dang,Dhuruwa,28.023965,82.32090818,Hybrid (Rajkumar),Hybrid,B1,B1,Hybrid (Rajkumar): N120-P60-K40,demo_b1,120.0,60.0,40.0,24.0,9267.0,7042.92,8189.441860465116,8.189441860465116
