year,study,dataset_type,district,site,variety_group,treatment_code,treatment_role,N_rate_kg_ha,mean_yield_t_ha,latitude,longitude,n
2018,2018 maize demo,Demo,Dang,Dhikpur,Farmers seed,B2,demo_b2,120.0,3.6930174418604653,28.023010995,82.37303796,2
2018,2018 maize demo,Demo,Dang,Dhikpur,Hybrid,A1,demo_a1,120.0,4.66488953488372,28.023184015,82.37303514999999,2
2018,2018 maize demo,Demo,Dang,Dhikpur,Hybrid,B1,demo_b1,120.0,4.064587209302326,28.02306885,82.37299689,2
2018,2018 maize demo,Demo,Dang,Dhikpur,OPV,A2,demo_a2,120.0,3.678906976744186,28.023131040000003,82.372983605,2
2018,2018 maize demo,Demo,Dang,Dhuruwa,Farmers seed,B2,demo_b2,120.0,6.3872403100775195,28.02213722666667,82.32342780333333,3
2018,2018 maize demo,Demo,Dang,Dhuruwa,Hybrid,A1,demo_a1,120.0,8.473709302325581,28.022294459999998,82.32354663,3
2018,2018 maize demo,Demo,Dang,Dhuruwa,Hybrid,B1,demo_b1,120.0,7.951817829457364,28.022206506666667,82.32347061,3
2018,2018 maize demo,Demo,Dang,Dhuruwa,OPV,A2,demo_a2,120.0,7.073267441860466,28.022316926666665,82.32353319333333,3
2018,2018 maize demo,Demo,Dang,Hapur,Farmers seed,B2,demo_b2,120.0,7.184174418604651,28.09043088,82.42110841,3
2018,2018 maize demo,Demo,Dang,Hapur,Hybrid,A1,demo_a1,120.0,8.488751937984496,28.090414173333333,82.42108307,3
2018,2018 maize demo,Demo,Dang,Hapur,Hybrid,B1,demo_b1,120.0,7.812755813953488,28.090390033333335,82.42111813,3
2018,2018 maize demo,Demo,Dang,Hapur,OPV,A2,demo_a2,120.0,7.927906976744186,28.090482246666667,82.42102836,3
2018,2018 maize demo,Demo,Dang,Laxmipur,Farmers seed,B2,demo_b2,120.0,5.556527131782945,27.977590106666668,82.46361510666667,3
2018,2018 maize demo,Demo,Dang,Laxmipur,Hybrid,A1,demo_a1,120.0,7.026922480620155,27.97751078666667,82.46353690333332,3
2018,2018 maize demo,Demo,Dang,Laxmipur,Hybrid,B1,demo_b1,120.0,6.644453488372093,27.977565913333336,82.46365394666667,3
2018,2018 maize demo,Demo,Dang,Laxmipur,OPV,A2,demo_a2,120.0,6.446116279069767,27.977516976666667,82.46366783,3
2018,2018 maize demo,Demo,Dang,Pawannagar,Farmers seed,B2,demo_b2,120.0,7.11025968992248,28.17048167,82.26017084,3
2018,2018 maize demo,Demo,Dang,Pawannagar,Hybrid,A1,demo_a1,120.0,8.09184496124031,28.170443886666664,82.26030489666667,3
2018,2018 maize demo,Demo,Dang,Pawannagar,Hybrid,B1,demo_b1,120.0,7.64670542635659,28.170470203333334,82.26023649666666,3
2018,2018 maize demo,Demo,Dang,Pawannagar,OPV,A2,demo_a2,120.0,7.5105,28.170418276666666,82.26028480666666,3
2018,2018 maize demo,Demo,Dang,Purandhara,Farmers seed,B2,demo_b2,120.0,6.375485465116279,28.16848959,82.1207131675,4
2018,2018 maize demo,Demo,Dang,Purandhara,Hybrid,A1,demo_a1,120.0,8.417607558139535,28.168392925,82.12075319,4
2018,2018 maize demo,Demo,Dang,Purandhara,Hybrid,B1,demo_b1,120.0,7.605781976744186,28.1684813725,82.1207347525,4
2018,2018 maize demo,Demo,Dang,Purandhara,OPV,A2,demo_a2,120.0,7.272526162790697,28.16839941,82.1208589275,4
2018,2018 maize demo,Demo,Dang,Shantinagar,Farmers seed,B2,demo_b2,120.0,6.313751937984496,28.165582813333334,82.22518932999999,3
2018,2018 maize demo,Demo,Dang,Shantinagar,Hybrid,A1,demo_a1,120.0,7.917612403100775,28.16550095,82.22544903,3
