year,study,dataset_type,district,site,latitude,longitude,variety,variety_group,treatment_code,source_treatment_label,treatment,treatment_role,N_rate_kg_ha,P_rate_kg_ha,K_rate_kg_ha,grain_moisture_pct,recorded_yield_kg_ha,dry_yield_kg_ha,yield_14pct_kg_ha,yield_t_ha,strategy
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,28.026865809224542,82.37110865302384,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,16.7,10667.0,8885.610999999999,10332.105813953489,10.332105813953488,gr
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,28.03020503371954,82.37675772048533,Hybrid,Hybrid,A1,Hybrid N120-P60-K40,Hybrid N120-P60-K40,demo_gr_hybrid,120.0,60.0,40.0,17.4,6000.0,4955.999999999999,5762.790697674418,5.762790697674418,gr
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,28.026923267170787,82.37107403576374,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,17.4,13000.0,10738.0,12486.046511627908,12.486046511627908,fym
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,28.030160274356604,82.37680382095277,Hybrid,Hybrid,A2,Hybrid FYM 6 t/ha + N120-P60-K40,Hybrid FYM 6 t/ha + N120-P60-K40,demo_fym_hybrid,120.0,60.0,40.0,18.0,6667.0,5466.94,6356.906976744186,6.356906976744186,fym
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,28.02693973761052,82.37100530415773,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,17.4,9000.0,7434.0,8644.186046511628,8.644186046511628,zn
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,28.030122010968626,82.37686073407531,Hybrid,Hybrid,A3,Hybrid Zn + N120-P60-K40,Hybrid Zn + N120-P60-K40,demo_zn_hybrid,120.0,60.0,40.0,18.0,12000.0,9840.0,11441.86046511628,11.44186046511628,zn
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,28.026944096200168,82.37097638659179,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,16.3,11667.0,9765.279,11354.975581395349,11.35497558139535,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,28.03007943090052,82.37690306268632,Hybrid,Hybrid,A4,Hybrid PCU N60-P60-K40,Hybrid PCU N60-P60-K40,demo_pcu_half_n_hybrid,60.0,60.0,40.0,17.6,8833.0,7278.392000000001,8463.246511627907,8.463246511627908,pcu_half_n
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,28.02699744701385,82.37090698443353,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,17.0,10000.0,8300.0,9651.162790697674,9.651162790697674,udp_reduced_n
2019,2019 Hybrid strategy block,Demo,Dang,Dhikpur,28.03011618554592,82.37693273462355,Hybrid,Hybrid,A5,Hybrid UDP N78-P60-K40,Hybrid UDP N78-P60-K40,demo_udp_reduced_n_hybrid,78.0,60.0,40.0,17.7,7333.0,6035.059,7017.510465116279,7.017510465116279,udp_reduced_n
